census region,housing types,technology,vintage,value
66,28,4,2000,0.0
66,28,4,2001,7699.13586109
66,28,4,2002,5831.67400509
66,28,4,2003,13793.0783738
66,28,4,2004,40108.6119413
66,28,4,2005,3698.00631092
66,28,4,2006,78151.3957167
66,28,4,2007,0.0
66,28,4,2008,0.0
66,28,4,2009,501702.06083
66,28,4,2010,0.0
66,28,4,2011,0.0
66,28,4,2012,7699.1358161
66,28,4,2013,5831.67400509
66,28,4,2014,13793.0782932
66,28,4,2015,40108.6119413
66,28,4,2016,3698.00628931
66,28,5,2000,78151.4014042
66,28,5,2001,0.0
66,28,5,2002,0.0
66,28,5,2003,501702.057898
66,28,5,2004,0.0
66,28,5,2005,0.0
66,28,5,2006,7699.13407702
66,28,5,2007,5831.67400509
66,28,5,2008,13793.0751776
66,28,5,2009,40108.6119413
66,28,5,2010,3698.005454
66,28,5,2011,78151.5344417
66,28,5,2012,0.0
66,28,5,2013,0.0
66,28,5,2014,501701.944574
66,28,5,2015,0.0
66,28,5,2016,0.0
66,28,6,2000,7699.12299213
66,28,6,2001,5831.6740051
66,28,6,2002,13793.0553189
66,28,6,2003,40108.6119413
66,28,6,2004,3698.00012977
66,28,6,2005,78152.3781628
66,28,6,2006,0.0
66,28,6,2007,0.0
66,28,6,2008,501701.222244
66,28,6,2009,0.0
66,28,6,2010,0.0
66,28,6,2011,7699.09064167
66,28,6,2012,5831.67400536
66,28,6,2013,13792.9973628
66,28,6,2014,40108.6119431
66,28,6,2015,3697.98459138
66,28,6,2016,78155.4008428
66,28,7,2000,0.0
66,28,7,2001,0.0
66,28,7,2002,501699.114178
66,28,7,2003,0.0
66,28,7,2004,0.0
66,28,7,2005,7699.02929368
66,28,7,2006,5831.67400917
66,28,7,2007,13792.8874572
66,28,7,2008,40108.6119693
66,28,7,2009,3697.95512505
66,28,7,2010,78163.244405
66,28,7,2011,0.0
66,28,7,2012,0.0
66,28,7,2013,501695.116533
66,28,7,2014,0.0
66,28,7,2015,0.0
66,28,7,2016,7698.94472671
66,28,8,2000,5831.67404298
66,28,8,2001,13792.7359547
66,28,8,2002,40108.6122019
66,28,8,2003,3697.91450631
66,28,8,2004,78179.8868103
66,28,8,2005,0.0
66,28,8,2006,0.0
66,28,8,2007,501689.605859
66,28,8,2008,0.0
66,28,8,2009,0.0
66,28,8,2010,7698.86250973
66,28,8,2011,5831.67425531
66,28,8,2012,13792.5886621
66,28,8,2013,40108.6136622
66,28,8,2014,3697.87501631
66,28,8,2015,78210.7019815
66,28,8,2016,0.0
66,28,9,2000,0.0
66,28,9,2001,501684.24832
66,28,9,2002,0.0
66,28,9,2003,0.0
66,28,9,2004,7698.830816
66,28,9,2005,5831.67529041
66,28,9,2006,13792.5318825
66,28,9,2007,40108.6207813
66,28,9,2008,3697.85979335
66,28,9,2009,78262.4785708
66,28,9,2010,0.0
66,28,9,2011,0.0
66,28,9,2012,501682.183047
66,28,9,2013,0.0
66,28,9,2014,0.0
66,28,9,2015,7698.92303878
66,28,9,2016,5831.67945186
66,28,10,2000,13792.6971005
66,28,10,2001,40108.6494026
66,28,10,2002,3697.90408928
66,28,10,2003,78343.4273053
66,28,10,2004,0.0
66,28,10,2005,0.0
66,28,10,2006,501688.192599
66,28,10,2007,0.0
66,28,10,2008,0.0
66,28,10,2009,7699.24441491
66,28,10,2010,5831.69382866
66,28,10,2011,13793.2705978
66,28,10,2012,40108.7482822
66,28,10,2013,3698.05949668
66,28,10,2014,78463.1220768
66,28,10,2015,0.0
66,28,10,2016,0.0
66,28,11,2000,501709.051101
66,28,11,2001,0.0
66,28,11,2002,0.0
66,28,11,2003,7699.98589379
66,28,11,2004,5831.73777981
66,28,11,2005,13794.5073228
66,28,11,2006,40109.0505658
66,28,11,2007,3698.46191257
66,28,11,2008,78632.2508969
66,28,11,2009,0.0
66,28,11,2010,1.20675281503e-05
66,28,11,2011,501753.965639
66,28,11,2012,0.000102751326223
66,28,11,2013,0.0
66,28,11,2014,7701.65107031
66,28,11,2015,5831.8592742
66,28,11,2016,13796.7477509
66,28,12,2000,40109.8861698
66,28,12,2001,3699.76075781
66,28,12,2002,78861.9780506
66,28,12,2003,2.56475961624e-12
66,28,12,2004,0.000515565919105
66,28,12,2005,501834.727698
66,28,12,2006,0.00317883310503
66,28,12,2007,0.0
66,28,12,2008,7705.45640858
66,28,12,2009,5832.16797014
66,28,12,2010,13800.4394039
66,28,12,2011,40112.0092859
66,28,12,2012,3704.39999758
66,28,12,2013,79162.7501141
66,28,12,2014,3.56324551071e-10
66,28,12,2015,0.0050076233098
66,28,12,2016,501964.973808
66,28,13,2000,0.0257934501495
66,28,13,2001,0.0
66,28,13,2002,7713.84106791
66,28,13,2003,5832.89809638
66,28,13,2004,13806.1574453
66,28,13,2005,40117.0307754
66,28,13,2006,3719.10942082
66,28,13,2007,79542.5978288
66,28,13,2008,1.20384089871e-08
66,28,13,2009,0.0262705329667
66,28,13,2010,502157.86218
66,28,13,2011,0.118983265984
66,28,13,2012,0.0
66,28,13,2013,7731.03567787
66,28,13,2014,5834.52171627
66,28,13,2015,13814.5874939
66,28,13,2016,40128.1965629
66,28,71,2000,3758.64549024
66,28,71,2001,80005.0036729
66,28,71,2002,1.88326171466e-07
66,28,71,2003,0.096715637196
66,28,71,2004,502421.66152
66,28,71,2005,0.394902123926
66,28,71,2006,0.0
66,28,71,2007,7763.59768031
66,28,71,2008,5837.94321293
66,28,71,2009,13826.3814678
66,28,71,2010,40151.722228
66,28,71,2011,3850.3165629
66,28,71,2012,80546.5395092
66,28,71,2013,1.80871446948e-06
66,28,71,2014,0.281296196962
66,28,71,2015,502753.188654
66,28,71,2016,1.05141664836
66,29,4,2000,39901.6845653
66,29,4,2001,8035.75592666
66,29,4,2002,0.0
66,29,4,2003,0.0
66,29,4,2004,0.0
66,29,4,2005,0.0
66,29,4,2006,0.0
66,29,4,2007,0.0
66,29,4,2008,0.0
66,29,4,2009,361609.0167
66,29,4,2010,0.0
66,29,4,2011,39901.655
66,29,4,2012,8035.75594725
66,29,4,2013,0.0
66,29,4,2014,0.0
66,29,4,2015,0.0
66,29,4,2016,0.0
66,29,5,2000,0.0
66,29,5,2001,0.0
66,29,5,2002,0.0
66,29,5,2003,361609.017626
66,29,5,2004,0.0
66,29,5,2005,39901.0085016
66,29,5,2006,8035.75687771
66,29,5,2007,0.0
66,29,5,2008,0.0
66,29,5,2009,0.0
66,29,5,2010,0.0
66,29,5,2011,0.0
66,29,5,2012,0.0
66,29,5,2013,0.0
66,29,5,2014,361609.059497
66,29,5,2015,0.0
66,29,5,2016,39897.6228223
66,29,6,2000,8035.76741522
66,29,6,2001,0.0
66,29,6,2002,0.0
66,29,6,2003,0.0
66,29,6,2004,0.0
66,29,6,2005,0.0
66,29,6,2006,0.0
66,29,6,2007,0.0
66,29,6,2008,361609.533685
66,29,6,2009,0.0
66,29,6,2010,39887.3933734
66,29,6,2011,8035.82586389
66,29,6,2012,0.0
66,29,6,2013,0.0
66,29,6,2014,0.0
66,29,6,2015,0.0
66,29,6,2016,0.0
66,29,7,2000,0.0
66,29,7,2001,0.0
66,29,7,2002,361612.163875
66,29,7,2003,0.0
66,29,7,2004,39863.9061778
66,29,7,2005,8036.03369223
66,29,7,2006,0.0
66,29,7,2007,0.0
66,29,7,2008,0.0
66,29,7,2009,0.0
66,29,7,2010,0.0
66,29,7,2011,0.0
66,29,7,2012,0.0
66,29,7,2013,361621.516151
66,29,7,2014,0.0
66,29,7,2015,39818.1543248
66,29,7,2016,8036.5931467
66,29,8,2000,0.0
66,29,8,2001,0.0
66,29,8,2002,0.0
66,29,8,2003,0.0
66,29,8,2004,0.0
66,29,8,2005,0.0
