,,,value,value,value,value,value,value,value,value,value,value,value
technology,,,4,5,6,7,8,9,10,11,12,13,71
census region,housing types,year,,,,,,,,,,,
66,28,2000,,,,,,,,,,,
66,28,2001,,,,,,,,,,,
66,28,2002,,,,,,,,,,,
66,28,2003,,,,,,,,,,,
66,28,2004,,,,,,,,,,,
66,28,2005,,,,,,,,,,,
66,28,2006,,,,,,,,,,,
66,28,2007,,,,,,,,,,,
66,28,2008,,,,,,,,,,,
66,28,2009,,,,,,,,,,,
66,28,2010,,,,,,,,,,,
66,28,2011,,,,,,,,,,,
66,28,2012,,,,,,,,,,,
66,28,2013,,,,,,,,,,,
66,28,2014,,,,,,,,,,,
66,28,2015,,,,,,,,,,,
66,28,2016,,,,,,,,,,,
66,29,2000,,,,,,,,,,,
66,29,2001,,,,,,,,,,,
66,29,2002,,,,,,,,,,,
66,29,2003,,,,,,,,,,,
66,29,2004,,,,,,,,,,,
66,29,2005,,,,,,,,,,,
66,29,2006,,,,,,,,,,,
66,29,2007,,,,,,,,,,,
66,29,2008,,,,,,,,,,,
66,29,2009,,,,,,,,,,,
66,29,2010,,,,,,,,,,,
66,29,2011,,,,,,,,,,,
66,29,2012,,,,,,,,,,,
66,29,2013,,,,,,,,,,,
66,29,2014,,,,,,,,,,,
66,29,2015,,,,,,,,,,,
66,29,2016,,,,,,,,,,,
66,30,2000,,,,,,,,,,,
66,30,2001,,,,,,,,,,,
66,30,2002,,,,,,,,,,,
66,30,2003,,,,,,,,,,,
66,30,2004,,,,,,,,,,,
66,30,2005,,,,,,,,,,,
66,30,2006,,,,,,,,,,,
66,30,2007,,,,,,,,,,,
66,30,2008,,,,,,,,,,,
66,30,2009,,,,,,,,,,,
66,30,2010,,,,,,,,,,,
66,30,2011,,,,,,,,,,,
66,30,2012,,,,,,,,,,,
66,30,2013,,,,,,,,,,,
66,30,2014,,,,,,,,,,,
66,30,2015,,,,,,,,,,,
66,30,2016,,,,,,,,,,,
67,28,2000,,,,,,,,,,,
67,28,2001,,,,,,,,,,,
67,28,2002,,,,,,,,,,,
67,28,2003,,,,,,,,,,,
67,28,2004,,,,,,,,,,,
67,28,2005,,,,,,,,,,,
67,28,2006,,,,,,,,,,,
67,28,2007,,,,,,,,,,,
67,28,2008,,,,,,,,,,,
67,28,2009,,,,,,,,,,,
67,28,2010,,,,,,,,,,,
67,28,2011,,,,,,,,,,,
67,28,2012,,,,,,,,,,,
67,28,2013,,,,,,,,,,,
67,28,2014,,,,,,,,,,,
67,28,2015,,,,,,,,,,,
67,28,2016,,,,,,,,,,,
67,29,2000,,,,,,,,,,,
67,29,2001,,,,,,,,,,,
67,29,2002,,,,,,,,,,,
67,29,2003,,,,,,,,,,,
67,29,2004,,,,,,,,,,,
67,29,2005,,,,,,,,,,,
67,29,2006,,,,,,,,,,,
67,29,2007,,,,,,,,,,,
67,29,2008,,,,,,,,,,,
67,29,2009,,,,,,,,,,,
67,29,2010,,,,,,,,,,,
67,29,2011,,,,,,,,,,,
67,29,2012,,,,,,,,,,,
67,29,2013,,,,,,,,,,,
67,29,2014,,,,,,,,,,,
67,29,2015,,,,,,,,,,,
67,29,2016,,,,,,,,,,,
67,30,2000,,,,,,,,,,,
67,30,2001,,,,,,,,,,,
67,30,2002,,,,,,,,,,,
67,30,2003,,,,,,,,,,,
67,30,2004,,,,,,,,,,,
67,30,2005,,,,,,,,,,,
67,30,2006,,,,,,,,,,,
67,30,2007,,,,,,,,,,,
67,30,2008,,,,,,,,,,,
67,30,2009,,,,,,,,,,,
67,30,2010,,,,,,,,,,,
67,30,2011,,,,,,,,,,,
67,30,2012,,,,,,,,,,,
67,30,2013,,,,,,,,,,,
67,30,2014,,,,,,,,,,,
67,30,2015,,,,,,,,,,,
67,30,2016,,,,,,,,,,,
68,28,2000,,,,,,,,,,,
68,28,2001,,,,,,,,,,,
68,28,2002,,,,,,,,,,,
