census region,year,housing types,value
66,2000,28,12257641.969
66,2000,29,7232180.33416
66,2000,30,504696.790523
66,2001,28,12317470.4541
66,2001,29,7267479.97781
66,2001,30,507160.171694
66,2002,28,12372594.1224
66,2002,29,7300003.71368
66,2002,30,509429.83649
66,2003,28,12420561.3606
66,2003,29,7328305.05564
66,2003,30,511404.842061
66,2004,28,12449853.0075
66,2004,29,7345587.53726
66,2004,30,512610.897858
66,2005,28,12469735.0206
66,2005,29,7357318.20332
66,2005,30,513429.520906
66,2006,28,12495596.6895
66,2006,29,7372576.94995
66,2006,30,514494.35061
66,2007,28,12533898.8702
66,2007,29,7395175.77266
66,2007,30,516071.406597
66,2008,28,12574417.7653
66,2008,29,7419082.48795
66,2008,30,517739.733702
66,2009,28,12623970.0
66,2009,29,7448319.0
66,2009,30,519780.0
66,2010,28,12666071.611
66,2010,29,7473159.53981
66,2010,30,521513.493931
66,2011,28,12694560.4971
66,2011,29,7489968.38133
66,2011,30,522686.496812
66,2012,28,12717247.6119
66,2012,29,7503354.09663
66,2012,30,523620.617262
66,2013,28,12735394.1109
66,2013,29,7514060.78507
66,2013,30,524367.782162
66,2014,28,12751529.1468
66,2014,29,7523580.6821
66,2014,30,525032.126973
66,2015,28,12774533.2609
66,2015,29,7537153.43142
66,2015,30,525979.299568
66,2016,28,12797208.9729
66,2016,29,7550532.41887
66,2016,30,526912.950517
67,2000,28,18436188.7955
67,2000,29,5332438.76812
67,2000,30,1011333.9295
67,2001,28,18526863.8828
67,2001,29,5358665.41161
67,2001,30,1016307.99401
67,2002,28,18604657.1535
67,2002,29,5381166.14954
67,2002,30,1020575.41473
67,2003,28,18682764.406
67,2003,29,5403757.7028
67,2003,30,1024860.05921
67,2004,28,18752262.8485
67,2004,29,5423859.26466
67,2004,30,1028672.45959
67,2005,28,18816583.4459
67,2005,29,5442463.19907
67,2005,30,1032200.82454
67,2006,28,18891790.6484
67,2006,29,5464215.94886
67,2006,30,1036326.38414
67,2007,28,18968730.4594
67,2007,29,5486469.83419
67,2007,30,1040546.98756
67,2008,28,19033601.9522
67,2008,29,5505233.10823
67,2008,30,1044105.57238
67,2009,28,19101442.0
67,2009,29,5524855.0
67,2009,30,1047827.0
67,2010,28,19160036.7112
67,2010,29,5541802.79291
67,2010,30,1051041.26626
67,2011,28,19202955.1679
67,2011,29,5554216.42377
67,2011,30,1053395.59729
67,2012,28,19242322.7759
67,2012,29,5565603.01574
67,2012,30,1055555.14329
67,2013,28,19279886.4158
67,2013,29,5576467.83232
67,2013,30,1057615.73097
67,2014,28,19317338.7349
67,2014,29,5587300.45074
67,2014,30,1059670.21205
67,2015,28,19365369.386
67,2015,29,5601192.72039
67,2015,30,1062304.97717
67,2016,28,19412509.4706
67,2016,29,5614827.40472
67,2016,30,1064890.88945
68,2000,28,26198869.0363
68,2000,29,7336716.60689
68,2000,30,3423192.53885
68,2001,28,26540555.8133
68,2001,29,7432402.3805
68,2001,30,3467837.96321
68,2002,28,26884399.4906
68,2002,29,7528692.17123
68,2002,30,3512765.21212
68,2003,28,27229129.316
68,2003,29,7625230.11841
68,2003,30,3557808.24679
68,2004,28,27599721.1546
68,2004,29,7729010.44927
68,2004,30,3606230.45979
68,2005,28,27993750.4427
68,2005,29,7839354.19034
68,2005,30,3657715.05316
68,2006,28,28391649.1577
68,2006,29,7950781.52359
68,2006,30,3709705.233
68,2007,28,28807603.4665
68,2007,29,8067265.13516
68,2007,30,3764054.58999
68,2008,28,29174481.7985
68,2008,29,8170005.53773
68,2008,30,3811991.58938
68,2009,28,29513375.0
68,2009,29,8264909.0
68,2009,30,3856272.0
68,2010,28,29837975.4892
68,2010,29,8355809.93913
68,2010,30,3898684.89848
68,2011,28,30139473.758
68,2011,29,8440241.34541
68,2011,30,3938079.21824
68,2012,28,30440499.0679
68,2012,29,8524540.30455
68,2012,30,3977411.74033
68,2013,28,30748930.6015
68,2013,29,8610913.29842
68,2013,30,4017711.97325
68,2014,28,31069755.216
68,2014,29,8700756.84371
68,2014,30,4059631.50897
68,2015,28,31417208.4527
68,2015,29,8798057.45347
68,2015,30,4105030.38959
68,2016,28,31770817.9505
68,2016,29,8897082.05911
68,2016,30,4151233.65862
69,2000,28,14657160.458
69,2000,29,5425189.92455
69,2000,30,1223966.69373
69,2001,28,14887433.0493
69,2001,29,5510422.84165
69,2001,30,1243195.92869
69,2002,28,15098148.5011
69,2002,29,5588416.89444
69,2002,30,1260792.01735
69,2003,28,15298227.412
69,2003,29,5662473.94623
69,2003,30,1277499.88676
69,2004,28,15492799.1834
