vintage,census region,technology,final_energy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1999,66,11,6,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
1999,67,11,6,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
1999,68,11,6,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
1999,69,11,6,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2000,66,11,6,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2000,67,11,6,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2000,68,11,6,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2000,69,11,6,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2001,66,11,6,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2001,67,11,6,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2001,68,11,6,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2001,69,11,6,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2002,66,11,6,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2002,67,11,6,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2002,68,11,6,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2002,69,11,6,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2003,66,11,6,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2003,67,11,6,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2003,68,11,6,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2003,69,11,6,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2004,66,11,6,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2004,67,11,6,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2004,68,11,6,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2004,69,11,6,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2005,66,11,6,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2005,67,11,6,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2005,68,11,6,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2005,69,11,6,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2006,66,11,6,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
