census region,housing types,vintage,value
66,28,2000,0.0
66,28,2001,0.0
66,28,2002,0.0
66,28,2003,0.0
66,28,2004,0.0
66,28,2005,0.0
66,28,2006,0.0
66,28,2007,0.0
66,28,2008,0.0
66,28,2009,0.0
66,28,2010,0.0
66,28,2011,0.0
66,28,2012,0.0
66,28,2013,0.0
66,28,2014,0.0
66,28,2015,0.0
66,28,2016,0.0
66,29,2000,0.08
66,29,2001,0.08
66,29,2002,0.08
66,29,2003,0.08
66,29,2004,0.08
66,29,2005,0.08
66,29,2006,0.08
66,29,2007,0.08
66,29,2008,0.08
66,29,2009,0.08
66,29,2010,0.08
66,29,2011,0.08
66,29,2012,0.08
66,29,2013,0.08
66,29,2014,0.08
66,29,2015,0.08
66,29,2016,0.08
66,30,2000,0.0
66,30,2001,0.0
66,30,2002,0.0
66,30,2003,0.0
66,30,2004,0.0
66,30,2005,0.0
66,30,2006,0.0
66,30,2007,0.0
66,30,2008,0.0
66,30,2009,0.0
66,30,2010,0.0
66,30,2011,0.0
66,30,2012,0.0
66,30,2013,0.0
66,30,2014,0.0
66,30,2015,0.0
66,30,2016,0.0
67,28,2000,0.0
67,28,2001,0.0
67,28,2002,0.0
67,28,2003,0.0
67,28,2004,0.0
67,28,2005,0.0
67,28,2006,0.0
67,28,2007,0.0
67,28,2008,0.0
67,28,2009,0.0
67,28,2010,0.0
67,28,2011,0.0
67,28,2012,0.0
67,28,2013,0.0
67,28,2014,0.0
67,28,2015,0.0
67,28,2016,0.0
67,29,2000,0.1
67,29,2001,0.1
67,29,2002,0.1
67,29,2003,0.1
67,29,2004,0.1
67,29,2005,0.1
67,29,2006,0.1
67,29,2007,0.1
67,29,2008,0.1
67,29,2009,0.1
67,29,2010,0.1
67,29,2011,0.1
67,29,2012,0.1
67,29,2013,0.1
67,29,2014,0.1
67,29,2015,0.1
67,29,2016,0.1
67,30,2000,0.0
67,30,2001,0.0
67,30,2002,0.0
67,30,2003,0.0
67,30,2004,0.0
67,30,2005,0.0
67,30,2006,0.0
67,30,2007,0.0
67,30,2008,0.0
67,30,2009,0.0
67,30,2010,0.0
67,30,2011,0.0
67,30,2012,0.0
67,30,2013,0.0
67,30,2014,0.0
67,30,2015,0.0
67,30,2016,0.0
68,28,2000,0.534431219403
68,28,2001,0.534431219403
68,28,2002,0.534431219403
68,28,2003,0.534431219403
68,28,2004,0.534431219403
68,28,2005,0.534431219403
68,28,2006,0.534431219403
68,28,2007,0.534431219403
68,28,2008,0.534431219403
68,28,2009,0.533439932288
68,28,2010,0.521435009455
68,28,2011,0.509430086621
68,28,2012,0.497425163787
68,28,2013,0.499427242565
68,28,2014,0.499427242565
68,28,2015,0.499427242565
68,28,2016,0.499427242565
68,29,2000,0.56
68,29,2001,0.56
68,29,2002,0.56
68,29,2003,0.56
68,29,2004,0.56
68,29,2005,0.56
68,29,2006,0.56
68,29,2007,0.56
68,29,2008,0.56
68,29,2009,0.56
68,29,2010,0.56
68,29,2011,0.56
68,29,2012,0.56
68,29,2013,0.56
68,29,2014,0.56
68,29,2015,0.56
68,29,2016,0.56
68,30,2000,0.351918949223
68,30,2001,0.351918949223
68,30,2002,0.351918949223
68,30,2003,0.351918949223
68,30,2004,0.351918949223
68,30,2005,0.351918949223
68,30,2006,0.351918949223
68,30,2007,0.351918949223
68,30,2008,0.351918949223
68,30,2009,0.351918949223
68,30,2010,0.351918949223
68,30,2011,0.351918949223
68,30,2012,0.351918949223
68,30,2013,0.351918949223
68,30,2014,0.351918949223
68,30,2015,0.351918949223
68,30,2016,0.351918949223
69,28,2000,0.0701324643056
69,28,2001,0.0701324643056
69,28,2002,0.0701324643056
69,28,2003,0.0701324643056
69,28,2004,0.0701324643056
69,28,2005,0.0701324643056
69,28,2006,0.0701324643056
69,28,2007,0.0701324643056
69,28,2008,0.0701324643056
69,28,2009,0.059640244877
69,28,2010,0.0362982087604
69,28,2011,0.0129561726439
69,28,2012,0.0
69,28,2013,0.0
69,28,2014,0.0
69,28,2015,0.0
69,28,2016,0.0
69,29,2000,0.25
69,29,2001,0.25
69,29,2002,0.25
69,29,2003,0.25
69,29,2004,0.25
69,29,2005,0.25
69,29,2006,0.25
69,29,2007,0.25
69,29,2008,0.25
69,29,2009,0.25
69,29,2010,0.25
69,29,2011,0.25
69,29,2012,0.25
69,29,2013,0.25
69,29,2014,0.25
69,29,2015,0.25
69,29,2016,0.25
69,30,2000,0.0526446405067
69,30,2001,0.0526446405067
69,30,2002,0.0526446405067
69,30,2003,0.0526446405067
69,30,2004,0.0526446405067
69,30,2005,0.0526446405067
69,30,2006,0.0526446405067
69,30,2007,0.0526446405067
69,30,2008,0.0526446405067
69,30,2009,0.0526446405067
69,30,2010,0.0526446405067
69,30,2011,0.0526446405067
69,30,2012,0.0526446405067
69,30,2013,0.0526446405067
69,30,2014,0.0526446405067
69,30,2015,0.0526446405067
69,30,2016,0.0526446405067
