vintage,census region,technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1999,66,6,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
1999,67,6,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
1999,68,6,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
1999,69,6,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2000,66,6,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2000,67,6,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2000,68,6,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2000,69,6,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2001,66,6,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2001,67,6,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2001,68,6,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2001,69,6,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2002,66,6,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2002,67,6,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2002,68,6,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2002,69,6,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2003,66,6,0.0,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2003,67,6,0.0,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2003,68,6,0.0,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2003,69,6,0.0,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2004,66,6,0.0,0.0,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2004,67,6,0.0,0.0,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2004,68,6,0.0,0.0,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2004,69,6,0.0,0.0,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2005,66,6,0.0,0.0,0.0,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2005,67,6,0.0,0.0,0.0,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
2005,68,6,0.0,0.0,0.0,0.0,0.0,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246,173.305741246
