census division,housing types,vintage,value
56,28,2009,0.03702
56,28,2010,0.09421
56,28,2011,0.06989
56,28,2012,0.05828
56,29,2009,0.02
56,29,2010,0.02
56,29,2011,0.02
56,29,2012,0.02
56,30,2009,0.26475
56,30,2010,0.26475
56,30,2011,0.26475
56,30,2012,0.26475
57,28,2009,0.00194
57,28,2010,0.03128
57,28,2011,0.00862
57,28,2012,0.01206
57,29,2009,0.02
57,29,2010,0.02
57,29,2011,0.02
57,29,2012,0.02
57,30,2009,0.09463
57,30,2010,0.09463
57,30,2011,0.09463
57,30,2012,0.09463
58,28,2009,0.00226
58,28,2010,0.01089
58,28,2011,0.0
58,28,2012,0.0
58,29,2009,0.0
58,29,2010,0.0
58,29,2011,0.0
58,29,2012,0.0
58,30,2009,0.0
58,30,2010,0.0
58,30,2011,0.0
58,30,2012,0.0
59,28,2009,0.00168
59,28,2010,0.00438
59,28,2011,0.0
59,28,2012,0.0
59,29,2009,0.0
59,29,2010,0.0
59,29,2011,0.0
59,29,2012,0.0
59,30,2009,0.0
59,30,2010,0.0
59,30,2011,0.0
59,30,2012,0.0
60,28,2009,0.00639
60,28,2010,0.00532
60,28,2011,0.0
60,28,2012,0.00074
60,29,2009,0.0
60,29,2010,0.0
60,29,2011,0.0
60,29,2012,0.0
60,30,2009,0.0
60,30,2010,0.0
60,30,2011,0.0
60,30,2012,0.0
61,28,2009,0.0
61,28,2010,0.0
61,28,2011,0.0
61,28,2012,0.0
61,29,2009,0.0
61,29,2010,0.0
61,29,2011,0.0
61,29,2012,0.0
61,30,2009,0.0
61,30,2010,0.0
61,30,2011,0.0
61,30,2012,0.0
62,28,2009,0.00049
62,28,2010,0.00133
62,28,2011,0.0
62,28,2012,0.0
62,29,2009,0.0
62,29,2010,0.0
62,29,2011,0.0
62,29,2012,0.0
62,30,2009,0.0
62,30,2010,0.0
62,30,2011,0.0
62,30,2012,0.0
63,28,2009,0.00176
63,28,2010,0.00285
63,28,2011,0.00295
63,28,2012,0.0
63,29,2009,0.0
63,29,2010,0.0
63,29,2011,0.0
63,29,2012,0.0
63,30,2009,0.0
63,30,2010,0.0
63,30,2011,0.0
63,30,2012,0.0
64,28,2009,0.0
64,28,2010,0.014
64,28,2011,0.0
64,28,2012,0.0
64,29,2009,0.0
64,29,2010,0.0
64,29,2011,0.0
64,29,2012,0.0
64,30,2009,0.0
64,30,2010,0.0
64,30,2011,0.0
64,30,2012,0.0
