census division,housing types,vintage,value
56,28,2009,0.01118
56,28,2010,0.01054
56,28,2011,0.01358
56,28,2012,0.0
56,29,2009,0.0
56,29,2010,0.0
56,29,2011,0.0
56,29,2012,0.0
56,30,2009,0.0
56,30,2010,0.0
56,30,2011,0.0
56,30,2012,0.0
57,28,2009,0.02356
57,28,2010,0.01447
57,28,2011,0.04628
57,28,2012,0.02149
57,29,2009,0.0
57,29,2010,0.0
57,29,2011,0.0
57,29,2012,0.0
57,30,2009,0.0
57,30,2010,0.0
57,30,2011,0.0
57,30,2012,0.0
58,28,2009,0.03904
58,28,2010,0.02065
58,28,2011,0.02474
58,28,2012,0.03486
58,29,2009,0.25
58,29,2010,0.25
58,29,2011,0.25
58,29,2012,0.25
58,30,2009,0.0
58,30,2010,0.0
58,30,2011,0.0
58,30,2012,0.0
59,28,2009,0.10064
59,28,2010,0.11889
59,28,2011,0.10491
59,28,2012,0.08205
59,29,2009,0.25
59,29,2010,0.25
59,29,2011,0.25
59,29,2012,0.25
59,30,2009,0.47094
59,30,2010,0.47094
59,30,2011,0.47094
59,30,2012,0.47094
60,28,2009,0.02249
60,28,2010,0.01876
60,28,2011,0.01665
60,28,2012,0.01694
60,29,2009,0.39
60,29,2010,0.39
60,29,2011,0.39
60,29,2012,0.39
60,30,2009,0.31133
60,30,2010,0.31133
60,30,2011,0.31133
60,30,2012,0.31133
61,28,2009,0.05959
61,28,2010,0.02122
61,28,2011,0.02914
61,28,2012,0.04241
61,29,2009,0.39
61,29,2010,0.39
61,29,2011,0.39
61,29,2012,0.39
61,30,2009,0.63223
61,30,2010,0.63223
61,30,2011,0.63223
61,30,2012,0.63223
62,28,2009,0.20575
62,28,2010,0.28084
62,28,2011,0.21693
62,28,2012,0.14524
62,29,2009,0.39
62,29,2010,0.39
62,29,2011,0.39
62,29,2012,0.39
62,30,2009,0.65678
62,30,2010,0.65678
62,30,2011,0.65678
62,30,2012,0.65678
63,28,2009,0.04406
63,28,2010,0.03068
63,28,2011,0.03174
63,28,2012,0.02299
63,29,2009,0.1
63,29,2010,0.1
63,29,2011,0.1
63,29,2012,0.1
63,30,2009,0.14639
63,30,2010,0.14639
63,30,2011,0.14639
63,30,2012,0.14639
64,28,2009,0.04195
64,28,2010,0.04687
64,28,2011,0.0464
64,28,2012,0.02844
64,29,2009,0.1
64,29,2010,0.1
64,29,2011,0.1
64,29,2012,0.1
64,30,2009,0.41924
64,30,2010,0.41924
64,30,2011,0.41924
64,30,2012,0.41924
