vintage,census region,technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1999,66,10,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
1999,67,10,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
1999,68,10,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
1999,69,10,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2000,66,10,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2000,67,10,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2000,68,10,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2000,69,10,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2001,66,10,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2001,67,10,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2001,68,10,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2001,69,10,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2002,66,10,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2002,67,10,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2002,68,10,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2002,69,10,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2003,66,10,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2003,67,10,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2003,68,10,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2003,69,10,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2004,66,10,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2004,67,10,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2004,68,10,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2004,69,10,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2005,66,10,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2005,67,10,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2005,68,10,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2005,69,10,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2006,66,10,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2006,67,10,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2006,68,10,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2006,69,10,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2007,66,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2007,67,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2007,68,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2007,69,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2008,66,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2008,67,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2008,68,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2008,69,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2009,66,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2009,67,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2009,68,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2009,69,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733,585.650200733
2010,66,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.455622424,547.455622424,547.455622424,547.455622424,547.455622424,547.455622424,547.455622424
2010,67,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.455622424,547.455622424,547.455622424,547.455622424,547.455622424,547.455622424,547.455622424
2010,68,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.455622424,547.455622424,547.455622424,547.455622424,547.455622424,547.455622424,547.455622424
2010,69,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.455622424,547.455622424,547.455622424,547.455622424,547.455622424,547.455622424,547.455622424
2011,66,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.261044116,509.261044116,509.261044116,509.261044116,509.261044116,509.261044116
2011,67,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.261044116,509.261044116,509.261044116,509.261044116,509.261044116,509.261044116
2011,68,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.261044116,509.261044116,509.261044116,509.261044116,509.261044116,509.261044116
2011,69,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.261044116,509.261044116,509.261044116,509.261044116,509.261044116,509.261044116
2012,66,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.066465807,471.066465807,471.066465807,471.066465807,471.066465807
2012,67,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.066465807,471.066465807,471.066465807,471.066465807,471.066465807
2012,68,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.066465807,471.066465807,471.066465807,471.066465807,471.066465807
2012,69,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.066465807,471.066465807,471.066465807,471.066465807,471.066465807
2013,66,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.871887498,432.871887498,432.871887498,432.871887498
2013,67,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.871887498,432.871887498,432.871887498,432.871887498
2013,68,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.871887498,432.871887498,432.871887498,432.871887498
2013,69,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.871887498,432.871887498,432.871887498,432.871887498
2014,66,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.871887498,432.871887498,432.871887498
2014,67,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.871887498,432.871887498,432.871887498
2014,68,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.871887498,432.871887498,432.871887498
2014,69,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.871887498,432.871887498,432.871887498
