census division,housing types,vintage,value
56,28,2009,0.04568
56,28,2010,0.06134
56,28,2011,0.04632
56,28,2012,0.03681
56,29,2009,0.0
56,29,2010,0.0
56,29,2011,0.0
56,29,2012,0.0
56,30,2009,0.0
56,30,2010,0.0
56,30,2011,0.0
56,30,2012,0.0
57,28,2009,0.16167
57,28,2010,0.09857
57,28,2011,0.16873
57,28,2012,0.08523
57,29,2009,0.0
57,29,2010,0.0
57,29,2011,0.0
57,29,2012,0.0
57,30,2009,0.0
57,30,2010,0.0
57,30,2011,0.0
57,30,2012,0.0
58,28,2009,0.22618
58,28,2010,0.20928
58,28,2011,0.18328
58,28,2012,0.19413
58,29,2009,0.0
58,29,2010,0.0
58,29,2011,0.0
58,29,2012,0.0
58,30,2009,0.0
58,30,2010,0.0
58,30,2011,0.0
58,30,2012,0.0
59,28,2009,0.17526
59,28,2010,0.13832
59,28,2011,0.16502
59,28,2012,0.12772
59,29,2009,0.0
59,29,2010,0.0
59,29,2011,0.0
59,29,2012,0.0
59,30,2009,0.0
59,30,2010,0.0
59,30,2011,0.0
59,30,2012,0.0
60,28,2009,0.07323
60,28,2010,0.10199
60,28,2011,0.10971
60,28,2012,0.11209
60,29,2009,0.0
60,29,2010,0.0
60,29,2011,0.0
60,29,2012,0.0
60,30,2009,0.0
60,30,2010,0.0
60,30,2011,0.0
60,30,2012,0.0
61,28,2009,0.1088
61,28,2010,0.13961
61,28,2011,0.16235
61,28,2012,0.19564
61,29,2009,0.0
61,29,2010,0.0
61,29,2011,0.0
61,29,2012,0.0
61,30,2009,0.0
61,30,2010,0.0
61,30,2011,0.0
61,30,2012,0.0
62,28,2009,0.04933
62,28,2010,0.06791
62,28,2011,0.07496
62,28,2012,0.07817
62,29,2009,0.0
62,29,2010,0.0
62,29,2011,0.0
62,29,2012,0.0
62,30,2009,0.0
62,30,2010,0.0
62,30,2011,0.0
62,30,2012,0.0
63,28,2009,0.06072
63,28,2010,0.08264
63,28,2011,0.08699
63,28,2012,0.07628
63,29,2009,0.0
63,29,2010,0.0
63,29,2011,0.0
63,29,2012,0.0
63,30,2009,0.0
63,30,2010,0.0
63,30,2011,0.0
63,30,2012,0.0
64,28,2009,0.03961
64,28,2010,0.06128
64,28,2011,0.07206
64,28,2012,0.04603
64,29,2009,0.0
64,29,2010,0.0
64,29,2011,0.0
64,29,2012,0.0
64,30,2009,0.0
64,30,2010,0.0
64,30,2011,0.0
64,30,2012,0.0
