census region,housing types,vintage,value
66,28,2000,0.130702082752
66,28,2001,0.130702082752
66,28,2002,0.130702082752
66,28,2003,0.130702082752
66,28,2004,0.130702082752
66,28,2005,0.130702082752
66,28,2006,0.130702082752
66,28,2007,0.130702082752
66,28,2008,0.130702082752
66,28,2009,0.126087787454
66,28,2010,0.113309695303
66,28,2011,0.100531603152
66,28,2012,0.0877535110015
66,28,2013,0.072302449753
66,28,2014,0.072302449753
66,28,2015,0.072302449753
66,28,2016,0.072302449753
66,29,2000,0.0
66,29,2001,0.0
66,29,2002,0.0
66,29,2003,0.0
66,29,2004,0.0
66,29,2005,0.0
66,29,2006,0.0
66,29,2007,0.0
66,29,2008,0.0
66,29,2009,0.0
66,29,2010,0.0
66,29,2011,0.0
66,29,2012,0.0
66,29,2013,0.0
66,29,2014,0.0
66,29,2015,0.0
66,29,2016,0.0
66,30,2000,0.0
66,30,2001,0.0
66,30,2002,0.0
66,30,2003,0.0
66,30,2004,0.0
66,30,2005,0.0
66,30,2006,0.0
66,30,2007,0.0
66,30,2008,0.0
66,30,2009,0.0
66,30,2010,0.0
66,30,2011,0.0
66,30,2012,0.0
66,30,2013,0.0
66,30,2014,0.0
66,30,2015,0.0
66,30,2016,0.0
67,28,2000,0.215019456019
67,28,2001,0.215019456019
67,28,2002,0.215019456019
67,28,2003,0.215019456019
67,28,2004,0.215019456019
67,28,2005,0.215019456019
67,28,2006,0.215019456019
67,28,2007,0.215019456019
67,28,2008,0.215019456019
67,28,2009,0.210017373956
67,28,2010,0.197938921853
67,28,2011,0.185860469749
67,28,2012,0.173782017646
67,28,2013,0.179574388732
67,28,2014,0.179574388732
67,28,2015,0.179574388732
67,28,2016,0.179574388732
67,29,2000,0.0
67,29,2001,0.0
67,29,2002,0.0
67,29,2003,0.0
67,29,2004,0.0
67,29,2005,0.0
67,29,2006,0.0
67,29,2007,0.0
67,29,2008,0.0
67,29,2009,0.0
67,29,2010,0.0
67,29,2011,0.0
67,29,2012,0.0
67,29,2013,0.0
67,29,2014,0.0
67,29,2015,0.0
67,29,2016,0.0
67,30,2000,0.0
67,30,2001,0.0
67,30,2002,0.0
67,30,2003,0.0
67,30,2004,0.0
67,30,2005,0.0
67,30,2006,0.0
67,30,2007,0.0
67,30,2008,0.0
67,30,2009,0.0
67,30,2010,0.0
67,30,2011,0.0
67,30,2012,0.0
67,30,2013,0.0
67,30,2014,0.0
67,30,2015,0.0
67,30,2016,0.0
68,28,2000,0.071847931268
68,28,2001,0.071847931268
68,28,2002,0.071847931268
68,28,2003,0.071847931268
68,28,2004,0.071847931268
68,28,2005,0.071847931268
68,28,2006,0.071847931268
68,28,2007,0.071847931268
68,28,2008,0.071847931268
68,28,2009,0.0771000017115
68,28,2010,0.0912252701465
68,28,2011,0.105350538582
68,28,2012,0.119475807017
68,28,2013,0.115598519619
68,28,2014,0.115598519619
68,28,2015,0.115598519619
68,28,2016,0.115598519619
68,29,2000,0.0
68,29,2001,0.0
68,29,2002,0.0
68,29,2003,0.0
68,29,2004,0.0
68,29,2005,0.0
68,29,2006,0.0
68,29,2007,0.0
68,29,2008,0.0
68,29,2009,0.0
68,29,2010,0.0
68,29,2011,0.0
68,29,2012,0.0
68,29,2013,0.0
68,29,2014,0.0
68,29,2015,0.0
68,29,2016,0.0
68,30,2000,0.0
68,30,2001,0.0
68,30,2002,0.0
68,30,2003,0.0
68,30,2004,0.0
68,30,2005,0.0
68,30,2006,0.0
68,30,2007,0.0
68,30,2008,0.0
68,30,2009,0.0
68,30,2010,0.0
68,30,2011,0.0
68,30,2012,0.0
68,30,2013,0.0
68,30,2014,0.0
68,30,2015,0.0
68,30,2016,0.0
69,28,2000,0.0460435322513
69,28,2001,0.0460435322513
69,28,2002,0.0460435322513
69,28,2003,0.0460435322513
69,28,2004,0.0460435322513
69,28,2005,0.0460435322513
69,28,2006,0.0460435322513
69,28,2007,0.0460435322513
69,28,2008,0.0460435322513
69,28,2009,0.0559575598846
69,28,2010,0.0596012559621
69,28,2011,0.0632449520396
69,28,2012,0.066888648117
69,28,2013,0.0552490597159
69,28,2014,0.0552490597159
69,28,2015,0.0552490597159
69,28,2016,0.0552490597159
69,29,2000,0.0
69,29,2001,0.0
69,29,2002,0.0
69,29,2003,0.0
69,29,2004,0.0
69,29,2005,0.0
69,29,2006,0.0
69,29,2007,0.0
69,29,2008,0.0
69,29,2009,0.0
69,29,2010,0.0
69,29,2011,0.0
69,29,2012,0.0
69,29,2013,0.0
69,29,2014,0.0
69,29,2015,0.0
69,29,2016,0.0
69,30,2000,0.0
69,30,2001,0.0
69,30,2002,0.0
69,30,2003,0.0
69,30,2004,0.0
69,30,2005,0.0
69,30,2006,0.0
69,30,2007,0.0
69,30,2008,0.0
69,30,2009,0.0
69,30,2010,0.0
69,30,2011,0.0
69,30,2012,0.0
69,30,2013,0.0
69,30,2014,0.0
69,30,2015,0.0
69,30,2016,0.0
