census region,vintage,technology,value
66,1999,12,775.0
66,2000,12,775.0
66,2001,12,775.0
66,2002,12,775.0
66,2003,12,775.0
66,2004,12,775.0
66,2005,12,775.0
66,2006,12,775.0
66,2007,12,775.0
66,2008,12,775.0
66,2009,12,775.0
66,2010,12,818.75
66,2011,12,862.5
66,2012,12,906.25
66,2013,12,950.0
66,2014,12,950.0
66,2015,12,950.0
66,2016,12,950.0
67,1999,12,775.0
67,2000,12,775.0
67,2001,12,775.0
67,2002,12,775.0
67,2003,12,775.0
67,2004,12,775.0
67,2005,12,775.0
67,2006,12,775.0
67,2007,12,775.0
67,2008,12,775.0
67,2009,12,775.0
67,2010,12,818.75
67,2011,12,862.5
67,2012,12,906.25
67,2013,12,950.0
67,2014,12,950.0
67,2015,12,950.0
67,2016,12,950.0
68,1999,12,775.0
68,2000,12,775.0
68,2001,12,775.0
68,2002,12,775.0
68,2003,12,775.0
68,2004,12,775.0
68,2005,12,775.0
68,2006,12,775.0
68,2007,12,775.0
68,2008,12,775.0
68,2009,12,775.0
68,2010,12,818.75
68,2011,12,862.5
68,2012,12,906.25
68,2013,12,950.0
68,2014,12,950.0
68,2015,12,950.0
68,2016,12,950.0
69,1999,12,775.0
69,2000,12,775.0
69,2001,12,775.0
69,2002,12,775.0
69,2003,12,775.0
69,2004,12,775.0
69,2005,12,775.0
69,2006,12,775.0
69,2007,12,775.0
69,2008,12,775.0
69,2009,12,775.0
69,2010,12,818.75
69,2011,12,862.5
69,2012,12,906.25
69,2013,12,950.0
69,2014,12,950.0
69,2015,12,950.0
69,2016,12,950.0
