census division,housing types,vintage,value
56,28,2009,0.0
56,28,2010,5e-05
56,28,2011,0.00062
56,28,2012,0.00064
56,29,2009,0.0
56,29,2010,0.0
56,29,2011,0.0
56,29,2012,0.0
56,30,2009,0.73525
56,30,2010,0.73525
56,30,2011,0.73525
56,30,2012,0.73525
57,28,2009,0.0
57,28,2010,6e-05
57,28,2011,0.00029
57,28,2012,0.00029
57,29,2009,0.0
57,29,2010,0.0
57,29,2011,0.0
57,29,2012,0.0
57,30,2009,0.50338
57,30,2010,0.50338
57,30,2011,0.50338
57,30,2012,0.50338
58,28,2009,0.0
58,28,2010,5e-05
58,28,2011,0.00019
58,28,2012,0.00018
58,29,2009,0.0
58,29,2010,0.0
58,29,2011,0.0
58,29,2012,0.0
58,30,2009,0.0
58,30,2010,0.0
58,30,2011,0.0
58,30,2012,0.0
59,28,2009,0.0
59,28,2010,0.00011
59,28,2011,0.00025
59,28,2012,0.00023
59,29,2009,0.0
59,29,2010,0.0
59,29,2011,0.0
59,29,2012,0.0
59,30,2009,0.0
59,30,2010,0.0
59,30,2011,0.0
59,30,2012,0.0
60,28,2009,0.0
60,28,2010,3e-05
60,28,2011,7e-05
60,28,2012,7e-05
60,29,2009,0.0
60,29,2010,0.0
60,29,2011,0.0
60,29,2012,0.0
60,30,2009,0.0
60,30,2010,0.0
60,30,2011,0.0
60,30,2012,0.0
61,28,2009,0.0
61,28,2010,0.00013
61,28,2011,0.00023
61,28,2012,0.00028
61,29,2009,0.0
61,29,2010,0.0
61,29,2011,0.0
61,29,2012,0.0
61,30,2009,0.03098
61,30,2010,0.03098
61,30,2011,0.03098
61,30,2012,0.03098
62,28,2009,0.0
62,28,2010,7e-05
62,28,2011,9e-05
62,28,2012,0.0001
62,29,2009,0.0
62,29,2010,0.0
62,29,2011,0.0
62,29,2012,0.0
62,30,2009,0.0
62,30,2010,0.0
62,30,2011,0.0
62,30,2012,0.0
63,28,2009,0.0
63,28,2010,0.00015
63,28,2011,0.00019
63,28,2012,0.00017
63,29,2009,0.0
63,29,2010,0.0
63,29,2011,0.0
63,29,2012,0.0
63,30,2009,0.0
63,30,2010,0.0
63,30,2011,0.0
63,30,2012,0.0
64,28,2009,0.0
64,28,2010,0.00014
64,28,2011,0.00017
64,28,2012,0.00018
64,29,2009,0.0
64,29,2010,0.0
64,29,2011,0.0
64,29,2012,0.0
64,30,2009,0.0
64,30,2010,0.0
64,30,2011,0.0
64,30,2012,0.0
