census division,housing types,vintage,value
56,28,2009,0.01548
56,28,2010,0.23149
56,28,2011,0.28631
56,28,2012,0.41286
56,29,2009,0.0
56,29,2010,0.0
56,29,2011,0.0
56,29,2012,0.0
56,30,2009,0.0
56,30,2010,0.0
56,30,2011,0.0
56,30,2012,0.0
57,28,2009,0.00177
57,28,2010,0.03815
57,28,2011,0.04644
57,28,2012,0.03798
57,29,2009,0.0
57,29,2010,0.0
57,29,2011,0.0
57,29,2012,0.0
57,30,2009,0.22959
57,30,2010,0.22959
57,30,2011,0.22959
57,30,2012,0.22959
58,28,2009,0.00237
58,28,2010,0.13463
58,28,2011,0.16247
58,28,2012,0.11424
58,29,2009,0.0
58,29,2010,0.0
58,29,2011,0.0
58,29,2012,0.0
58,30,2009,0.28452
58,30,2010,0.28452
58,30,2011,0.28452
58,30,2012,0.28452
59,28,2009,0.00327
59,28,2010,0.01462
59,28,2011,0.02079
59,28,2012,0.02165
59,29,2009,0.0
59,29,2010,0.0
59,29,2011,0.0
59,29,2012,0.0
59,30,2009,0.52907
59,30,2010,0.52907
59,30,2011,0.52907
59,30,2012,0.52907
60,28,2009,0.0049
60,28,2010,0.01896
60,28,2011,0.04481
60,28,2012,0.06316
60,29,2009,0.0
60,29,2010,0.0
60,29,2011,0.0
60,29,2012,0.0
60,30,2009,0.04113
60,30,2010,0.04113
60,30,2011,0.04113
60,30,2012,0.04113
61,28,2009,0.0
61,28,2010,0.0048
61,28,2011,0.00912
61,28,2012,0.01703
61,29,2009,0.0
61,29,2010,0.0
61,29,2011,0.0
61,29,2012,0.0
61,30,2009,0.15407
61,30,2010,0.15407
61,30,2011,0.15407
61,30,2012,0.15407
62,28,2009,0.0
62,28,2010,0.00792
62,28,2011,0.0205
62,28,2012,0.01496
62,29,2009,0.0
62,29,2010,0.0
62,29,2011,0.0
62,29,2012,0.0
62,30,2009,0.1046
62,30,2010,0.1046
62,30,2011,0.1046
62,30,2012,0.1046
63,28,2009,0.0
63,28,2010,0.03748
63,28,2011,0.0509
63,28,2012,0.03385
63,29,2009,0.0
63,29,2010,0.0
63,29,2011,0.0
63,29,2012,0.0
63,30,2009,0.37819
63,30,2010,0.37819
63,30,2011,0.37819
63,30,2012,0.37819
64,28,2009,0.0
64,28,2010,0.04242
64,28,2011,0.03251
64,28,2012,0.0386
64,29,2009,0.0
64,29,2010,0.0
64,29,2011,0.0
64,29,2012,0.0
64,30,2009,0.0
64,30,2010,0.0
64,30,2011,0.0
64,30,2012,0.0
