census region,housing types,vintage,value
66,28,2000,0.0834391211961
66,28,2001,0.0834391211961
66,28,2002,0.0834391211961
66,28,2003,0.0834391211961
66,28,2004,0.0834391211961
66,28,2005,0.0834391211961
66,28,2006,0.0834391211961
66,28,2007,0.0834391211961
66,28,2008,0.0834391211961
66,28,2009,0.067520587277
66,28,2010,0.0488077732192
66,28,2011,0.0300949591614
66,28,2012,0.0113821451035
66,28,2013,0.0243605878804
66,28,2014,0.0243605878804
66,28,2015,0.0243605878804
66,28,2016,0.0243605878804
66,29,2000,0.0
66,29,2001,0.0
66,29,2002,0.0
66,29,2003,0.0
66,29,2004,0.0
66,29,2005,0.0
66,29,2006,0.0
66,29,2007,0.0
66,29,2008,0.0
66,29,2009,0.0
66,29,2010,0.0
66,29,2011,0.0
66,29,2012,0.0
66,29,2013,0.0
66,29,2014,0.0
66,29,2015,0.0
66,29,2016,0.0
66,30,2000,0.0
66,30,2001,0.0
66,30,2002,0.0
66,30,2003,0.0
66,30,2004,0.0
66,30,2005,0.0
66,30,2006,0.0
66,30,2007,0.0
66,30,2008,0.0
66,30,2009,0.0
66,30,2010,0.0
66,30,2011,0.0
66,30,2012,0.0
66,30,2013,0.0
66,30,2014,0.0
66,30,2015,0.0
66,30,2016,0.0
67,28,2000,0.0388171268798
67,28,2001,0.0388171268798
67,28,2002,0.0388171268798
67,28,2003,0.0388171268798
67,28,2004,0.0388171268798
67,28,2005,0.0388171268798
67,28,2006,0.0388171268798
67,28,2007,0.0388171268798
67,28,2008,0.0388171268798
67,28,2009,0.0314497563339
67,28,2010,0.025351700981
67,28,2011,0.0192536456281
67,28,2012,0.0131555902752
67,28,2013,0.0193247963197
67,28,2014,0.0193247963197
67,28,2015,0.0193247963197
67,28,2016,0.0193247963197
67,29,2000,0.0
67,29,2001,0.0
67,29,2002,0.0
67,29,2003,0.0
67,29,2004,0.0
67,29,2005,0.0
67,29,2006,0.0
67,29,2007,0.0
67,29,2008,0.0
67,29,2009,0.0
67,29,2010,0.0
67,29,2011,0.0
67,29,2012,0.0
67,29,2013,0.0
67,29,2014,0.0
67,29,2015,0.0
67,29,2016,0.0
67,30,2000,0.0
67,30,2001,0.0
67,30,2002,0.0
67,30,2003,0.0
67,30,2004,0.0
67,30,2005,0.0
67,30,2006,0.0
67,30,2007,0.0
67,30,2008,0.0
67,30,2009,0.0
67,30,2010,0.0
67,30,2011,0.0
67,30,2012,0.0
67,30,2013,0.0
67,30,2014,0.0
67,30,2015,0.0
67,30,2016,0.0
68,28,2000,0.0
68,28,2001,0.0
68,28,2002,0.0
68,28,2003,0.0
68,28,2004,0.0
68,28,2005,0.0
68,28,2006,0.0
68,28,2007,0.0
68,28,2008,0.0
68,28,2009,0.000431168633419
68,28,2010,0.000376150326206
68,28,2011,0.000378036590761
68,28,2012,0.000379922855316
68,28,2013,0.000381809119871
68,28,2014,0.000381809119871
68,28,2015,0.000381809119871
68,28,2016,0.000381809119871
68,29,2000,0.0
68,29,2001,0.0
68,29,2002,0.0
68,29,2003,0.0
68,29,2004,0.0
68,29,2005,0.0
68,29,2006,0.0
68,29,2007,0.0
68,29,2008,0.0
68,29,2009,0.0
68,29,2010,0.0
68,29,2011,0.0
68,29,2012,0.0
68,29,2013,0.0
68,29,2014,0.0
68,29,2015,0.0
68,29,2016,0.0
68,30,2000,0.0
68,30,2001,0.0
68,30,2002,0.0
68,30,2003,0.0
68,30,2004,0.0
68,30,2005,0.0
68,30,2006,0.0
68,30,2007,0.0
68,30,2008,0.0
68,30,2009,0.0
68,30,2010,0.0
68,30,2011,0.0
68,30,2012,0.0
68,30,2013,0.0
68,30,2014,0.0
68,30,2015,0.0
68,30,2016,0.0
69,28,2000,0.0240200041989
69,28,2001,0.0240200041989
69,28,2002,0.0240200041989
69,28,2003,0.0240200041989
69,28,2004,0.0240200041989
69,28,2005,0.0240200041989
69,28,2006,0.0240200041989
69,28,2007,0.0240200041989
69,28,2008,0.0240200041989
69,28,2009,0.0207246260278
69,28,2010,0.0160225285563
69,28,2011,0.0113204310848
69,28,2012,0.00661833361326
69,28,2013,0.00886695195706
69,28,2014,0.00886695195706
69,28,2015,0.00886695195706
69,28,2016,0.00886695195706
69,29,2000,0.0
69,29,2001,0.0
69,29,2002,0.0
69,29,2003,0.0
69,29,2004,0.0
69,29,2005,0.0
69,29,2006,0.0
69,29,2007,0.0
69,29,2008,0.0
69,29,2009,0.0
69,29,2010,0.0
69,29,2011,0.0
69,29,2012,0.0
69,29,2013,0.0
69,29,2014,0.0
69,29,2015,0.0
69,29,2016,0.0
69,30,2000,0.15380743534
69,30,2001,0.15380743534
69,30,2002,0.15380743534
69,30,2003,0.15380743534
69,30,2004,0.15380743534
69,30,2005,0.15380743534
69,30,2006,0.15380743534
69,30,2007,0.15380743534
69,30,2008,0.15380743534
69,30,2009,0.15380743534
69,30,2010,0.15380743534
69,30,2011,0.15380743534
69,30,2012,0.15380743534
69,30,2013,0.15380743534
69,30,2014,0.15380743534
69,30,2015,0.15380743534
69,30,2016,0.15380743534
