vintage,census region,technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1999,66,71,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
1999,67,71,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
1999,68,71,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
1999,69,71,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2000,66,71,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2000,67,71,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2000,68,71,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2000,69,71,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2001,66,71,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2001,67,71,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2001,68,71,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2001,69,71,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2002,66,71,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2002,67,71,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2002,68,71,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2002,69,71,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2003,66,71,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2003,67,71,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2003,68,71,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2003,69,71,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2004,66,71,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2004,67,71,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
