census division,year,value
56,1990,4018070000.0
56,1991,3852730000.0
56,1992,3654060000.0
56,1993,3251380000.0
56,1994,2791020000.0
56,1995,3285470000.0
56,1996,3246180000.0
56,1997,3219710000.0
56,1998,3612850000.0
56,1999,4053010000.0
56,2000,4153490000.0
56,2001,4033790000.0
56,2002,3941530000.0
56,2003,3422530000.0
56,2004,3476460000.0
56,2005,3785830000.0
56,2006,3586750000.0
56,2007,4005050000.0
56,2008,3884490000.0
56,2009,3159990000.0
56,2010,3447450000.0
56,2011,3329530000.0
56,2012,3353460000.0
56,2013,3365330000.0
56,2014,3499120000.0
56,2015,3909490000.0
56,2016,3981750000.0
56,2017,3824800000.0
56,2018,3937760000.0
56,2019,4044590000.0
56,2020,4185310000.0
56,2021,4235720000.0
56,2022,4280410000.0
56,2023,4361750000.0
56,2024,4437200000.0
56,2025,4512390000.0
56,2026,4542750000.0
56,2027,4579240000.0
56,2028,4636810000.0
56,2029,4704710000.0
56,2030,4795230000.0
56,2031,4891110000.0
56,2032,4955480000.0
56,2033,5074950000.0
56,2034,5202520000.0
56,2035,5331250000.0
56,2036,5464410000.0
56,2037,5589410000.0
56,2038,5704230000.0
56,2039,5816380000.0
56,2040,5948570000.0
57,1990,4391180000.0
57,1991,4568850000.0
57,1992,4809700000.0
57,1993,5123790000.0
57,1994,4875620000.0
57,1995,5416240000.0
57,1996,5541720000.0
57,1997,5552070000.0
57,1998,6640320000.0
57,1999,7064300000.0
57,2000,7432170000.0
57,2001,7670730000.0
57,2002,6953240000.0
57,2003,6725330000.0
57,2004,6978000000.0
57,2005,7581530000.0
57,2006,7542310000.0
57,2007,8414310000.0
57,2008,7927000000.0
57,2009,7103960000.0
57,2010,7219450000.0
57,2011,6993270000.0
57,2012,6952490000.0
57,2013,6950670000.0
57,2014,7112370000.0
57,2015,7553940000.0
57,2016,7581210000.0
57,2017,7452230000.0
57,2018,7574680000.0
57,2019,7749950000.0
57,2020,7911980000.0
57,2021,8003760000.0
57,2022,8068430000.0
57,2023,8150830000.0
57,2024,8216840000.0
57,2025,8268320000.0
57,2026,8276730000.0
57,2027,8288400000.0
57,2028,8336610000.0
57,2029,8420030000.0
57,2030,8525820000.0
57,2031,8632760000.0
57,2032,8696540000.0
57,2033,8810490000.0
57,2034,8936570000.0
57,2035,9067220000.0
57,2036,9195390000.0
57,2037,9308090000.0
57,2038,9417670000.0
57,2039,9520690000.0
57,2040,9641390000.0
58,1990,9301360000.0
58,1991,9336210000.0
58,1992,11438660000.0
58,1993,11266470000.0
58,1994,11055520000.0
58,1995,10344020000.0
58,1996,10700330000.0
58,1997,11135540000.0
58,1998,10319430000.0
58,1999,8566140000.0
58,2000,8754620000.0
58,2001,9424100000.0
58,2002,10218170000.0
58,2003,10538350000.0
58,2004,12083410000.0
58,2005,9550150000.0
58,2006,11160400000.0
58,2007,13604500000.0
58,2008,16175620000.0
58,2009,13967790000.0
58,2010,13847330000.0
58,2011,13204160000.0
58,2012,12739750000.0
58,2013,12550810000.0
58,2014,12619700000.0
58,2015,12939270000.0
58,2016,12862030000.0
58,2017,12690380000.0
58,2018,12704280000.0
58,2019,12891870000.0
58,2020,13017470000.0
58,2021,13125660000.0
58,2022,13172750000.0
58,2023,13226440000.0
58,2024,13244170000.0
58,2025,13228930000.0
58,2026,13181270000.0
58,2027,13142130000.0
58,2028,13168870000.0
58,2029,13261440000.0
58,2030,13387200000.0
58,2031,13503010000.0
58,2032,13554500000.0
58,2033,13640490000.0
58,2034,13749730000.0
58,2035,13860080000.0
58,2036,13956450000.0
58,2037,14052950000.0
58,2038,14153610000.0
58,2039,14232980000.0
58,2040,14327270000.0
59,1990,7710850000.0
59,1991,7527140000.0
59,1992,9124500000.0
59,1993,9402290000.0
59,1994,10101200000.0
59,1995,9161010000.0
59,1996,9171710000.0
59,1997,10867120000.0
59,1998,10023010000.0
59,1999,7998930000.0
59,2000,8396790000.0
59,2001,8791800000.0
59,2002,9883020000.0
59,2003,11426100000.0
59,2004,12300320000.0
59,2005,11600440000.0
59,2006,11278180000.0
59,2007,13932600000.0
59,2008,17844780000.0
59,2009,15337490000.0
59,2010,14879140000.0
59,2011,13875220000.0
59,2012,13159720000.0
59,2013,12805030000.0
59,2014,12768260000.0
59,2015,13056140000.0
59,2016,12963570000.0
59,2017,12783470000.0
59,2018,12793590000.0
59,2019,12988050000.0
59,2020,13123100000.0
59,2021,13239030000.0
59,2022,13292130000.0
59,2023,13350690000.0
59,2024,13380550000.0
59,2025,13383050000.0
59,2026,13335710000.0
59,2027,13312540000.0
59,2028,13343870000.0
59,2029,13448900000.0
59,2030,13581420000.0
59,2031,13706080000.0
59,2032,13771750000.0
59,2033,13879730000.0
59,2034,14008580000.0
59,2035,14139920000.0
59,2036,14260140000.0
59,2037,14370740000.0
59,2038,14494770000.0
59,2039,14599690000.0
59,2040,14717520000.0
60,1990,30575880000.0
60,1991,30696840000.0
60,1992,29445440000.0
60,1993,31883380000.0
60,1994,31501980000.0
60,1995,32164560000.0
60,1996,32950150000.0
60,1997,31382060000.0
60,1998,32526920000.0
60,1999,33125830000.0
60,2000,35257940000.0
60,2001,36722240000.0
60,2002,29953200000.0
60,2003,28057670000.0
60,2004,29082590000.0
60,2005,32241430000.0
60,2006,30046770000.0
60,2007,28405390000.0
60,2008,29396010000.0
60,2009,28911230000.0
60,2010,29924020000.0
60,2011,29810910000.0
60,2012,29501340000.0
60,2013,29653290000.0
60,2014,30193140000.0
60,2015,31133500000.0
60,2016,31363460000.0
60,2017,31525600000.0
60,2018,31672390000.0
60,2019,32264430000.0
60,2020,32633300000.0
60,2021,33002280000.0
60,2022,33181590000.0
60,2023,33288910000.0
60,2024,33278540000.0
60,2025,33185560000.0
60,2026,33049590000.0
60,2027,32918580000.0
60,2028,32944490000.0
60,2029,33152030000.0
60,2030,33430960000.0
60,2031,33677610000.0
60,2032,33789660000.0
60,2033,33943980000.0
60,2034,34123690000.0
60,2035,34316010000.0
60,2036,34459530000.0
60,2037,34609490000.0
60,2038,34775610000.0
60,2039,34902090000.0
60,2040,35060590000.0
61,1990,11996890000.0
61,1991,13059310000.0
61,1992,12931570000.0
61,1993,13305770000.0
61,1994,14686190000.0
61,1995,13664660000.0
61,1996,13916580000.0
61,1997,12968920000.0
61,1998,13152290000.0
61,1999,12966410000.0
61,2000,13284060000.0
61,2001,14305700000.0
61,2002,12088900000.0
61,2003,13481720000.0
61,2004,14939020000.0
61,2005,14836340000.0
61,2006,12723200000.0
61,2007,11165440000.0
61,2008,12650900000.0
61,2009,12008260000.0
61,2010,12579000000.0
61,2011,12584170000.0
61,2012,12588330000.0
61,2013,12750950000.0
61,2014,13065080000.0
61,2015,13598200000.0
61,2016,13719460000.0
61,2017,13718990000.0
61,2018,13839320000.0
61,2019,14133310000.0
61,2020,14339770000.0
61,2021,14524160000.0
61,2022,14623750000.0
61,2023,14711240000.0
61,2024,14746480000.0
61,2025,14742840000.0
61,2026,14705920000.0
61,2027,14675640000.0
61,2028,14717830000.0
61,2029,14832980000.0
61,2030,14983310000.0
61,2031,15120290000.0
61,2032,15189880000.0
61,2033,15291240000.0
61,2034,15418400000.0
61,2035,15548320000.0
61,2036,15661970000.0
61,2037,15777630000.0
61,2038,15901090000.0
61,2039,16003720000.0
61,2040,16107790000.0
62,1990,22790490000.0
62,1991,23266970000.0
62,1992,22213160000.0
62,1993,22357470000.0
62,1994,22730020000.0
62,1995,22509180000.0
62,1996,20709860000.0
62,1997,20562400000.0
62,1998,19115290000.0
62,1999,22818540000.0
62,2000,20614780000.0
62,2001,21599280000.0
62,2002,24129000000.0
62,2003,24148790000.0
62,2004,25015050000.0
62,2005,23426450000.0
62,2006,20683120000.0
62,2007,22433770000.0
62,2008,20526160000.0
62,2009,20343130000.0
62,2010,21096050000.0
62,2011,20879590000.0
62,2012,20649890000.0
62,2013,20704320000.0
62,2014,21040140000.0
62,2015,21781090000.0
62,2016,21948240000.0
62,2017,22004640000.0
62,2018,22137620000.0
62,2019,22563440000.0
62,2020,22845440000.0
62,2021,23105910000.0
62,2022,23233620000.0
62,2023,23335190000.0
62,2024,23347200000.0
62,2025,23297090000.0
62,2026,23211060000.0
62,2027,23130260000.0
62,2028,23170060000.0
62,2029,23323190000.0
62,2030,23531020000.0
62,2031,23717100000.0
62,2032,23803440000.0
62,2033,23925480000.0
62,2034,24084370000.0
62,2035,24245430000.0
62,2036,24381530000.0
62,2037,24522670000.0
62,2038,24673850000.0
62,2039,24796310000.0
62,2040,24926820000.0
63,1990,8324280000.0
63,1991,9184380000.0
63,1992,9863610000.0
63,1993,10761150000.0
63,1994,12080150000.0
63,1995,12934870000.0
63,1996,11638510000.0
63,1997,13152770000.0
63,1998,14628270000.0
63,1999,16091580000.0
63,2000,14769930000.0
63,2001,16850370000.0
63,2002,16493210000.0
63,2003,13677110000.0
63,2004,15644260000.0
63,2005,16654120000.0
63,2006,15196260000.0
63,2007,17760290000.0
63,2008,17425030000.0
63,2009,15936100000.0
63,2010,16037290000.0
63,2011,15663880000.0
63,2012,15256040000.0
63,2013,15149450000.0
63,2014,15327280000.0
63,2015,15939040000.0
63,2016,16128740000.0
63,2017,16160680000.0
63,2018,16317270000.0
63,2019,16668130000.0
63,2020,16916640000.0
63,2021,17129550000.0
63,2022,17244870000.0
63,2023,17346170000.0
63,2024,17388100000.0
63,2025,17383470000.0
63,2026,17334660000.0
63,2027,17295320000.0
63,2028,17339770000.0
63,2029,17469580000.0
63,2030,17638280000.0
63,2031,17792030000.0
63,2032,17863370000.0
63,2033,17980110000.0
63,2034,18124660000.0
63,2035,18272400000.0
63,2036,18402590000.0
63,2037,18532100000.0
63,2038,18668630000.0
63,2039,18792110000.0
63,2040,18931550000.0
64,1990,35114570000.0
64,1991,32632240000.0
64,1992,35412220000.0
64,1993,32724760000.0
64,1994,33006940000.0
64,1995,35453580000.0
64,1996,36482940000.0
64,1997,37074140000.0
64,1998,37005640000.0
64,1999,41186560000.0
64,2000,40570690000.0
64,2001,40228570000.0
64,2002,45318730000.0
64,2003,41733970000.0
64,2004,40711260000.0
64,2005,41383840000.0
64,2006,43788460000.0
64,2007,48560710000.0
64,2008,43599860000.0
64,2009,42233680000.0
64,2010,42379550000.0
64,2011,41474020000.0
64,2012,40418280000.0
64,2013,40214480000.0
64,2014,40561410000.0
64,2015,41541380000.0
64,2016,41647650000.0
64,2017,41756340000.0
64,2018,41842700000.0
64,2019,42560610000.0
64,2020,43006220000.0
64,2021,43458950000.0
64,2022,43660980000.0
64,2023,43806360000.0
64,2024,43767030000.0
64,2025,43621670000.0
64,2026,43439740000.0
64,2027,43266750000.0
64,2028,43312340000.0
64,2029,43586040000.0
64,2030,43951980000.0
64,2031,44280180000.0
64,2032,44430760000.0
64,2033,44614470000.0
64,2034,44857720000.0
64,2035,45106770000.0
64,2036,45305690000.0
64,2037,45515020000.0
64,2038,45743350000.0
64,2039,45930510000.0
64,2040,46141150000.0
