census division,year,value
56,1990,182300000.0
56,1991,180970000.0
56,1992,185070000.0
56,1993,189380000.0
56,1994,211190000.0
56,1995,233530000.0
56,1996,253240000.0
56,1997,278680000.0
56,1998,311090000.0
56,1999,286310000.0
56,2000,272520000.0
56,2001,286630000.0
56,2002,290230000.0
56,2003,393080000.0
56,2004,440580000.0
56,2005,333740000.0
56,2006,310880000.0
56,2007,316980000.0
56,2008,280900000.0
56,2009,164280000.0
56,2010,227810000.0
56,2011,246450000.0
56,2012,272760000.0
56,2013,268830000.0
56,2014,267750000.0
56,2015,322060000.0
56,2016,338710000.0
56,2017,361990000.0
56,2018,378330000.0
56,2019,396790000.0
56,2020,417330000.0
56,2021,430100000.0
56,2022,446560000.0
56,2023,466200000.0
56,2024,488110000.0
56,2025,506590000.0
56,2026,517270000.0
56,2027,525020000.0
56,2028,528920000.0
56,2029,525920000.0
56,2030,522010000.0
56,2031,517370000.0
56,2032,516650000.0
56,2033,523600000.0
56,2034,531140000.0
56,2035,537380000.0
56,2036,545000000.0
56,2037,550590000.0
56,2038,556220000.0
56,2039,559300000.0
56,2040,562260000.0
57,1990,4423590000.0
57,1991,4375240000.0
57,1992,4238880000.0
57,1993,4292170000.0
57,1994,4437900000.0
57,1995,4429740000.0
57,1996,4673680000.0
57,1997,4983560000.0
57,1998,5250070000.0
57,1999,4977460000.0
57,2000,5002360000.0
57,2001,4257140000.0
57,2002,4552450000.0
57,2003,4288660000.0
57,2004,4333760000.0
57,2005,4989230000.0
57,2006,5017450000.0
57,2007,5056860000.0
57,2008,4742380000.0
57,2009,3762110000.0
57,2010,4462700000.0
57,2011,4719580000.0
57,2012,4895220000.0
57,2013,4860510000.0
57,2014,4826190000.0
57,2015,5283270000.0
57,2016,5539430000.0
57,2017,5804560000.0
57,2018,6010710000.0
57,2019,6168380000.0
57,2020,6274850000.0
57,2021,6459190000.0
57,2022,6705000000.0
57,2023,6896160000.0
57,2024,7065130000.0
57,2025,7220150000.0
57,2026,7343350000.0
57,2027,7425500000.0
57,2028,7470150000.0
57,2029,7434380000.0
57,2030,7352380000.0
57,2031,7281330000.0
57,2032,7239700000.0
57,2033,7208340000.0
57,2034,7176180000.0
57,2035,7135890000.0
57,2036,7095950000.0
57,2037,7050730000.0
57,2038,7005780000.0
57,2039,6940890000.0
57,2040,6848960000.0
58,1990,9404000000.0
58,1991,9027850000.0
58,1992,8595620000.0
58,1993,8442320000.0
58,1994,8738550000.0
58,1995,8071980000.0
58,1996,8124220000.0
58,1997,8779350000.0
58,1998,9062480000.0
58,1999,8901260000.0
58,2000,7681970000.0
58,2001,6901040000.0
58,2002,7860200000.0
58,2003,8145670000.0
58,2004,8632430000.0
58,2005,8401080000.0
58,2006,7994740000.0
58,2007,8185110000.0
58,2008,7294610000.0
58,2009,6082060000.0
58,2010,7372090000.0
58,2011,7904590000.0
58,2012,8262580000.0
