census division,year,value
56,1990,4009770000.0
56,1991,3072450000.0
56,1992,2990460000.0
56,1993,2854140000.0
56,1994,2768660000.0
56,1995,2795940000.0
56,1996,2912950000.0
56,1997,2771320000.0
56,1998,3212090000.0
56,1999,2775640000.0
56,2000,2464410000.0
56,2001,2093350000.0
56,2002,2468550000.0
56,2003,2677410000.0
56,2004,2586460000.0
56,2005,2373960000.0
56,2006,2336600000.0
56,2007,2199970000.0
56,2008,2114800000.0
56,2009,1972450000.0
56,2010,2112960000.0
56,2011,2090400000.0
56,2012,2212450000.0
56,2013,2239760000.0
56,2014,2296470000.0
56,2015,2443190000.0
56,2016,2484830000.0
56,2017,2720240000.0
56,2018,2809220000.0
56,2019,2934760000.0
56,2020,3061610000.0
56,2021,3172950000.0
56,2022,3293260000.0
56,2023,3412410000.0
56,2024,3511380000.0
56,2025,3590290000.0
56,2026,3655010000.0
56,2027,3721680000.0
56,2028,3799220000.0
56,2029,3862950000.0
56,2030,3909210000.0
56,2031,3954740000.0
56,2032,3996370000.0
56,2033,4025760000.0
56,2034,4054230000.0
56,2035,4080980000.0
56,2036,4111060000.0
56,2037,4171570000.0
56,2038,4227080000.0
56,2039,4243120000.0
56,2040,4249310000.0
57,1990,34652490000.0
57,1991,31727880000.0
57,1992,32437000000.0
57,1993,30262890000.0
57,1994,30305960000.0
57,1995,30287320000.0
57,1996,29169520000.0
57,1997,30137220000.0
57,1998,31293580000.0
57,1999,29468220000.0
57,2000,25305600000.0
57,2001,24457670000.0
57,2002,26040800000.0
57,2003,25942390000.0
57,2004,25032730000.0
57,2005,22740500000.0
57,2006,22215450000.0
57,2007,23397700000.0
57,2008,19514750000.0
57,2009,16984510000.0
57,2010,19739490000.0
57,2011,19702780000.0
57,2012,20177930000.0
57,2013,20206930000.0
57,2014,20614880000.0
57,2015,21408160000.0
57,2016,21881030000.0
57,2017,23232450000.0
57,2018,24391150000.0
57,2019,25375710000.0
57,2020,26079050000.0
57,2021,26574520000.0
57,2022,27190220000.0
57,2023,27838020000.0
57,2024,28336090000.0
57,2025,28701840000.0
57,2026,28908840000.0
57,2027,29089560000.0
57,2028,29299800000.0
57,2029,29360370000.0
57,2030,29327890000.0
57,2031,29265040000.0
57,2032,29186950000.0
57,2033,29034060000.0
57,2034,28915450000.0
57,2035,28810190000.0
57,2036,28712330000.0
57,2037,28748520000.0
57,2038,28782420000.0
57,2039,28641120000.0
57,2040,28467880000.0
58,1990,44876600000.0
58,1991,42668460000.0
58,1992,41109560000.0
58,1993,41867660000.0
58,1994,46284160000.0
58,1995,45720850000.0
58,1996,44547100000.0
58,1997,45726940000.0
58,1998,48340660000.0
58,1999,54134980000.0
58,2000,51441410000.0
58,2001,48266510000.0
58,2002,48847530000.0
58,2003,46167990000.0
58,2004,49644570000.0
58,2005,48151590000.0
58,2006,48848040000.0
58,2007,53397480000.0
58,2008,46888420000.0
58,2009,40958190000.0
58,2010,47118750000.0
58,2011,46476990000.0
58,2012,47204230000.0
58,2013,47719550000.0
58,2014,48783050000.0
58,2015,50763440000.0
58,2016,51834220000.0
58,2017,55693850000.0
58,2018,59246650000.0
58,2019,62144900000.0
58,2020,64145490000.0
58,2021,65523480000.0
58,2022,67443430000.0
58,2023,69435540000.0
58,2024,70960780000.0
58,2025,72143520000.0
58,2026,72962090000.0
58,2027,73824090000.0
58,2028,74785020000.0
58,2029,75364250000.0
58,2030,75711760000.0
58,2031,75985840000.0
58,2032,76257410000.0
58,2033,76337760000.0
58,2034,76496020000.0
58,2035,76639890000.0
58,2036,76755870000.0
58,2037,77343910000.0
58,2038,77906950000.0
58,2039,77849800000.0
58,2040,77634880000.0
59,1990,10125620000.0
59,1991,9375670000.0
59,1992,9822130000.0
59,1993,9796330000.0
59,1994,10405340000.0
59,1995,11586200000.0
59,1996,11639350000.0
59,1997,11826170000.0
59,1998,13193510000.0
59,1999,11715730000.0
59,2000,10918310000.0
59,2001,11125280000.0
59,2002,10287220000.0
59,2003,8517030000.0
59,2004,8681190000.0
59,2005,15359100000.0
59,2006,17152450000.0
59,2007,21992840000.0
59,2008,21857550000.0
59,2009,19678030000.0
59,2010,21262110000.0
59,2011,19881830000.0
59,2012,19098410000.0
59,2013,19137030000.0
59,2014,19188210000.0
59,2015,19536060000.0
59,2016,19858830000.0
59,2017,21489130000.0
59,2018,22641610000.0
59,2019,23432040000.0
59,2020,23916760000.0
59,2021,24253750000.0
59,2022,24738420000.0
59,2023,25286400000.0
59,2024,25712540000.0
59,2025,26020580000.0
59,2026,26200670000.0
59,2027,26382500000.0
