census division,year,value
56,1990,60565040000.0
56,1991,48008190000.0
56,1992,48423730000.0
56,1993,50794620000.0
56,1994,52884320000.0
56,1995,50870060000.0
56,1996,57197310000.0
56,1997,60776970000.0
56,1998,63248830000.0
56,1999,63528840000.0
56,2000,68200940000.0
56,2001,72602810000.0
56,2002,69376880000.0
56,2003,69339010000.0
56,2004,71243000000.0
56,2005,69655940000.0
56,2006,67076160000.0
56,2007,62321870000.0
56,2008,56371280000.0
56,2009,47280230000.0
56,2010,44306850000.0
56,2011,44130440000.0
56,2012,48227570000.0
56,2013,50718730000.0
56,2014,52817190000.0
56,2015,56258140000.0
56,2016,59831540000.0
56,2017,63094860000.0
56,2018,65324420000.0
56,2019,66755520000.0
56,2020,68479820000.0
56,2021,69217690000.0
56,2022,69819480000.0
56,2023,70714700000.0
56,2024,71681260000.0
56,2025,72962600000.0
56,2026,74462940000.0
56,2027,75569020000.0
56,2028,75984880000.0
56,2029,76503760000.0
56,2030,77610460000.0
56,2031,78383370000.0
56,2032,78355170000.0
56,2033,78904710000.0
56,2034,79893220000.0
56,2035,80961790000.0
56,2036,81948980000.0
56,2037,82888380000.0
56,2038,83933360000.0
56,2039,84728470000.0
56,2040,85862470000.0
57,1990,1.6856946e+11
57,1991,1.4647087e+11
57,1992,1.4542136e+11
57,1993,1.4547009e+11
57,1994,1.4775435e+11
57,1995,1.3587509e+11
57,1996,1.4601398e+11
57,1997,1.5037335e+11
57,1998,1.5804767e+11
57,1999,1.6865181e+11
57,2000,1.7091014e+11
57,2001,1.7549445e+11
57,2002,1.7121082e+11
57,2003,1.7325992e+11
57,2004,1.758223e+11
57,2005,1.7331229e+11
57,2006,1.6829565e+11
57,2007,1.6225533e+11
57,2008,1.571494e+11
57,2009,1.350511e+11
57,2010,1.269765e+11
57,2011,1.240518e+11
57,2012,1.328349e+11
57,2013,1.3706039e+11
57,2014,1.4042751e+11
57,2015,1.479994e+11
57,2016,1.55681e+11
57,2017,1.632097e+11
57,2018,1.6830679e+11
57,2019,1.714127e+11
57,2020,1.753904e+11
57,2021,1.769437e+11
57,2022,1.7834711e+11
57,2023,1.806017e+11
57,2024,1.8308389e+11
57,2025,1.863119e+11
57,2026,1.900659e+11
57,2027,1.9284911e+11
57,2028,1.938745e+11
57,2029,1.9520641e+11
57,2030,1.980657e+11
57,2031,2.000513e+11
57,2032,2.000153e+11
57,2033,2.014859e+11
57,2034,2.040114e+11
57,2035,2.0664799e+11
57,2036,2.090058e+11
57,2037,2.1118539e+11
57,2038,2.1361571e+11
57,2039,2.1539639e+11
57,2040,2.1806129e+11
58,1990,1.758542e+11
58,1991,1.6157013e+11
58,1992,1.7105949e+11
58,1993,1.7610454e+11
58,1994,1.8912044e+11
58,1995,1.7781154e+11
58,1996,1.9935713e+11
58,1997,2.0695528e+11
58,1998,2.1295264e+11
58,1999,2.1617557e+11
