census division,year,value
56,1990,604600000.0
56,1991,542620000.0
56,1992,552000000.0
56,1993,597000000.0
56,1994,653460000.0
56,1995,744810000.0
56,1996,814700000.0
56,1997,861550000.0
56,1998,854210000.0
56,1999,851820000.0
56,2000,910170000.0
56,2001,817700000.0
56,2002,710340000.0
56,2003,630610000.0
56,2004,753090000.0
56,2005,703040000.0
56,2006,786200000.0
56,2007,775390000.0
56,2008,877790000.0
56,2009,489050000.0
56,2010,658110000.0
56,2011,698330000.0
56,2012,720400000.0
56,2013,704870000.0
56,2014,698840000.0
56,2015,787680000.0
56,2016,813590000.0
56,2017,833440000.0
56,2018,879090000.0
56,2019,919890000.0
56,2020,964460000.0
56,2021,999630000.0
56,2022,1046830000.0
56,2023,1099490000.0
56,2024,1161130000.0
56,2025,1221680000.0
56,2026,1271210000.0
56,2027,1317210000.0
56,2028,1357270000.0
56,2029,1396100000.0
56,2030,1439560000.0
56,2031,1485840000.0
56,2032,1539160000.0
56,2033,1607980000.0
56,2034,1679560000.0
56,2035,1754430000.0
56,2036,1835720000.0
56,2037,1913580000.0
56,2038,1996650000.0
56,2039,2076600000.0
56,2040,2154710000.0
57,1990,19438020000.0
57,1991,17789480000.0
57,1992,17869680000.0
57,1993,17925550000.0
57,1994,19313650000.0
57,1995,19773130000.0
57,1996,19934040000.0
57,1997,20501540000.0
57,1998,19738080000.0
57,1999,19716260000.0
57,2000,19639640000.0
57,2001,18100080000.0
57,2002,18406700000.0
57,2003,17224790000.0
57,2004,20637810000.0
57,2005,18240800000.0
57,2006,19399500000.0
57,2007,20018890000.0
57,2008,21595310000.0
57,2009,13780360000.0
57,2010,17802540000.0
57,2011,19243160000.0
57,2012,19754760000.0
57,2013,19353750000.0
57,2014,19197090000.0
57,2015,20800790000.0
57,2016,21069130000.0
57,2017,21179630000.0
57,2018,21624720000.0
57,2019,21940890000.0
57,2020,22094060000.0
57,2021,22191390000.0
57,2022,22458620000.0
57,2023,22620840000.0
57,2024,22767680000.0
57,2025,22778920000.0
57,2026,22582840000.0
57,2027,22245590000.0
57,2028,21777400000.0
57,2029,21271880000.0
57,2030,20755300000.0
57,2031,20260910000.0
57,2032,19787870000.0
57,2033,19345100000.0
57,2034,18820920000.0
57,2035,18240190000.0
57,2036,17621830000.0
57,2037,16904050000.0
57,2038,16159800000.0
57,2039,15336770000.0
57,2040,14437160000.0
58,1990,49911130000.0
58,1991,45238220000.0
58,1992,47842640000.0
58,1993,51532510000.0
58,1994,54954840000.0
58,1995,55432340000.0
58,1996,56269050000.0
58,1997,56381740000.0
58,1998,56716320000.0
58,1999,57392430000.0
58,2000,55779640000.0
58,2001,49877490000.0
58,2002,49232100000.0
58,2003,49316850000.0
58,2004,54233030000.0
58,2005,50752860000.0
58,2006,51628830000.0
58,2007,49161000000.0
58,2008,52652240000.0
58,2009,33500910000.0
58,2010,42939170000.0
58,2011,46068220000.0
58,2012,46886310000.0
58,2013,45524690000.0
58,2014,44725190000.0
58,2015,47921930000.0
58,2016,47984880000.0
58,2017,47641770000.0
58,2018,47979480000.0
58,2019,47967460000.0
58,2020,47525320000.0
58,2021,46914630000.0
58,2022,46590020000.0
58,2023,45958150000.0
58,2024,45204850000.0
58,2025,44095820000.0
58,2026,42513780000.0
58,2027,40600760000.0
58,2028,38394800000.0
58,2029,36074130000.0
58,2030,33679700000.0
58,2031,31262790000.0
58,2032,28805760000.0
58,2033,26301540000.0
58,2034,23593530000.0
58,2035,20725780000.0
58,2036,17725990000.0
58,2037,14545180000.0
58,2038,11267720000.0
58,2039,7869440000.0
58,2040,4388620000.0
59,1990,48390000.0
59,1991,48800000.0
59,1992,53870000.0
59,1993,61950000.0
59,1994,77210000.0
59,1995,84520000.0
59,1996,75940000.0
59,1997,80160000.0
59,1998,82870000.0
59,1999,96360000.0
59,2000,105970000.0
59,2001,103190000.0
59,2002,111180000.0
59,2003,109720000.0
59,2004,157470000.0
59,2005,119060000.0
59,2006,118830000.0
59,2007,131230000.0
59,2008,136190000.0
59,2009,31870000.0
59,2010,55910000.0
59,2011,40880000.0
59,2012,39320000.0
59,2013,33650000.0
59,2014,30010000.0
59,2015,48990000.0
59,2016,48090000.0
59,2017,45650000.0
59,2018,53160000.0
59,2019,58640000.0
59,2020,70750000.0
59,2021,74880000.0
59,2022,81350000.0
59,2023,93930000.0
59,2024,112110000.0
59,2025,131960000.0
59,2026,148020000.0
59,2027,164480000.0
59,2028,179350000.0
59,2029,192680000.0
59,2030,208350000.0
59,2031,222880000.0
59,2032,239510000.0
59,2033,264410000.0
59,2034,292810000.0
59,2035,323890000.0
59,2036,359200000.0
59,2037,394880000.0
59,2038,433610000.0
59,2039,472530000.0
59,2040,513590000.0
60,1990,4970510000.0
60,1991,4662290000.0
60,1992,4827940000.0
60,1993,4915720000.0
60,1994,5374610000.0
60,1995,5345860000.0
60,1996,5471720000.0
60,1997,5742620000.0
60,1998,5687060000.0
60,1999,5590520000.0
60,2000,5492950000.0
60,2001,5169690000.0
60,2002,5370250000.0
60,2003,5523320000.0
60,2004,6011070000.0
60,2005,5148440000.0
60,2006,5325080000.0
60,2007,6533720000.0
60,2008,5839190000.0
60,2009,3777140000.0
60,2010,4888410000.0
60,2011,5286940000.0
60,2012,5442550000.0
60,2013,5348400000.0
60,2014,5324810000.0
60,2015,5804130000.0
60,2016,5904010000.0
60,2017,5960270000.0
60,2018,6118170000.0
60,2019,6240750000.0
60,2020,6323490000.0
60,2021,6387180000.0
60,2022,6503260000.0
60,2023,6595640000.0
60,2024,6689840000.0
60,2025,6748300000.0
60,2026,6745860000.0
60,2027,6704000000.0
60,2028,6623760000.0
60,2029,6532680000.0
60,2030,6441040000.0
60,2031,6356800000.0
60,2032,6282160000.0
60,2033,6223960000.0
60,2034,6144380000.0
60,2035,6050490000.0
60,2036,5948800000.0
60,2037,5816620000.0
60,2038,5678810000.0
60,2039,5515830000.0
60,2040,5328560000.0
61,1990,8173030000.0
61,1991,7459280000.0
61,1992,8038410000.0
61,1993,8547470000.0
61,1994,9402780000.0
61,1995,9269360000.0
61,1996,9472710000.0
61,1997,10152360000.0
61,1998,10543710000.0
61,1999,10136680000.0
61,2000,9957910000.0
61,2001,8913260000.0
61,2002,9463010000.0
61,2003,10298670000.0
61,2004,11554420000.0
61,2005,12090000000.0
61,2006,12861830000.0
61,2007,13711940000.0
61,2008,15282340000.0
61,2009,10126270000.0
61,2010,13576680000.0
61,2011,15240700000.0
61,2012,16262930000.0
61,2013,16575830000.0
61,2014,17115230000.0
61,2015,19311370000.0
61,2016,20386980000.0
61,2017,21375620000.0
61,2018,22777870000.0
61,2019,24140600000.0
61,2020,25410430000.0
61,2021,26706760000.0
61,2022,28308980000.0
61,2023,29890320000.0
61,2024,31566400000.0
61,2025,33172930000.0
61,2026,34587220000.0
61,2027,35876160000.0
61,2028,37033040000.0
61,2029,38199640000.0
61,2030,39418740000.0
61,2031,40767330000.0
61,2032,42257340000.0
61,2033,43918860000.0
61,2034,45514420000.0
61,2035,47088200000.0
61,2036,48676490000.0
61,2037,50097980000.0
61,2038,51534280000.0
61,2039,52804960000.0
61,2040,53859160000.0
62,1990,3502680000.0
62,1991,3467710000.0
62,1992,3760100000.0
62,1993,4286450000.0
62,1994,4984710000.0
62,1995,5468550000.0
62,1996,6122820000.0
62,1997,6851550000.0
62,1998,6631820000.0
62,1999,6655880000.0
62,2000,6971750000.0
62,2001,6844570000.0
62,2002,7102590000.0
62,2003,7882640000.0
62,2004,9478850000.0
62,2005,8569080000.0
62,2006,9662990000.0
62,2007,10702720000.0
62,2008,11555930000.0
62,2009,7827520000.0
62,2010,10686130000.0
62,2011,12194430000.0
62,2012,13224840000.0
