census region,year,value
66,2000,54701690000.0
66,2001,47376690000.0
66,2002,42516330000.0
66,2003,40796090000.0
66,2004,40162860000.0
66,2005,43320750000.0
66,2006,46726190000.0
66,2007,45018530000.0
66,2008,44102860000.0
66,2009,33793330000.0
66,2010,37509370000.0
66,2011,41318500000.0
66,2012,44276620000.0
66,2013,44879340000.0
66,2014,47154660000.0
66,2015,50141430000.0
66,2016,51264860000.0
67,2000,1.4470998e+11
67,2001,1.3042578e+11
67,2002,1.218619e+11
67,2003,1.2227039e+11
67,2004,1.3515287e+11
67,2005,1.4634668e+11
67,2006,1.4918105e+11
67,2007,1.4788033e+11
67,2008,1.4670684e+11
67,2009,1.150437e+11
67,2010,1.2785187e+11
67,2011,1.4094525e+11
67,2012,1.5090204e+11
67,2013,1.5344129e+11
67,2014,1.6161116e+11
67,2015,1.7137063e+11
67,2016,1.7518199e+11
68,2000,1.014864e+11
68,2001,94867940000.0
68,2002,91515580000.0
68,2003,94883090000.0
68,2004,94819300000.0
68,2005,1.0239425e+11
68,2006,1.0884004e+11
68,2007,1.1881103e+11
68,2008,1.1347146e+11
68,2009,89022630000.0
68,2010,99291690000.0
68,2011,1.0996793e+11
68,2012,1.1832705e+11
68,2013,1.2070018e+11
68,2014,1.2748884e+11
68,2015,1.3573199e+11
68,2016,1.3916355e+11
69,2000,39942670000.0
69,2001,32504140000.0
69,2002,30185180000.0
69,2003,30087000000.0
69,2004,29595580000.0
69,2005,30625020000.0
69,2006,34414970000.0
69,2007,38595100000.0
69,2008,37708430000.0
69,2009,28869080000.0
69,2010,32082860000.0
69,2011,35461870000.0
69,2012,38201360000.0
69,2013,38816190000.0
69,2014,40886650000.0
69,2015,43685760000.0
69,2016,44848750000.0
