state,year,value
4,2012,2555679000
5,2012,279317000
6,2012,2566675000
7,2012,1277015000
8,2012,14610051000
9,2012,2041262000
10,2012,1442341000
11,2012,428055000
12,2012,87081000
13,2012,7917778000
14,2012,4716997000
15,2012,466190000
16,2012,658308000
17,2012,4668563000
18,2012,2967928000
19,2012,1529050000
20,2012,1184466000
21,2012,2161367000
22,2012,2269188000
23,2012,668831000
24,2012,2652767000
25,2012,2773478000
26,2012,4430967000
27,2012,2377564000
28,2012,1566558000
29,2012,3068298000
30,2012,485611000
31,2012,824097000
32,2012,1080567000
33,2012,695862000
34,2012,4190238000
35,2012,893052000
36,2012,5428795000
37,2012,4172675000
38,2012,403675000
39,2012,4855936000
40,2012,1811911000
41,2012,1485306000
42,2012,4900039000
43,2012,0
44,2012,366612000
45,2012,2589329000
46,2012,434594000
47,2012,3095652000
48,2012,12187755000
49,2012,1057855000
50,2012,321429000
51,2012,3770027000
52,2012,2589270000
53,2012,814229000
54,2012,2441877000
55,2012,307696000
