census division,year,value
56,1995,17.05706617
56,1996,18.19337604
56,1997,18.23926902
56,1998,17.41706154
56,1999,16.8664331
56,2000,15.90275544
56,2001,14.67589508
56,2002,13.69137969
56,2003,13.49420843
56,2004,13.77875
56,2005,13.40668233
56,2006,13.28814402
56,2007,12.58293995
56,2008,12.6580515
56,2009,10.93857902
56,2010,12.06619195
56,2011,12.34419601
56,2012,12.22909389
56,2013,12.43187485
57,1995,46.73793216
57,1996,49.85152588
57,1997,49.97727686
57,1998,50.99273526
57,1999,53.0205539
57,2000,53.97979598
57,2001,54.14602553
57,2002,55.3360155
57,2003,55.45128434
57,2004,57.64093885
57,2005,57.17692788
57,2006,57.86858299
57,2007,56.05759128
57,2008,56.39221677
57,2009,48.73188575
57,2010,53.75545453
57,2011,54.99397573
57,2012,54.48119038
57,2013,55.38458913
58,1995,134.4745024
58,1996,143.4329425
58,1997,143.7947536
58,1998,146.1222993
58,1999,151.3138551
58,2000,153.419408
58,2001,153.2563674
58,2002,155.9735035
58,2003,155.4507128
58,2004,160.6564605
58,2005,158.3823013
58,2006,159.2438475
58,2007,153.17352
58,2008,154.0878612
58,2009,133.1565326
58,2010,146.8830894
58,2011,150.2672636
58,2012,148.8661128
58,2013,151.3345879
59,1995,129.8972615
59,1996,138.5507744
59,1997,138.9002701
59,1998,140.4354464
59,1999,144.6786258
59,2000,145.92705
59,2001,144.9997804
59,2002,146.7761645
59,2003,148.4993356
59,2004,155.9227808
59,2005,156.3077077
59,2006,159.9615219
59,2007,156.7727854
59,2008,157.7086117
59,2009,136.2854395
59,2010,150.3345424
59,2011,153.7982378
59,2012,152.3641629
59,2013,154.890642
60,1995,96.76732488
60,1996,103.2137833
60,1997,103.4741411
60,1998,104.5165275
60,1999,107.5679399
60,2000,108.3864428
60,2001,107.5863828
60,2002,108.7892741
60,2003,105.2508539
60,2004,105.2645178
60,2005,100.0605977
60,2006,96.58804252
60,2007,88.73827696
60,2008,89.26798379
60,2009,77.14180141
60,2010,85.09403102
60,2011,87.05459043
60,2012,86.24285936
60,2013,87.67292523
61,1995,41.45175601
61,1996,44.21319454
61,1997,44.32472278
61,1998,46.30591983
61,1999,49.27365156
61,2000,51.31456591
61,2001,52.62839859
61,2002,54.96912977
61,2003,54.34483374
61,2004,55.67793345
61,2005,54.37485558
61,2006,54.11369222
61,2007,51.47301292
61,2008,51.78027161
61,2009,44.74642822
61,2010,49.35915265
61,2011,50.49638342
61,2012,50.02553538
61,2013,50.85505114
62,1995,128.323567
62,1996,136.8722433
62,1997,137.2175049
62,1998,136.8331874
62,1999,138.9680752
62,2000,138.1077225
62,2001,135.1398325
62,2002,134.6336324
62,2003,142.3264548
62,2004,156.1020682
62,2005,163.4223267
62,2006,174.6187359
62,2007,178.6572623
62,2008,179.723724
62,2009,155.3100142
62,2010,171.3202819
62,2011,175.267487
62,2012,173.6332243
62,2013,176.5123838
63,1995,61.90525794
63,1996,66.02927056
63,1997,66.19583007
63,1998,63.74072563
63,1999,62.31466906
63,2000,59.39976234
63,2001,55.51805529
63,2002,52.5741053
63,2003,56.9586119
63,2004,63.91133494
63,2005,68.34345626
63,2006,74.48743706
63,2007,77.63721171
63,2008,78.10065278
63,2009,67.49144307
63,2010,74.44885711
63,2011,76.1641526
63,2012,75.45396823
63,2013,76.70513437
64,1995,124.6414281
64,1996,132.9448071
64,1997,133.2801618
64,1998,137.0847161
64,1999,143.6790299
64,2000,147.444856
64,2001,149.0717532
64,2002,153.5495108
64,2003,151.2323853
64,2004,154.3029038
64,2005,150.0095016
64,2006,148.5442455
64,2007,140.5147661
64,2008,141.3535431
64,2009,122.152047
64,2010,134.7441969
64,2011,137.848692
64,2012,136.5633369
64,2013,138.8278092
