us,year,value
65,1990,1.0
65,1991,1.0
65,1992,1.0
65,1993,1.0
65,1994,1.0
65,1995,1.0
65,1996,1.0
65,1997,1.0
65,1998,1.0
65,1999,1.0
65,2000,1.0
65,2001,1.0
65,2002,1.0
65,2003,1.0
65,2004,1.046
65,2005,1.093
65,2006,1.14
65,2007,1.187
65,2008,1.234
65,2009,1.285
65,2010,1.343
65,2011,1.406
65,2012,1.47
65,2013,1.535
65,2014,1.6
65,2015,1.664
65,2016,1.726
65,2017,1.786
65,2018,1.846
65,2019,1.904
65,2020,1.964
65,2021,2.023
65,2022,2.082
65,2023,2.142
65,2024,2.202
65,2025,2.261
65,2026,2.321
65,2027,2.379
65,2028,2.438
65,2029,2.495
65,2030,2.551
65,2031,2.606
65,2032,2.659
65,2033,2.71
65,2034,2.758
65,2035,2.805
65,2036,2.849
65,2037,2.891
65,2038,2.931
65,2039,2.97
65,2040,3.007
65,2041,3.052
65,2042,3.085
65,2043,3.117
65,2044,3.146
65,2045,3.173
65,2046,3.197
65,2047,3.219
65,2048,3.238
65,2049,3.253
65,2050,3.266
