census division,housing types,year,value
56,28,2009,3374597
56,29,2009,2052063
56,30,2009,84437
57,28,2009,9287267
57,29,2009,5536739
57,30,2009,435344
58,28,2009,13077414
58,29,2009,4217199
58,30,2009,558802
59,28,2009,6153386
59,29,2009,1406903
59,30,2009,503817
60,28,2009,15162865
60,29,2009,4656262
60,30,2009,2405757
61,28,2009,5480023
61,29,2009,945846
61,30,2009,658471
62,28,2009,9095440
62,29,2009,2822348
62,30,2009,853143
63,28,2009,5983945
63,29,2009,1258517
63,30,2009,662813
64,28,2009,10937616
64,29,2009,5226838
64,30,2009,778377
