census division,housing types,final_energy,year,value
56,28,2,2009,7416601.92
56,28,3,2009,28132088.64
56,28,4,2009,27929482.81
56,28,5,2009,2063464.185
56,28,10,2009,25328.16
56,29,2,2009,3250338.46
56,29,3,2009,3210995.086
56,29,4,2009,20030788.7
56,29,5,2009,467488.638
56,29,10,2009,0.0
56,30,2,2009,468617.949
56,30,3,2009,0.0
56,30,4,2009,226575.377
56,30,5,2009,103663.3
56,30,10,2009,0.0
57,28,2,2009,21007038.19
57,28,3,2009,25390926.18
57,28,4,2009,139982968.5
57,28,5,2009,7448978.485
57,28,10,2009,0.0
57,29,2,2009,8740874.016
57,29,3,2009,9438357.744
57,29,4,2009,54640321.79
57,29,5,2009,515953.728
57,29,10,2009,0.0
57,30,2,2009,2638953.9
57,30,3,2009,74514.411
57,30,4,2009,1303622.976
57,30,5,2009,474331.418
57,30,10,2009,0.0
58,28,2,2009,34247578.13
58,28,3,2009,26535.438
58,28,4,2009,225668864.5
58,28,5,2009,13397049.09
58,28,10,2009,0.0
58,29,2,2009,9021727.22
58,29,3,2009,0.0
58,29,4,2009,43873091.98
58,29,5,2009,1348054.656
58,29,10,2009,151048.905
58,30,2,2009,3083434.332
58,30,3,2009,0.0
58,30,4,2009,4005893.916
58,30,5,2009,653895.066
58,30,10,2009,0.0
59,28,2,2009,20660208.65
59,28,3,2009,0.0
59,28,4,2009,91454310.79
59,28,5,2009,9977262.225
59,28,10,2009,0.0
59,29,2,2009,4041894.532
59,29,3,2009,0.0
59,29,4,2009,10494918.72
59,29,5,2009,236752.48
59,29,10,2009,0.0
59,30,2,2009,3123005.731
59,30,3,2009,0.0
59,30,4,2009,4303354.932
59,30,5,2009,307266.336
59,30,10,2009,0.0
60,28,2,2009,94158083.71
60,28,3,2009,897736.499
60,28,4,2009,112179209.5
60,28,5,2009,7815385.5
60,28,10,2009,129266.766
60,29,2,2009,23645675.38
60,29,3,2009,0.0
60,29,4,2009,13426995.82
60,29,5,2009,318462.071
60,29,10,2009,0.0
60,30,2,2009,23487635.3
60,30,3,2009,0.0
60,30,4,2009,509174.316
60,30,5,2009,136100.016
60,30,10,2009,0.0
61,28,2,2009,34840325.65
61,28,3,2009,0.0
61,28,4,2009,41945152.68
61,28,5,2009,4585732.318
61,28,10,2009,0.0
61,29,2,2009,5329056.024
61,29,3,2009,0.0
61,29,4,2009,4297192.999
61,29,5,2009,0.0
61,29,10,2009,0.0
61,30,2,2009,6740678.67
61,30,3,2009,0.0
61,30,4,2009,448747.145
61,30,5,2009,0.0
61,30,10,2009,0.0
62,28,2,2009,34782859.01
62,28,3,2009,0.0
62,28,4,2009,112308882.2
62,28,5,2009,10125032.04
62,28,10,2009,0.0
62,29,2,2009,14625544.21
62,29,3,2009,0.0
62,29,4,2009,8818630.713
62,29,5,2009,0.0
62,29,10,2009,0.0
62,30,2,2009,7811287.2
62,30,3,2009,0.0
62,30,4,2009,1993098.786
62,30,5,2009,202259.469
62,30,10,2009,0.0
63,28,2,2009,16353699.94
63,28,3,2009,0.0
63,28,4,2009,86138006.3
63,28,5,2009,8023109.31
63,28,10,2009,158411.9
63,29,2,2009,3217091.811
63,29,3,2009,0.0
63,29,4,2009,8566013.99
63,29,5,2009,512694.5
63,29,10,2009,0.0
63,30,2,2009,2801365.614
63,30,3,2009,0.0
63,30,4,2009,4655187.765
63,30,5,2009,819060.544
63,30,10,2009,0.0
64,28,2,2009,27328412.96
64,28,3,2009,195021.542
64,28,4,2009,167079610.6
64,28,5,2009,6592585.209
64,28,10,2009,308208.836
64,29,2,2009,10648654.94
64,29,3,2009,0.0
64,29,4,2009,36189952.23
64,29,5,2009,2885943.078
64,29,10,2009,39318.044
64,30,2,2009,4797004.971
64,30,3,2009,0.0
64,30,4,2009,3929149.072
64,30,5,2009,1348481.923
64,30,10,2009,0.0
