census region,final_energy,year,housing types,value
66,2,2009,28,29988527.8508
66,2,2009,29,12651398.9028
66,2,2009,30,3278661.86672
66,3,2009,28,56469770.0357
66,3,2009,29,13345773.7351
66,3,2009,30,78616.8654301
66,4,2009,28,177157014.482
66,4,2009,29,78782192.1441
66,4,2009,30,1614444.728
66,5,2009,28,10036158.3117
66,5,2009,29,1037586.62396
66,5,2009,30,609816.710009
66,10,2009,28,26722.6234441
66,10,2009,29,0.0
66,10,2009,30,0.0
67,2,2009,28,57930781.7967
67,2,2009,29,13782850.5859
67,2,2009,30,6548140.9124
67,3,2009,28,27996.3691637
67,3,2009,29,0.0
67,3,2009,30,0.0
67,4,2009,28,334582662.091
67,4,2009,29,57361287.8843
67,4,2009,30,8766721.62796
67,5,2009,28,24661203.9539
67,5,2009,29,1672060.04411
67,5,2009,30,1014078.96249
67,10,2009,28,0.0
67,10,2009,29,159365.031252
67,10,2009,30,0.0
68,2,2009,28,172798385.743
68,2,2009,29,46000725.9624
68,2,2009,30,40133903.8457
68,3,2009,28,947162.147381
68,3,2009,29,0.0
68,3,2009,30,0.0
68,4,2009,28,281101953.816
68,4,2009,29,28004157.0923
68,4,2009,30,3113491.1828
68,5,2009,28,23766346.2447
68,5,2009,29,335995.271846
68,5,2009,30,356988.154939
68,10,2009,28,136383.658018
68,10,2009,29,0.0
68,10,2009,30,0.0
69,2,2009,28,46087068.87
69,2,2009,29,14629137.2606
69,2,2009,30,8016705.35608
69,3,2009,28,205758.619274
69,3,2009,29,0.0
69,3,2009,30,0.0
69,4,2009,28,267158728.697
69,4,2009,29,47220044.1001
69,4,2009,30,9056954.82074
69,5,2009,28,15420374.0424
69,5,2009,29,3585752.4676
69,5,2009,30,2286878.36561
69,10,2009,28,492310.938471
69,10,2009,29,41482.7324358
69,10,2009,30,0.0
