census region,housing types,year,value
66,28,2009,0.0
66,28,2010,0.000106591583368
66,28,2011,0.000315780561891
66,28,2012,0.000626708110485
66,28,2013,0.00103836568898
66,28,2014,0.001448116227
66,28,2015,0.0018591174112
66,28,2016,0.0022685342261
66,29,2009,0.0
66,29,2010,0.000106591583368
66,29,2011,0.000315780561891
66,29,2012,0.000626708110485
66,29,2013,0.00103836568898
66,29,2014,0.001448116227
66,29,2015,0.0018591174112
66,29,2016,0.0022685342261
66,30,2009,0.0
66,30,2010,0.000106591583368
66,30,2011,0.000315780561891
66,30,2012,0.000626708110485
66,30,2013,0.00103836568898
66,30,2014,0.001448116227
66,30,2015,0.0018591174112
66,30,2016,0.0022685342261
67,28,2009,0.0
67,28,2010,0.000106212580347
67,28,2011,0.000315431197759
67,28,2012,0.000627481301489
67,28,2013,0.00104180189084
67,28,2014,0.00145448417401
67,28,2015,0.00186788714531
67,28,2016,0.00227906049177
67,29,2009,0.0
67,29,2010,0.000106212580347
67,29,2011,0.000315431197759
67,29,2012,0.000627481301489
67,29,2013,0.00104180189084
67,29,2014,0.00145448417401
67,29,2015,0.00186788714531
67,29,2016,0.00227906049177
67,30,2009,0.0
67,30,2010,0.000106212580347
67,30,2011,0.000315431197759
67,30,2012,0.000627481301489
67,30,2013,0.00104180189084
67,30,2014,0.00145448417401
67,30,2015,0.00186788714531
67,30,2016,0.00227906049177
68,28,2009,0.0
68,28,2010,0.000117364172837
68,28,2011,0.000346228268723
68,28,2012,0.000684378163518
68,28,2013,0.00112984871311
68,28,2014,0.00156828397944
68,28,2015,0.00200124284314
68,28,2016,0.00242543895743
68,29,2009,0.0
68,29,2010,0.000117364172837
68,29,2011,0.000346228268723
68,29,2012,0.000684378163518
68,29,2013,0.00112984871311
68,29,2014,0.00156828397944
68,29,2015,0.00200124284314
68,29,2016,0.00242543895743
68,30,2009,0.0
68,30,2010,0.000117364172837
68,30,2011,0.000346228268723
68,30,2012,0.000684378163518
68,30,2013,0.00112984871311
68,30,2014,0.00156828397944
68,30,2015,0.00200124284314
68,30,2016,0.00242543895743
69,28,2009,0.0
69,28,2010,0.00011856572055
69,28,2011,0.000350055017045
69,28,2012,0.000691817873763
69,28,2013,0.00114081642709
69,28,2014,0.00158063920351
69,28,2015,0.00201267057907
69,28,2016,0.00243485105398
69,29,2009,0.0
69,29,2010,0.00011856572055
69,29,2011,0.000350055017045
69,29,2012,0.000691817873763
69,29,2013,0.00114081642709
69,29,2014,0.00158063920351
69,29,2015,0.00201267057907
69,29,2016,0.00243485105398
69,30,2009,0.0
69,30,2010,0.00011856572055
69,30,2011,0.000350055017045
69,30,2012,0.000691817873763
69,30,2013,0.00114081642709
69,30,2014,0.00158063920351
69,30,2015,0.00201267057907
69,30,2016,0.00243485105398
