census region,final_energy,year,housing types,value
66,2,2009,28,25583836.1072
66,2,2009,29,10792091.2284
66,2,2009,30,2796814.6641
66,3,2009,28,26761507.41
66,3,2009,29,6324676.415
66,3,2009,30,37257.2055
66,4,2009,28,100747470.786
66,4,2009,29,44802666.294
66,4,2009,30,918119.0118
66,5,2009,28,5612341.1753
66,5,2009,29,580230.99594
66,5,2009,30,341016.88362
66,10,2009,28,25328.16
66,10,2009,29,
66,10,2009,30,
67,2,2009,28,49417008.102
67,2,2009,29,11771576.1072
67,2,2009,30,5585796.0567
67,3,2009,28,13267.719
67,3,2009,29,
67,3,2009,30,
67,4,2009,28,190273905.174
67,4,2009,29,32620806.42
67,4,2009,30,4985549.3088
67,5,2009,28,13790843.6758
67,5,2009,29,935036.21024
67,5,2009,30,567085.22718
67,10,2009,28,
67,10,2009,29,151048.905
67,10,2009,30,
68,2,2009,28,147415905.503
68,2,2009,29,39240248.0526
68,2,2009,30,34235641.053
68,3,2009,28,448868.2495
68,3,2009,29,
68,3,2009,30,
68,4,2009,28,159859946.628
68,4,2009,29,15925691.7192
68,4,2009,30,1770612.1482
68,5,2009,28,13290428.4162
68,5,2009,29,187892.62189
68,5,2009,30,199632.09615
68,10,2009,28,129266.766
68,10,2009,29,
68,10,2009,30,
69,2,2009,28,39356599.0804
69,2,2009,29,12482128.6359
69,2,2009,30,6838533.5265
69,3,2009,28,97510.771
69,3,2009,29,
69,3,2009,30,
69,4,2009,28,151930570.14
69,4,2009,29,26853579.732
69,4,2009,30,5150602.1022
69,5,2009,28,8623259.76621
69,5,2009,29,2005196.17102
69,5,2009,30,1278850.05553
69,10,2009,28,466620.736
69,10,2009,29,39318.044
69,10,2009,30,
