census region,housing types,year,value
66,28,2009,158730483.638
66,28,2010,159165105.118
66,28,2011,159336729.847
66,28,2012,159343977.361
66,28,2013,159203408.373
66,28,2014,159038410.604
66,28,2015,158956837.898
66,28,2016,158871284.146
66,29,2009,62499664.9333
66,29,2010,62670795.8731
66,29,2011,62738372.6096
66,29,2012,62741226.2972
66,29,2013,62685877.6683
66,29,2014,62620910.2779
66,29,2015,62588791.2629
66,29,2016,62555104.7225
66,30,2009,4093207.76502
66,30,2010,4104415.41697
66,30,2011,4108841.13066
66,30,2012,4109028.02344
66,30,2013,4105403.149
66,30,2014,4101148.32577
66,30,2015,4099044.79766
66,30,2016,4096838.60969
67,28,2009,253495024.671
67,28,2010,254121890.49
67,28,2011,254393521.101
67,28,2012,254470264.102
67,28,2013,254375315.259
67,28,2014,254278939.673
67,28,2015,254318162.353
67,28,2016,254345981.316
67,29,2009,45478467.6425
67,29,2010,45590930.9815
67,29,2011,45639663.0777
67,29,2012,45653431.2142
67,29,2013,45636396.8447
67,29,2014,45619106.5094
67,29,2015,45626143.2843
67,29,2016,45631134.1665
67,30,2009,11138430.5927
67,30,2010,11165974.7286
67,30,2011,11177910.0268
67,30,2012,11181282.0717
67,30,2013,11177110.0722
67,30,2014,11172875.3825
67,30,2015,11174598.8053
67,30,2016,11175821.1551
68,28,2009,321144415.562
68,28,2010,324463804.906
68,28,2011,327323407.236
68,28,2012,329967446.72
68,28,2013,332478822.559
68,28,2014,335120451.744
68,28,2015,338041953.42
68,28,2016,341028168.66
68,29,2009,55353832.3937
68,29,2010,55925976.6145
68,29,2011,56418869.9683
68,29,2012,56874607.9832
68,29,2013,57307479.5218
68,29,2014,57762802.0872
68,29,2015,58266364.6786
68,29,2016,58781081.5781
68,30,2009,36205885.2974
68,30,2010,36580113.9123
68,30,2011,36902506.0478
68,30,2012,37200595.5853
68,30,2013,37483728.597
68,30,2014,37781546.3968
68,30,2015,38110917.077
68,30,2016,38447583.5771
69,28,2009,200474560.494
69,28,2010,202718029.478
69,28,2011,204713828.792
69,28,2012,206586522.87
69,28,2013,208354154.366
69,28,2014,210147807.43
69,28,2015,212030728.04
69,28,2016,213902371.59
69,29,2009,41380222.5829
69,29,2010,41843300.0212
69,29,2011,42255255.6312
69,29,2012,42641800.9244
69,29,2013,43006660.1093
69,29,2014,43376890.4411
69,29,2015,43765546.6065
69,29,2016,44151875.0589
69,30,2009,13267985.6842
69,30,2010,13416464.9441
69,30,2011,13548552.7096
69,30,2012,13672493.0148
69,30,2013,13789479.9747
69,30,2014,13908189.1173
69,30,2015,14032806.244
69,30,2016,14156677.0222
