census region,housing types,technology,vintage,value
66,28,29,2009,0.0
66,28,29,2010,0.0
66,28,29,2011,0.0
66,28,29,2012,36244187.1114
66,28,29,2013,147233.819326
66,28,29,2014,0.0
66,28,29,2015,0.0
66,28,29,2016,0.0
66,28,31,2009,108320261.939
66,28,31,2010,422367.097697
66,28,31,2011,0.0
66,28,31,2012,0.0
66,28,31,2013,0.0
66,28,31,2014,116264662.058
66,28,31,2015,449462.959653
66,28,31,2016,0.0
66,28,33,2009,0.0
66,28,33,2010,0.0
66,28,33,2011,39844982.6025
66,28,33,2012,156249.632853
66,28,33,2013,0.0
66,28,33,2014,0.0
66,28,33,2015,0.0
66,28,33,2016,39085741.4559
66,28,35,2009,79700.0792749
66,28,35,2010,0.0
66,28,35,2011,0.0
66,28,35,2012,0.0
66,28,35,2013,21103115.5553
66,28,35,2014,84899.4069076
66,28,35,2015,0.0
66,28,35,2016,0.0
66,28,38,2009,0.0
66,28,38,2010,308516491.049
66,28,38,2011,1249418.98981
66,28,38,2012,0.0
66,28,38,2013,0.0
66,28,38,2014,0.0
66,28,38,2015,297242950.273
66,28,38,2016,1238292.20656
66,29,29,2009,0.0
66,29,29,2010,0.0
66,29,29,2011,0.0
66,29,29,2012,20705265.0992
66,29,29,2013,0.0
66,29,29,2014,0.0
66,29,29,2015,0.0
66,29,29,2016,0.0
66,29,31,2009,61702299.2762
66,29,31,2010,0.0
66,29,31,2011,0.0
66,29,31,2012,0.0
66,29,31,2013,0.0
66,29,31,2014,66294569.5478
66,29,31,2015,0.0
66,29,31,2016,0.0
66,29,33,2009,0.0
66,29,33,2010,0.0
66,29,33,2011,22736906.3044
66,29,33,2012,0.0
66,29,33,2013,0.0
66,29,33,2014,0.0
66,29,33,2015,0.0
66,29,33,2016,22325049.3613
66,29,35,2009,0.0
66,29,35,2010,0.0
66,29,35,2011,0.0
66,29,35,2012,0.0
66,29,35,2013,12066805.376
66,29,35,2014,0.0
66,29,35,2015,0.0
66,29,35,2016,0.0
66,29,38,2009,0.0
66,29,38,2010,176523999.94
66,29,38,2011,0.0
66,29,38,2012,0.0
66,29,38,2013,0.0
66,29,38,2014,0.0
66,29,38,2015,170320720.949
66,29,38,2016,0.0
66,30,29,2009,0.0
66,30,29,2010,0.0
66,30,29,2011,0.0
66,30,29,2012,1676799.54687
66,30,29,2013,0.0
66,30,29,2014,0.0
66,30,29,2015,0.0
66,30,29,2016,0.0
66,30,31,2009,5988401.60353
66,30,31,2010,0.0
66,30,31,2011,0.0
66,30,31,2012,0.0
66,30,31,2013,0.0
66,30,31,2014,6097438.10738
66,30,31,2015,0.0
66,30,31,2016,0.0
66,30,33,2009,0.0
66,30,33,2010,0.0
66,30,33,2011,2025111.73197
66,30,33,2012,0.0
66,30,33,2013,0.0
66,30,33,2014,0.0
66,30,33,2015,0.0
66,30,33,2016,1919868.33184
66,30,35,2009,0.0
66,30,35,2010,0.0
66,30,35,2011,0.0
66,30,35,2012,0.0
66,30,35,2013,1004898.67174
66,30,35,2014,0.0
66,30,35,2015,0.0
66,30,35,2016,0.0
66,30,38,2009,0.0
66,30,38,2010,14787393.0482
66,30,38,2011,0.0
66,30,38,2012,0.0
66,30,38,2013,0.0
66,30,38,2014,0.0
66,30,38,2015,13780412.4247
66,30,38,2016,0.0
67,28,29,2009,0.0
67,28,29,2010,0.0
67,28,29,2011,0.0
67,28,29,2012,58846907.2104
67,28,29,2013,0.0
67,28,29,2014,0.0
67,28,29,2015,0.0
67,28,29,2016,0.0
67,28,31,2009,174755074.205
67,28,31,2010,0.0
67,28,31,2011,0.0
67,28,31,2012,0.0
67,28,31,2013,0.0
67,28,31,2014,189170664.352
67,28,31,2015,0.0
67,28,31,2016,0.0
