census region,housing types,technology,vintage,value
66,28,29,2009,316137662.657
66,28,29,2010,126925371.667
66,28,29,2011,25700684.7988
66,28,29,2012,113339287.692
66,28,29,2013,146634.012547
66,28,29,2014,333431029.636
66,28,29,2015,133202433.012
66,28,29,2016,26838182.2071
66,28,31,2009,297028467.17
66,28,31,2010,393899.534596
66,28,31,2011,911567139.234
66,28,31,2012,374492991.661
66,28,31,2013,77535912.1382
66,28,31,2014,332787874.712
66,28,31,2015,428409.562924
66,28,31,2016,957900381.043
66,28,33,2009,133549899.407
66,28,33,2010,26972874.3385
66,28,33,2011,116744182.913
66,28,33,2012,150605.754594
66,28,33,2013,335759396.362
66,28,33,2014,134132592.731
66,28,33,2015,27025594.6699
66,28,33,2016,117434140.874
66,28,35,2009,77664.9674974
66,28,35,2010,175210500.379
66,28,35,2011,71267514.2796
66,28,35,2012,14615691.9041
66,28,35,2013,65029328.6115
66,28,35,2014,83484.6903747
66,28,35,2015,185305480.761
66,28,35,2016,74027725.9579
66,28,38,2009,218587981.777
66,28,38,2010,957445113.291
66,28,38,2011,1225464.94043
66,28,38,2012,2707388198.37
66,28,38,2013,1081575087.73
66,28,38,2014,217920263.307
66,28,38,2015,964851534.119
66,28,38,2016,1229031.72108
66,29,29,2009,239733273.555
66,29,29,2010,45183692.391
66,29,29,2011,5139585.57515
66,29,29,2012,63225763.88
66,29,29,2013,0.0
66,29,29,2014,252800158.637
66,29,29,2015,47409424.4537
66,29,29,2016,5366062.83953
66,29,31,2009,165695887.064
66,29,31,2010,0.0
66,29,31,2011,691194217.64
66,29,31,2012,133301896.061
66,29,31,2013,15504067.9854
66,29,31,2014,185644453.878
66,29,31,2015,0.0
66,29,31,2016,726401604.482
66,29,33,2009,47542411.9595
66,29,33,2010,5394050.47933
66,29,33,2011,65125887.9348
66,29,33,2012,0.0
66,29,33,2013,254654801.69
66,29,33,2014,47757238.9494
66,29,33,2015,5405430.42227
66,29,33,2016,65512469.3507
66,29,35,2009,0.0
66,29,35,2010,132914193.439
66,29,35,2011,25379557.0822
66,29,35,2012,2923896.11633
66,29,35,2013,36279673.9861
66,29,35,2014,0.0
66,29,35,2015,140601222.585
66,29,35,2016,26367954.3407
66,29,38,2009,43737951.7623
66,29,38,2010,534211844.613
66,29,38,2011,0.0
66,29,38,2012,2054801531.43
66,29,38,2013,385351648.896
66,29,38,2014,43616246.9196
66,29,38,2015,538437436.248
66,29,38,2016,0.0
66,30,29,2009,3352916.56281
66,30,29,2010,281815.657266
66,30,29,2011,2645468.23031
66,30,29,2012,13551925.3408
66,30,29,2013,0.0
66,30,29,2014,3556577.07163
66,30,29,2015,297446.275105
66,30,29,2016,2778373.67144
66,30,31,2009,35515453.8511
66,30,31,2010,0.0
66,30,31,2011,9703863.93207
66,30,31,2012,834583.69941
66,30,31,2013,8010696.61864
66,30,31,2014,39789238.7149
66,30,31,2015,0.0
66,30,31,2016,10183761.0886
66,30,33,2009,297236.122838
66,30,33,2010,2783084.75413
66,30,33,2011,13955116.6303
66,30,33,2012,0.0
66,30,33,2013,3564005.28742
66,30,33,2014,298067.517123
66,30,33,2015,2784176.54279
66,30,33,2016,14028383.7762
66,30,35,2009,0.0
66,30,35,2010,1856786.21508
66,30,35,2011,158111.533565
66,30,35,2012,1503254.456
66,30,35,2013,7757075.32444
66,30,35,2014,0.0
66,30,35,2015,1962394.55964
66,30,35,2016,164120.428236
66,30,38,2009,22466514.1633
66,30,38,2010,113904744.953
66,30,38,2011,0.0
66,30,38,2012,28617992.5319
66,30,38,2013,2393401.04493
66,30,38,2014,22356179.939
66,30,38,2015,114279711.766
66,30,38,2016,0.0
67,28,29,2009,636764812.711
67,28,29,2010,705993.584049
67,28,29,2011,47772149.6475
67,28,29,2012,189834744.982
67,28,29,2013,0.0
67,28,29,2014,669968048.583
67,28,29,2015,739111.104606
67,28,29,2016,49765508.3904
67,28,31,2009,497500174.116
67,28,31,2010,0.0
67,28,31,2011,1836120154.93
67,28,31,2012,2083078.43744
67,28,31,2013,144126090.854
67,28,31,2014,557393086.214
67,28,31,2015,0.0
67,28,31,2016,1934525303.06
67,28,33,2009,744812.78999
67,28,33,2010,50269963.269
67,28,33,2011,195534760.388
67,28,33,2012,0.0
67,28,33,2013,679777379.91
67,28,33,2014,749932.793382
67,28,33,2015,50494149.6465
67,28,33,2016,196683270.723
67,28,35,2009,0.0
67,28,35,2010,355202636.412
67,28,35,2011,398985.537966
67,28,35,2012,27344041.2499
67,28,35,2013,108905064.055
67,28,35,2014,0.0
67,28,35,2015,375617909.335
67,28,35,2016,414382.997018
67,28,38,2009,408894790.076
67,28,38,2010,1603210670.7
67,28,38,2011,0.0
67,28,38,2012,5485691766.0
67,28,38,2013,6051834.42594
67,28,38,2014,407479491.277
67,28,38,2015,1615245764.58
67,28,38,2016,0.0
67,29,29,2009,165353276.216
67,29,29,2010,0.0
67,29,29,2011,5469012.43669
67,29,29,2012,69719692.7385
67,29,29,2013,1108616.41603
67,29,29,2014,174125338.179
67,29,29,2015,0.0
67,29,29,2016,5702124.63715
67,29,31,2009,182714396.92
67,29,31,2010,2978050.29988
67,29,31,2011,477039296.78
67,29,31,2012,0.0
67,29,31,2013,16508060.2353
67,29,31,2014,204709100.397
67,29,31,2015,3238956.80258
67,29,31,2016,502424968.316
67,29,33,2009,0.0
67,29,33,2010,5755800.6826
67,29,33,2011,71809325.6408
67,29,33,2012,1138634.72206
67,29,33,2013,176449146.296
67,29,33,2014,0.0
67,29,33,2015,5778222.94457
67,29,33,2016,72222242.8589
67,29,35,2009,587161.953594
67,29,35,2010,92128024.9427
67,29,35,2011,0.0
67,29,35,2012,3126645.61774
67,29,35,2013,39979261.827
67,29,35,2014,631124.8147
67,29,35,2015,97343594.0737
67,29,35,2016,0.0
67,29,38,2009,46716795.1887
67,29,38,2010,588247652.852
67,29,38,2011,9263186.398
67,29,38,2012,1420016244.56
67,29,38,2013,0.0
67,29,38,2014,46501616.0081
67,29,38,2015,592174477.936
67,29,38,2016,9288286.09331
67,30,29,2009,18566608.9807
67,30,29,2010,0.0
67,30,29,2011,4073427.01275
67,30,29,2012,20461949.0937
67,30,29,2013,0.0
67,30,29,2014,19587254.0158
67,30,29,2015,0.0
67,30,29,2016,4254803.71387
67,30,31,2009,53624575.1019
67,30,31,2010,0.0
67,30,31,2011,53630359.2878
67,30,31,2012,0.0
67,30,31,2013,12310730.8492
67,30,31,2014,60078717.4384
67,30,31,2015,0.0
67,30,31,2016,56462769.864
67,30,33,2009,0.0
67,30,33,2010,4290698.05099
67,30,33,2011,21073103.4932
67,30,33,2012,0.0
67,30,33,2013,19818929.8189
67,30,33,2014,0.0
67,30,33,2015,4305129.04619
67,30,33,2016,21189288.6492
67,30,35,2009,0.0
67,30,35,2010,10340878.108
67,30,35,2011,0.0
67,30,35,2012,2327960.24392
67,30,35,2013,11723468.06
67,30,35,2014,0.0
67,30,35,2015,10920959.5533
67,30,35,2016,0.0
67,30,38,2009,34766238.4871
67,30,38,2010,172331680.45
67,30,38,2011,0.0
67,30,38,2012,159163512.421
67,30,38,2013,0.0
67,30,38,2014,34573988.9428
67,30,38,2015,173207364.716
67,30,38,2016,0.0
68,28,29,2009,495433433.173
68,28,29,2010,2984060.52502
68,28,29,2011,42162402.8291
68,28,29,2012,647506088.866
68,28,29,2013,724594.2205
68,28,29,2014,569095911.936
68,28,29,2015,3410685.86329
68,28,29,2016,47951713.942
68,28,31,2009,1696916802.16
68,28,31,2010,1946460.23812
68,28,31,2011,1559830109.34
68,28,31,2012,9613520.2197
68,28,31,2013,138887488.271
68,28,31,2014,1901144202.12
68,28,31,2015,2116983.85173
68,28,31,2016,1646051734.85
68,28,33,2009,3442839.77158
68,28,33,2010,48520129.2739
68,28,33,2011,666838302.589
68,28,33,2012,744203.292113
68,28,33,2013,580481390.937
68,28,33,2014,3478920.92079
68,28,33,2015,48911048.2486
68,28,33,2016,670537856.05
68,28,35,2009,383752.647752
68,28,35,2010,304764652.825
68,28,35,2011,1859714.11811
68,28,35,2012,26613097.8272
68,28,35,2013,371049567.089
68,28,35,2014,412459.754519
68,28,35,2015,323759268.671
68,28,35,2016,1940342.80972
68,28,38,2009,399789893.753
68,28,38,2010,5456595361.54
68,28,38,2011,6053143.27054
68,28,38,2012,4749181997.37
68,28,38,2013,28462632.6791
68,28,38,2014,400163508.153
68,28,38,2015,5489014794.7
68,28,38,2016,6068580.47662
68,29,29,2009,80960587.3088
68,29,29,2010,0.0
68,29,29,2011,572031.221845
68,29,29,2012,240245981.136
68,29,29,2013,0.0
68,29,29,2014,93714669.391
68,29,29,2015,0.0
68,29,29,2016,655589.949718
68,29,31,2009,629611066.939
68,29,31,2010,0.0
68,29,31,2011,256767978.974
68,29,31,2012,0.0
68,29,31,2013,1898159.61111
68,29,31,2014,705372835.149
68,29,31,2015,0.0
68,29,31,2016,271008601.868
68,29,33,2009,0.0
68,29,33,2010,663235.22667
68,29,33,2011,247392089.475
68,29,33,2012,0.0
68,29,33,2013,95607234.1947
68,29,33,2014,0.0
68,29,33,2015,668829.568153
68,29,33,2016,248701880.579
68,29,35,2009,0.0
68,29,35,2010,50220030.857
68,29,35,2011,0.0
68,29,35,2012,364094.275827
68,29,35,2013,137545931.223
68,29,35,2014,0.0
68,29,35,2015,53389940.1193
68,29,35,2016,0.0
68,29,38,2009,5473625.44417
68,29,38,2010,2020652845.81
68,29,38,2011,0.0
68,29,38,2012,783385684.104
68,29,38,2013,0.0
68,29,38,2014,5480249.61929
68,29,38,2015,2029212624.96
68,29,38,2016,0.0
68,30,29,2009,8293630.25999
68,30,29,2010,0.0
68,30,29,2011,2464362.79508
68,30,29,2012,135406344.55
68,30,29,2013,0.0
68,30,29,2014,9678072.46768
68,30,29,2015,0.0
68,30,29,2016,2847262.24512
68,30,31,2009,354858162.084
68,30,31,2010,0.0
68,30,31,2011,26511753.4312
68,30,31,2012,0.0
68,30,31,2013,8242220.0944
68,30,31,2014,397551724.414
68,30,31,2015,0.0
68,30,31,2016,27999491.2004
68,30,33,2009,0.0
68,30,33,2010,2881698.48888
68,30,33,2011,139420021.013
68,30,33,2012,0.0
68,30,33,2013,9888903.26541
68,30,33,2014,0.0
68,30,33,2015,2909288.08472
68,30,33,2016,140125427.399
68,30,35,2009,0.0
68,30,35,2010,5202384.3588
68,30,35,2011,0.0
68,30,35,2012,1586182.6718
68,30,35,2013,77457463.5976
68,30,35,2014,0.0
68,30,35,2015,5542006.31144
68,30,35,2016,0.0
68,30,38,2009,23894423.0099
68,30,38,2010,1136825491.98
68,30,38,2011,0.0
68,30,38,2012,81454594.8787
68,30,38,2013,0.0
68,30,38,2014,23963717.3067
68,30,38,2015,1139844386.06
68,30,38,2016,0.0
69,28,29,2009,591949599.363
69,28,29,2010,423576.621968
69,28,29,2011,33626583.8174
69,28,29,2012,152628249.92
69,28,29,2013,2162210.79522
69,28,29,2014,650690446.45
69,28,29,2015,463292.87391
69,28,29,2016,36597470.9291
69,28,31,2009,399993098.699
69,28,31,2010,5808296.5031
69,28,31,2011,1798048984.03
69,28,31,2012,1316532.54178
69,28,31,2013,106867418.543
69,28,31,2014,448148832.734
69,28,31,2015,6317168.89341
69,28,31,2016,1898896955.44
69,28,33,2009,471845.332332
69,28,33,2010,37362664.6438
69,28,33,2011,157217448.055
69,28,33,2012,2220782.66962
69,28,33,2013,668785856.327
69,28,33,2014,476176.841228
69,28,33,2015,37615230.2039
69,28,33,2016,158166410.243
69,28,35,2009,1145240.48016
69,28,35,2010,350320311.531
69,28,35,2011,253963.816966
69,28,35,2012,20419924.3424
69,28,35,2013,87617179.9544
69,28,35,2014,1231123.7042
69,28,35,2015,369682563.502
69,28,35,2016,263214.71018
69,28,38,2009,304716901.31
69,28,38,2010,1291076391.69
69,28,38,2011,18073951.9592
69,28,38,2012,5426150135.59
69,28,38,2013,3863429.5375
69,28,38,2014,305188700.599
69,28,38,2015,1303086622.31
69,28,38,2016,18131474.885
69,29,29,2009,186631429.773
69,29,29,2010,0.0
69,29,29,2011,12405950.9406
69,29,29,2012,81743275.1991
69,29,29,2013,250663.343424
69,29,29,2014,211551908.766
69,29,29,2015,0.0
69,29,29,2016,13923257.355
69,29,31,2009,214224608.968
69,29,31,2010,673351.068247
69,29,31,2011,584425948.462
69,29,31,2012,0.0
69,29,31,2013,40646256.0383
69,29,31,2014,240013033.24
69,29,31,2015,732343.418722
69,29,31,2016,616813126.304
69,29,33,2009,0.0
69,29,33,2010,14201601.0822
69,29,33,2011,84196293.2667
69,29,33,2012,257451.658422
69,29,33,2013,216997259.954
69,29,33,2014,0.0
69,29,33,2015,14281642.3321
69,29,33,2016,84693197.1325
69,29,35,2009,132763.231399
69,29,35,2010,113478068.252
69,29,35,2011,0.0
69,29,35,2012,7740125.50525
69,29,35,2013,46902565.6964
69,29,35,2014,142712.615839
69,29,35,2015,119486829.842
69,29,35,2016,0.0
69,29,38,2009,115248391.682
69,29,38,2010,690754524.84
69,29,38,2011,2094944.59812
69,29,38,2012,1749129696.53
69,29,38,2013,0.0
69,29,38,2014,115118710.364
69,29,38,2015,696557618.182
69,29,38,2016,2101254.61745
69,30,29,2009,19912185.4459
69,30,29,2010,0.0
69,30,29,2011,11517087.4597
69,30,29,2012,26382635.8531
69,30,29,2013,0.0
69,30,29,2014,22995434.4202
69,30,29,2015,0.0
69,30,29,2016,13168732.6654
69,30,31,2009,69140909.9537
69,30,31,2010,0.0
69,30,31,2011,63176340.229
69,30,31,2012,0.0
69,30,31,2013,38231732.8113
69,30,31,2014,77462832.7382
69,30,31,2015,0.0
69,30,31,2016,66722175.8166
69,30,33,2009,0.0
69,30,33,2010,13366951.2017
69,30,33,2011,27171749.5774
69,30,33,2012,0.0
69,30,33,2013,23509667.175
69,30,33,2014,0.0
69,30,33,2015,13463216.9336
69,30,33,2016,27326023.7029
69,30,35,2009,0.0
69,30,35,2010,12312257.2091
69,30,35,2011,0.0
69,30,35,2012,7307220.43003
69,30,35,2013,15125601.5186
69,30,35,2014,0.0
69,30,35,2015,13027777.2414
69,30,35,2016,0.0
69,30,38,2009,109336110.163
69,30,38,2010,222559697.251
69,30,38,2011,0.0
69,30,38,2012,190753632.919
69,30,38,2013,0.0
69,30,38,2014,109238362.319
69,30,38,2015,224094552.129
69,30,38,2016,0.0
