census region,housing types,technology,vintage,value
66,28,29,2009,303492156.15
66,28,29,2010,121242146.07
66,28,29,2011,24428373.6702
66,28,29,2012,107197749.935
66,28,29,2013,138008.482397
66,28,29,2014,313817439.657
66,28,29,2015,125366995.776
66,28,29,2016,25259465.6066
66,28,31,2009,142930991.721
66,28,31,2010,184011.461417
66,28,31,2011,413760971.0
66,28,31,2012,165293458.388
66,28,31,2013,33304015.952
66,28,31,2014,142942442.83
66,28,31,2015,184014.84582
66,28,31,2016,411447143.535
66,28,33,2009,123276830.221
66,28,33,2010,24838330.3261
66,28,33,2011,107248244.59
66,28,33,2012,138025.321633
66,28,33,2013,306980019.531
66,28,33,2014,122635513.354
66,28,33,2015,24709115.1267
66,28,33,2016,107368357.371
66,28,35,2009,92047.3688859
66,28,35,2010,203881309.531
66,28,35,2011,81448587.7481
66,28,35,2012,16410601.4362
66,28,35,2013,71756500.5368
66,28,35,2014,92121.0376548
66,28,35,2015,204475013.253
66,28,35,2016,81685766.5742
66,28,38,2009,234017721.667
66,28,38,2010,1025029474.23
66,28,38,2011,1311968.34799
66,28,38,2012,2898497953.55
66,28,38,2013,1157921564.51
66,28,38,2014,233302870.129
66,28,38,2015,1032958701.23
66,28,38,2016,1315786.90139
66,29,29,2009,230143942.613
66,29,29,2010,43160541.9854
66,29,29,2011,4885150.64569
66,29,29,2012,59799737.2658
66,29,29,2013,0.0
66,29,29,2014,237929561.07
66,29,29,2015,44620634.78
66,29,29,2016,5050412.08426
66,29,31,2009,79733359.1889
66,29,31,2010,0.0
66,29,31,2011,313733545.595
66,29,31,2012,58836698.951
66,29,31,2013,6659465.44341
66,29,31,2014,79739899.6522
66,29,31,2015,0.0
66,29,31,2016,312011427.428
66,29,33,2009,43885303.3473
66,29,33,2010,4967183.17521
66,29,33,2011,59828566.9066
66,29,33,2012,0.0
66,29,33,2013,232827247.259
66,29,33,2014,43663761.3252
66,29,33,2015,4942107.81465
66,29,33,2016,59897114.8349
66,29,35,2009,0.0
66,29,35,2010,154663788.729
