census region,housing types,technology,vintage,2009,2010,2011,2012,2013,2014,2015,2016
66,28,29,2009,48582936.0925,48582936.0925,48582936.0925,48582936.0925,48582936.0925,48582936.0925,48582936.0925,48582936.0925
66,28,29,2010,0.0,19408407.4822,19408407.4822,19408407.4822,19408407.4822,19408407.4822,19408407.4822,19408407.4822
66,28,29,2011,0.0,0.0,3910486.95267,3910486.95267,3910486.95267,3910486.95267,3910486.95267,3910486.95267
66,28,29,2012,0.0,0.0,0.0,17160184.6335,17160184.6335,17160184.6335,17160184.6335,17160184.6335
66,28,29,2013,0.0,0.0,0.0,0.0,22092.3577254,22092.3577254,22092.3577254,22092.3577254
66,28,29,2014,0.0,0.0,0.0,0.0,0.0,50235804.4734,50235804.4734,50235804.4734
66,28,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,20068712.2235,20068712.2235
66,28,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4043527.90815
66,28,31,2009,22880351.5863,22880351.5863,22880351.5863,22880351.5863,22880351.5863,22880351.5863,22880351.5863,22880351.5863
66,28,31,2010,0.0,29456.501228,29456.501228,29456.501228,29456.501228,29456.501228,29456.501228,29456.501228
66,28,31,2011,0.0,0.0,66234735.9044,66234735.9044,66234735.9044,66234735.9044,66234735.9044,66234735.9044
66,28,31,2012,0.0,0.0,0.0,26460128.7469,26460128.7469,26460128.7469,26460128.7469,26460128.7469
66,28,31,2013,0.0,0.0,0.0,0.0,5331297.18785,5331297.18785,5331297.18785,5331297.18785
66,28,31,2014,0.0,0.0,0.0,0.0,0.0,22882184.6765,22882184.6765,22882184.6765
66,28,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,29457.0430022,29457.0430022
66,28,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65864339.0768
66,28,33,2009,19734119.1295,19734119.1295,19734119.1295,19734119.1295,19734119.1295,19734119.1295,19734119.1295,19734119.1295
66,28,33,2010,0.0,3976112.69493,3976112.69493,3976112.69493,3976112.69493,3976112.69493,3976112.69493,3976112.69493
66,28,33,2011,0.0,0.0,17168267.8031,17168267.8031,17168267.8031,17168267.8031,17168267.8031,17168267.8031
66,28,33,2012,0.0,0.0,0.0,22095.0533453,22095.0533453,22095.0533453,22095.0533453,22095.0533453
66,28,33,2013,0.0,0.0,0.0,0.0,49141272.2481,49141272.2481,49141272.2481,49141272.2481
66,28,33,2014,0.0,0.0,0.0,0.0,0.0,19631457.3118,19631457.3118,19631457.3118
66,28,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,3955427.96338,3955427.96338
66,28,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17187495.4222
66,28,35,2009,11645.999275,11645.999275,11645.999275,11645.999275,11645.999275,11645.999275,11645.999275,11645.999275
66,28,35,2010,0.0,25795431.3278,25795431.3278,25795431.3278,25795431.3278,25795431.3278,25795431.3278,25795431.3278
66,28,35,2011,0.0,0.0,10305022.3526,10305022.3526,10305022.3526,10305022.3526,10305022.3526,10305022.3526
66,28,35,2012,0.0,0.0,0.0,2076298.91807,2076298.91807,2076298.91807,2076298.91807,2076298.91807
66,28,35,2013,0.0,0.0,0.0,0.0,9078761.9825,9078761.9825,9078761.9825,9078761.9825
66,28,35,2014,0.0,0.0,0.0,0.0,0.0,11655.3199807,11655.3199807,11655.3199807
66,28,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,25870547.7944,25870547.7944
66,28,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10335030.6458
66,28,38,2009,23835221.8555,23835221.8555,23835221.8555,23835221.8555,23835221.8555,23835221.8555,23835221.8555,23835221.8555
66,28,38,2010,0.0,104401516.059,104401516.059,104401516.059,104401516.059,104401516.059,104401516.059,104401516.059
66,28,38,2011,0.0,0.0,133626.874149,133626.874149,133626.874149,133626.874149,133626.874149,133626.874149
66,28,38,2012,0.0,0.0,0.0,295218418.838,295218418.838,295218418.838,295218418.838,295218418.838
66,28,38,2013,0.0,0.0,0.0,0.0,117936868.989,117936868.989,117936868.989,117936868.989
66,28,38,2014,0.0,0.0,0.0,0.0,0.0,23762412.6474,23762412.6474,23762412.6474
66,28,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,105209125.344,105209125.344
66,28,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134015.802247
66,29,29,2009,36841375.4011,36841375.4011,36841375.4011,36841375.4011,36841375.4011,36841375.4011,36841375.4011,36841375.4011
66,29,29,2010,0.0,6909127.00873,6909127.00873,6909127.00873,6909127.00873,6909127.00873,6909127.00873,6909127.00873
66,29,29,2011,0.0,0.0,782013.494623,782013.494623,782013.494623,782013.494623,782013.494623,782013.494623
66,29,29,2012,0.0,0.0,0.0,9572724.55007,9572724.55007,9572724.55007,9572724.55007,9572724.55007
66,29,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,29,2014,0.0,0.0,0.0,0.0,0.0,38087694.9396,38087694.9396,38087694.9396
66,29,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,7142858.23865,7142858.23865
66,29,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808468.497647
66,29,31,2009,12763692.9503,12763692.9503,12763692.9503,12763692.9503,12763692.9503,12763692.9503,12763692.9503,12763692.9503
66,29,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2011,0.0,0.0,50222374.7364,50222374.7364,50222374.7364,50222374.7364,50222374.7364,50222374.7364
66,29,31,2012,0.0,0.0,0.0,9418561.65672,9418561.65672,9418561.65672,9418561.65672,9418561.65672
66,29,31,2013,0.0,0.0,0.0,0.0,1066045.29142,1066045.29142,1066045.29142,1066045.29142
66,29,31,2014,0.0,0.0,0.0,0.0,0.0,12764739.9457,12764739.9457,12764739.9457
66,29,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49946698.5611
66,29,33,2009,7025146.59675,7025146.59675,7025146.59675,7025146.59675,7025146.59675,7025146.59675,7025146.59675,7025146.59675
66,29,33,2010,0.0,795145.238092,795145.238092,795145.238092,795145.238092,795145.238092,795145.238092,795145.238092
66,29,33,2011,0.0,0.0,9577339.59058,9577339.59058,9577339.59058,9577339.59058,9577339.59058,9577339.59058
