census region,housing types,technology,vintage,value
66,28,29,2009,679705.869698
66,28,29,2010,271535.842585
66,28,29,2011,54710.1749891
66,28,29,2012,223328.645698
66,28,29,2013,287.517671661
66,28,29,2014,679627.937098
66,28,29,2015,271504.709274
66,28,29,2016,54703.9021197
66,28,31,2009,223329.674564
66,28,31,2010,287.517908465
66,28,31,2011,679207.654612
66,28,31,2012,271336.810534
66,28,31,2013,54670.0731807
66,28,31,2014,223347.566921
66,28,31,2015,287.523196594
66,28,31,2016,678304.510682
66,28,33,2009,270976.013374
66,28,33,2010,54597.3782628
66,28,33,2011,223433.842895
66,28,33,2012,287.552753401
66,28,33,2013,676797.500897
66,28,33,2014,270373.977713
66,28,33,2015,54476.077605
66,28,33,2016,223684.077856
66,28,35,2009,287.648027768
66,28,35,2010,674606.307507
66,28,35,2011,269498.6174
66,28,35,2012,54299.7063551
66,28,35,2013,224239.064178
66,28,35,2014,287.878242671
66,28,35,2015,671715.510945
66,28,35,2016,268343.772466
66,28,38,2009,54067.0233774
66,28,38,2010,225281.203127
66,28,38,2011,288.344691865
66,28,38,2012,668193.74971
66,28,38,2013,266936.86332
66,28,38,2014,53783.5534501
66,28,38,2015,227023.890381
66,28,38,2016,289.183934372
66,29,29,2009,512445.606862
66,29,29,2010,96102.5950938
66,29,29,2011,10877.4272259
66,29,29,2012,124582.78597
66,29,29,2013,0.0
66,29,29,2014,512391.316253
66,29,29,2015,96092.4135871
66,29,29,2016,10876.2748262
66,29,31,2009,124583.373733
66,29,31,2010,0.0
66,29,31,2011,512100.515542
66,29,31,2012,96037.8776468
66,29,31,2013,10870.1021446
66,29,31,2014,124593.593207
66,29,31,2015,0.0
66,29,31,2016,511482.279061
66,29,33,2009,95921.9353315
66,29,33,2010,10856.9791473
66,29,33,2011,124642.847722
66,29,33,2012,0.0
66,29,33,2013,510456.200684
66,29,33,2014,95729.5075039
66,29,33,2015,10835.1990935
66,29,33,2016,124785.655906
66,29,35,2009,0.0
66,29,35,2010,508967.622587
66,29,35,2011,95450.3437913
66,29,35,2012,10803.6017889
66,29,35,2013,125102.32409
66,29,35,2014,0.0
66,29,35,2015,507004.87936
66,29,35,2016,95082.2564957
66,29,38,2009,10761.9396177
66,29,38,2010,125696.904615
66,29,38,2011,0.0
66,29,38,2012,504613.294462
66,29,38,2013,94633.7454498
66,29,38,2014,10711.1746383
66,29,38,2015,126691.16147
66,29,38,2016,0.0
66,30,29,2009,8466.58214837
66,30,29,2010,708.083438707
66,30,29,2011,6614.03603924
66,30,29,2012,26703.3011642
66,30,29,2013,0.0
66,30,29,2014,8463.73246438
66,30,29,2015,707.845111835
66,30,29,2016,6611.80988561
66,30,31,2009,26703.3487602
66,30,31,2010,0.0
66,30,31,2011,8447.531337
66,30,31,2012,706.490167208
66,30,31,2013,6599.15367576
66,30,31,2014,26704.187057
66,30,31,2015,0.0
66,30,31,2016,8409.9258282
66,30,33,2009,703.345115578
66,30,33,2010,6569.77650961
66,30,33,2011,26708.3571872
66,30,33,2012,0.0
66,30,33,2013,8344.91113698
66,30,33,2014,697.907759002
66,30,33,2015,6518.98747772
66,30,33,2016,26720.7310022
66,30,35,2009,0.0
66,30,35,2010,8249.14658577
