,,,value,value,value,value,value
technology,,,29,31,33,35,38
census region,housing types,year,,,,,
66,28,2009,,,,,
66,28,2010,,,,,
66,28,2011,,,,,
66,28,2012,,,,,
66,28,2013,,,,,
66,28,2014,,,,,
66,28,2015,,,,,
66,28,2016,,,,,
66,29,2009,,,,,
66,29,2010,,,,,
66,29,2011,,,,,
66,29,2012,,,,,
66,29,2013,,,,,
66,29,2014,,,,,
66,29,2015,,,,,
66,29,2016,,,,,
66,30,2009,,,,,
66,30,2010,,,,,
66,30,2011,,,,,
66,30,2012,,,,,
66,30,2013,,,,,
66,30,2014,,,,,
66,30,2015,,,,,
66,30,2016,,,,,
67,28,2009,,,,,
67,28,2010,,,,,
67,28,2011,,,,,
67,28,2012,,,,,
67,28,2013,,,,,
67,28,2014,,,,,
67,28,2015,,,,,
67,28,2016,,,,,
67,29,2009,,,,,
67,29,2010,,,,,
67,29,2011,,,,,
67,29,2012,,,,,
67,29,2013,,,,,
67,29,2014,,,,,
67,29,2015,,,,,
67,29,2016,,,,,
67,30,2009,,,,,
67,30,2010,,,,,
67,30,2011,,,,,
67,30,2012,,,,,
67,30,2013,,,,,
67,30,2014,,,,,
67,30,2015,,,,,
67,30,2016,,,,,
68,28,2009,,,,,
68,28,2010,,,,,
68,28,2011,,,,,
68,28,2012,,,,,
68,28,2013,,,,,
68,28,2014,,,,,
68,28,2015,,,,,
68,28,2016,,,,,
68,29,2009,,,,,
68,29,2010,,,,,
68,29,2011,,,,,
68,29,2012,,,,,
68,29,2013,,,,,
68,29,2014,,,,,
68,29,2015,,,,,
68,29,2016,,,,,
68,30,2009,,,,,
68,30,2010,,,,,
68,30,2011,,,,,
68,30,2012,,,,,
68,30,2013,,,,,
68,30,2014,,,,,
68,30,2015,,,,,
68,30,2016,,,,,
69,28,2009,,,,,
69,28,2010,,,,,
69,28,2011,,,,,
69,28,2012,,,,,
69,28,2013,,,,,
69,28,2014,,,,,
69,28,2015,,,,,
69,28,2016,,,,,
69,29,2009,,,,,
69,29,2010,,,,,
69,29,2011,,,,,
69,29,2012,,,,,
69,29,2013,,,,,
69,29,2014,,,,,
69,29,2015,,,,,
69,29,2016,,,,,
69,30,2009,,,,,
69,30,2010,,,,,
69,30,2011,,,,,
69,30,2012,,,,,
69,30,2013,,,,,
69,30,2014,,,,,
69,30,2015,,,,,
69,30,2016,,,,,
