census region,housing types,technology,vintage,2009,2010,2011,2012,2013,2014,2015,2016,final_energy
66,28,29,2008,5777489.91745,5098877.41923,4426646.04286,3769750.0658,3139755.62843,2549575.23726,2011925.84912,1537658.60726,4.0
66,28,29,2009,631258.25037,630242.811488,624316.518975,610074.185964,585090.116188,548113.908884,499327.175479,440462.739331,4.0
66,28,29,2010,0.0,652734.655176,651684.669457,645556.755093,630829.87537,604995.807996,566761.611595,516315.076303,4.0
66,28,29,2011,0.0,0.0,645461.558063,644423.271811,638363.637744,623800.852307,598254.641076,560446.469281,4.0
66,28,29,2012,0.0,0.0,0.0,641852.018292,640819.538328,634793.790849,620312.443187,594909.091069,4.0
66,28,29,2013,0.0,0.0,0.0,0.0,638512.943746,637485.835001,631491.434966,617085.422892,4.0
66,28,29,2014,0.0,0.0,0.0,0.0,0.0,636104.209597,635080.97553,629109.188844,4.0
66,28,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,637956.549262,636930.33553,4.0
66,28,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636007.789925,4.0
66,28,31,2008,2308050.67707,2036951.62569,1768401.77003,1505978.25631,1254301.64441,1018530.3543,803744.685774,614279.564358,3.0
66,28,31,2009,252181.492826,251775.834931,249408.339073,243718.666427,233737.775073,218966.142145,199476.319632,175960.553503,3.0
66,28,31,2010,0.0,260761.106354,260341.647335,257893.605521,252010.361206,241689.904131,226415.716871,206262.819748,3.0
66,28,31,2011,0.0,0.0,257855.57524,257440.790044,255020.025541,249202.335286,238996.873923,223892.879324,3.0
66,28,31,2012,0.0,0.0,0.0,256413.599428,256001.133788,253593.906645,247808.749984,237660.359439,3.0
66,28,31,2013,0.0,0.0,0.0,0.0,255079.671827,254669.351936,252274.64779,246519.58696,3.0
66,28,31,2014,0.0,0.0,0.0,0.0,0.0,254117.406109,253708.634114,251322.963779,3.0
66,28,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,254857.397676,254447.435334,3.0
66,28,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254078.887394,3.0
66,28,33,2008,465035.684511,410413.516038,356304.970159,303430.785226,252721.93093,205217.74726,161941.834222,123767.610708,5.0
66,28,33,2009,50810.5798121,50728.8461662,50251.8332185,49105.4542243,47094.4625728,44118.2123119,40191.3215189,35453.2668015,5.0
66,28,33,2010,0.0,52539.2361581,52454.7218042,51961.4801211,50776.099499,48696.6907287,45619.1837232,41558.69389,5.0
66,28,33,2011,0.0,0.0,51953.8176212,51870.2449686,51382.4992319,50210.3267156,48154.0877613,45110.8718834,5.0
66,28,33,2012,0.0,0.0,0.0,51663.2823157,51580.1770168,51095.1588439,49929.541332,47884.8012442,5.0
66,28,33,2013,0.0,0.0,0.0,0.0,51394.5170147,51311.8440502,50829.3490631,49669.7953846,5.0
66,28,33,2014,0.0,0.0,0.0,0.0,0.0,51200.6357012,51118.2746133,50637.5997962,5.0
66,28,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,51349.7322909,51267.131367,5.0
66,28,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51192.8747896,5.0
66,28,35,2008,2791608.07573,2568282.6476,2345012.72222,2122004.96618,1899745.66929,1679130.72542,1461586.99667,1249164.31917,2.0
66,28,35,2009,294741.516671,294737.270245,294664.019595,294318.017464,293330.226647,291160.065707,287106.780923,280348.192453,2.0
66,28,35,2010,0.0,304769.089573,304764.698676,304688.955923,304331.182252,303309.785228,301065.791978,296874.60803,2.0
66,28,35,2011,0.0,0.0,301373.199423,301368.857452,301293.958663,300940.171486,299930.15538,297711.165829,2.0
66,28,35,2012,0.0,0.0,0.0,299687.865052,299683.547362,299609.06742,299257.258686,298252.890777,2.0
66,28,35,2013,0.0,0.0,0.0,0.0,298128.81391,298124.518682,298050.426204,297700.447667,2.0
66,28,35,2014,0.0,0.0,0.0,0.0,0.0,297004.149075,296999.87005,296926.057079,2.0
66,28,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,297869.027121,297864.735636,2.0
66,28,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296959.129654,2.0
66,28,38,2008,2803.29729907,2659.53858116,2515.78248854,2372.04093859,2228.34590603,2084.76271907,1941.40547645,1798.45407939,10.0
66,28,38,2009,288.1054812,288.105244879,288.099983564,288.07083877,287.97761377,287.753465255,287.300652726,286.487302155,10.0
66,28,38,2010,0.0,297.907285672,297.90704131,297.901600997,297.871464651,297.775067989,297.543293587,297.075075659,10.0
66,28,38,2011,0.0,0.0,294.587853185,294.587611546,294.582231852,294.5524313,294.457108739,294.227916883,10.0
66,28,38,2012,0.0,0.0,0.0,292.940463718,292.940223431,292.934873821,292.905239919,292.810450419,10.0
66,28,38,2013,0.0,0.0,0.0,0.0,291.416514244,291.416275206,291.410953427,291.381473688,10.0
66,28,38,2014,0.0,0.0,0.0,0.0,0.0,290.317170971,290.316932835,290.311631131,10.0
66,28,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,291.162576493,291.162337663,10.0
66,28,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.273165152,10.0
66,29,29,2008,4355780.13796,3844158.84856,3337348.43102,2842099.7174,2367132.68215,1922182.35555,1516836.33859,1159275.55325,4.0
66,29,29,2009,478695.279607,477925.252761,473431.231099,462630.995888,443685.094966,415645.325373,378649.406549,334011.371791,4.0
66,29,29,2010,0.0,494889.226587,494093.150239,489447.098775,478281.498698,458694.670389,429706.333803,391458.867337,4.0
66,29,29,2011,0.0,0.0,489420.117773,488632.839006,484038.131882,472995.924837,453625.554049,424957.572723,4.0
66,29,29,2012,0.0,0.0,0.0,486733.63656,485950.679253,481381.192986,470399.597837,451135.55316,4.0
66,29,29,2013,0.0,0.0,0.0,0.0,484276.505223,483497.500446,478951.081883,468024.924082,4.0
66,29,29,2014,0.0,0.0,0.0,0.0,0.0,482546.866648,481770.644158,477240.463553,4.0
66,29,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,484051.903993,483273.260508,4.0
66,29,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482704.985391,4.0
66,29,31,2008,816870.64795,720922.643012,625876.855336,532999.316807,443925.34669,360480.624946,284463.183057,217407.247919,3.0
66,29,31,2009,89773.1544839,89628.7458341,88785.949763,86760.5042961,83207.4437946,77948.9449653,71010.8353214,62639.5449393,3.0
66,29,31,2010,0.0,92810.1213517,92660.8274522,91789.5201434,89695.5551864,86022.2969811,80585.9065894,73413.085252,3.0
66,29,31,2011,0.0,0.0,91784.4602028,91636.8161766,90775.1378398,88704.3136617,85071.6492858,79695.3374107,3.0
66,29,31,2012,0.0,0.0,0.0,91280.6451387,91133.811547,90276.8630579,88217.405863,84604.6815841,3.0
66,29,31,2013,0.0,0.0,0.0,0.0,90819.8416997,90673.7493542,89821.126917,87772.0662849,3.0
66,29,31,2014,0.0,0.0,0.0,0.0,0.0,90495.470189,90349.8996258,89500.3224089,3.0
66,29,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,90777.7206223,90631.6960325,3.0
66,29,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90525.1233294,3.0
66,29,33,2008,92457.9717888,81598.0419382,70840.2300648,60327.8327119,50245.9444266,40801.20584,32197.1281745,24607.3637794,5.0
66,29,33,2009,10161.025868,10144.6808924,10049.2885367,9820.03733238,9417.88214607,8822.6959466,8037.40203583,7089.89274298,5.0
66,29,33,2010,0.0,10504.7667011,10487.8687856,10389.2493692,10152.2427471,9736.48291494,9121.16195717,8309.30206905,5.0
66,29,33,2011,0.0,0.0,10388.6766569,10371.9654833,10274.4359276,10040.0485079,9628.88331149,9020.36237501,5.0
66,29,33,2012,0.0,0.0,0.0,10331.6520606,10315.0326164,10218.0384113,9984.93757002,9576.02930493,5.0
66,29,33,2013,0.0,0.0,0.0,0.0,10279.4957596,10262.9602138,10166.4556553,9934.531555,5.0
66,29,33,2014,0.0,0.0,0.0,0.0,0.0,10242.7815845,10226.305097,10130.1452135,5.0
66,29,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,10274.7282613,10258.2003846,5.0
66,29,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10246.1378922,5.0
66,29,35,2008,1557284.82715,1432703.83608,1308153.80695,1183750.0277,1059763.7727,936694.811937,815339.113417,696840.168131,2.0
66,29,35,2009,165378.955193,165376.57253,165335.471717,165141.33052,164587.082802,163369.409252,161095.118171,157302.88587,2.0
66,29,35,2010,0.0,170973.616653,170971.153387,170928.66216,170727.953294,170154.955739,168896.089093,166544.860237,2.0
66,29,35,2011,0.0,0.0,169084.156823,169081.720779,169039.699131,168841.208334,168274.543076,167029.588389,2.0
66,29,35,2012,0.0,0.0,0.0,168156.035166,168153.612494,168111.821507,167914.420248,167350.865479,2.0
66,29,35,2013,0.0,0.0,0.0,0.0,167307.148974,167304.738531,167263.158514,167066.753777,2.0
66,29,35,2014,0.0,0.0,0.0,0.0,0.0,166709.595932,166707.194099,166665.762588,2.0
66,29,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,167229.554065,167227.14474,2.0
66,29,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166764.222568,2.0
66,29,38,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,29,38,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,29,38,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,29,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,29,38,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,29,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,29,38,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,29,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,29,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,30,29,2008,71965.8240103,63512.8611639,55139.3831279,46956.9265675,39109.5621489,31758.1312036,25061.0392486,19153.4507717,4.0
66,30,29,2009,6695.04615582,6684.27653787,6621.4230197,6470.37061473,6205.39269133,5813.2276552,5295.80165444,4671.49279714,4.0
66,30,29,2010,0.0,6962.46270478,6951.26292191,6885.89888021,6728.81307205,6453.25128108,6045.42221245,5507.32894932,4.0
66,30,29,2011,0.0,0.0,6871.10237221,6860.04955111,6795.54320601,6640.51865294,6368.57274014,5966.09513993,4.0
66,30,29,2012,0.0,0.0,0.0,6823.74465849,6812.76801677,6748.70626889,6594.75019188,6324.67861248,4.0
66,30,29,2013,0.0,0.0,0.0,0.0,6777.66142142,6766.75890897,6703.12979344,6550.21343798,4.0
66,30,29,2014,0.0,0.0,0.0,0.0,0.0,6741.08872002,6730.24503824,6666.95926956,4.0
66,30,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,6755.9926259,6745.12496977,4.0
66,30,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6722.81359329,4.0
66,30,31,2008,6018.69883757,5311.75441836,4611.45753141,3927.13629329,3270.83972817,2656.01943683,2095.92330621,1601.8555124,3.0
66,30,31,2009,559.925034829,559.024342203,553.767730444,541.134804376,518.973975378,486.176140022,442.902387347,390.689728833,3.0
66,30,31,2010,0.0,582.289812758,581.353144261,575.886570548,562.749054456,539.703067646,505.595206378,460.592993983,3.0
66,30,31,2011,0.0,0.0,574.649098085,573.724720404,568.329878205,555.364750518,532.621169495,498.96086618,3.0
66,30,31,2012,0.0,0.0,0.0,570.688442864,569.770436274,564.412776957,551.537008848,528.950183458,3.0
66,30,31,2013,0.0,0.0,0.0,0.0,566.834375615,565.922568658,560.60109157,547.812278219,3.0
66,30,31,2014,0.0,0.0,0.0,0.0,0.0,563.775700496,562.868813708,557.576051656,3.0
66,30,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,565.022154937,564.113263109,3.0
66,30,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.247301627,3.0
66,30,33,2008,56219.2092697,49615.8125359,43074.5087922,36682.4297181,30552.1223321,24809.234782,19577.5123735,14962.5446798,5.0
66,30,33,2009,5230.12424411,5221.71109227,5172.61035397,5054.60924883,4847.61030826,4541.25366553,4137.04401438,3649.33820707,5.0
66,30,33,2010,0.0,5439.02822229,5430.27902855,5379.21708645,5256.50272801,5041.23574253,4722.6424648,4302.2876897,5.0
66,30,33,2011,0.0,0.0,5367.65815565,5359.02376744,5308.63185205,5187.52773199,4975.08544578,4660.67269856,5.0
66,30,33,2012,0.0,0.0,0.0,5330.66263374,5322.08775635,5272.04315727,5151.77372339,4940.79565361,5.0
66,30,33,2013,0.0,0.0,0.0,0.0,5294.66272428,5286.14575616,5236.43912651,5116.981916,5.0
66,30,33,2014,0.0,0.0,0.0,0.0,0.0,5266.09238021,5257.6213702,5208.18296076,5.0
66,30,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,5277.7352095,5269.2454709,5.0
66,30,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5251.81597626,5.0
66,30,35,2008,333791.265092,307088.34865,280392.068647,253727.136108,227151.696478,200772.871366,174761.270002,149361.990326,2.0
66,30,35,2009,30006.9073558,30006.4750375,29999.0175694,29963.7919453,29863.2273969,29642.2886604,29229.6337268,28541.5584927,2.0
66,30,35,2010,0.0,31205.4567643,31205.0071783,31197.2518406,31160.6192187,31056.0378758,30826.2743048,30397.136922,2.0
66,30,35,2011,0.0,0.0,30795.9837044,30795.5400178,30787.8864444,30751.73451,30648.5254669,30421.7768171,2.0
66,30,35,2012,0.0,0.0,0.0,30583.7284794,30583.2878508,30575.6870281,30539.7842638,30437.2865686,2.0
66,30,35,2013,0.0,0.0,0.0,0.0,30377.1854036,30376.7477507,30369.1982592,30333.5379593,2.0
66,30,35,2014,0.0,0.0,0.0,0.0,0.0,30213.2681375,30212.8328462,30205.3240922,2.0
66,30,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,30280.0667992,30279.6305455,2.0
66,30,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30131.3598098,2.0
66,30,38,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,30,38,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,30,38,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,30,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,30,38,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,30,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,30,38,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,30,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
66,30,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
67,28,29,2008,11724035.1698,10346953.2693,8982820.33067,7649806.92036,6371383.75632,5173753.68488,4082722.731,3120310.6969,4.0
67,28,29,2009,1271481.032,1269435.73394,1257498.98932,1228812.06719,1178489.12756,1104011.61191,1005745.32216,887180.512943,4.0
67,28,29,2010,0.0,1311549.68885,1309439.93654,1297127.02484,1267536.08101,1215627.29578,1138802.74235,1037439.75029,4.0
67,28,29,2011,0.0,0.0,1300118.14268,1298026.7791,1285821.18747,1256488.16009,1205031.81497,1128876.86898,4.0
67,28,29,2012,0.0,0.0,0.0,1296250.62771,1294165.4854,1281996.20224,1252750.43303,1201447.15721,4.0
67,28,29,2013,0.0,0.0,0.0,0.0,1292731.22552,1290651.7445,1278515.50172,1249349.13661,4.0
67,28,29,2014,0.0,0.0,0.0,0.0,0.0,1289568.21534,1287493.82232,1275387.27408,4.0
67,28,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,1293150.66288,1291070.50715,4.0
67,28,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1288674.70812,4.0
67,28,31,2008,12933.9967826,11414.7951926,9909.87894291,8439.29386615,7028.93294084,5707.70323909,4504.07405829,3442.33772159,3.0
67,28,31,2009,1402.70234086,1400.44596085,1387.27730226,1355.62978899,1300.11334522,1217.94948834,1109.54177231,978.740658293,3.0
67,28,31,2010,0.0,1446.90622384,1444.57873769,1430.99509024,1398.35025706,1341.08430286,1256.33118565,1144.50717676,3.0
67,28,31,2011,0.0,0.0,1434.29490195,1431.98770231,1418.52245075,1386.1621519,1329.39533121,1245.38092728,3.0
67,28,31,2012,0.0,0.0,0.0,1430.02824585,1427.72790953,1414.30271361,1382.03867828,1325.44072418,3.0
67,28,31,2013,0.0,0.0,0.0,0.0,1426.14562899,1423.85153823,1410.46279256,1378.28635612,3.0
67,28,31,2014,0.0,0.0,0.0,0.0,0.0,1422.65618505,1420.36770739,1407.01172084,3.0
67,28,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,1426.60835376,1424.31351866,3.0
67,28,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1421.67046475,3.0
67,28,33,2008,870866.262722,768576.040047,667247.671708,568230.875017,473269.064777,384308.599431,303266.361366,231777.99075,5.0
