census region,housing types,technology,final_energy,vintage,2009,2010,2011,2012,2013,2014,2015,2016
66,28,29,4.0,2008,0.901500537415,0.798964801049,0.697317293976,0.597267957638,0.50048933152,0.408921979721,0.324446047309,0.249258773115
66,28,29,4.0,2009,0.0984994625845,0.098755428125,0.0983468525339,0.0966583345576,0.0932656536954,0.0879110455174,0.0805222162979,0.071400245471
66,28,29,4.0,2010,0.0,0.102279770826,0.102658081498,0.102280086988,0.100556750267,0.0970342353159,0.0913967901595,0.0836961220475
66,28,29,4.0,2011,0.0,0.0,0.101677771992,0.102100501278,0.101757661465,0.100050343974,0.0964754012511,0.0908499446304
66,28,29,4.0,2012,0.0,0.0,0.0,0.101693119538,0.102149141627,0.101813482448,0.100032474048,0.0964364322844
66,28,29,4.0,2013,0.0,0.0,0.0,0.0,0.101781461426,0.102245254771,0.101835214292,0.100031277874
66,28,29,4.0,2014,0.0,0.0,0.0,0.0,0.0,0.102023658253,0.10241406875,0.101980364059
66,28,29,4.0,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.102877787893,0.103248193874
66,28,29,4.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103098646644
66,28,29,9999.0,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,9999.0,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,9999.0,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,9999.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,9999.0,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,9999.0,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,9999.0,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,9999.0,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,9999.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,31,3.0,2008,0.901500537415,0.798964801049,0.697317293976,0.597267957638,0.50048933152,0.408921979721,0.324446047309,0.249258773115
66,28,31,3.0,2009,0.0984994625845,0.098755428125,0.0983468525339,0.0966583345576,0.0932656536954,0.0879110455174,0.0805222162979,0.071400245471
