vintage,census region,technology,final_energy,2009,2010,2011,2012,2013,2014,2015,2016
2008,66,31,3,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524
2008,67,31,3,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524
2008,68,31,3,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524
2008,69,31,3,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524
2009,66,31,3,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524
2009,67,31,3,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524
2009,68,31,3,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524
2009,69,31,3,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524,2.11011170524
2010,66,31,3,0.0,2.07103556255,2.07103556255,2.07103556255,2.07103556255,2.07103556255,2.07103556255,2.07103556255
2010,67,31,3,0.0,2.07103556255,2.07103556255,2.07103556255,2.07103556255,2.07103556255,2.07103556255,2.07103556255
2010,68,31,3,0.0,2.07103556255,2.07103556255,2.07103556255,2.07103556255,2.07103556255,2.07103556255,2.07103556255
2010,69,31,3,0.0,2.07103556255,2.07103556255,2.07103556255,2.07103556255,2.07103556255,2.07103556255,2.07103556255
2011,66,31,3,0.0,0.0,2.03195941986,2.03195941986,2.03195941986,2.03195941986,2.03195941986,2.03195941986
2011,67,31,3,0.0,0.0,2.03195941986,2.03195941986,2.03195941986,2.03195941986,2.03195941986,2.03195941986
2011,68,31,3,0.0,0.0,2.03195941986,2.03195941986,2.03195941986,2.03195941986,2.03195941986,2.03195941986
2011,69,31,3,0.0,0.0,2.03195941986,2.03195941986,2.03195941986,2.03195941986,2.03195941986,2.03195941986
2012,66,31,3,0.0,0.0,0.0,1.99288327717,1.99288327717,1.99288327717,1.99288327717,1.99288327717
2012,67,31,3,0.0,0.0,0.0,1.99288327717,1.99288327717,1.99288327717,1.99288327717,1.99288327717
2012,68,31,3,0.0,0.0,0.0,1.99288327717,1.99288327717,1.99288327717,1.99288327717,1.99288327717
2012,69,31,3,0.0,0.0,0.0,1.99288327717,1.99288327717,1.99288327717,1.99288327717,1.99288327717
2013,66,31,3,0.0,0.0,0.0,0.0,1.95380713448,1.95380713448,1.95380713448,1.95380713448
2013,67,31,3,0.0,0.0,0.0,0.0,1.95380713448,1.95380713448,1.95380713448,1.95380713448
2013,68,31,3,0.0,0.0,0.0,0.0,1.95380713448,1.95380713448,1.95380713448,1.95380713448
2013,69,31,3,0.0,0.0,0.0,0.0,1.95380713448,1.95380713448,1.95380713448,1.95380713448
2014,66,31,3,0.0,0.0,0.0,0.0,0.0,1.95380713448,1.95380713448,1.95380713448
2014,67,31,3,0.0,0.0,0.0,0.0,0.0,1.95380713448,1.95380713448,1.95380713448
2014,68,31,3,0.0,0.0,0.0,0.0,0.0,1.95380713448,1.95380713448,1.95380713448
2014,69,31,3,0.0,0.0,0.0,0.0,0.0,1.95380713448,1.95380713448,1.95380713448
2015,66,31,3,0.0,0.0,0.0,0.0,0.0,0.0,1.95380713448,1.95380713448
2015,67,31,3,0.0,0.0,0.0,0.0,0.0,0.0,1.95380713448,1.95380713448
2015,68,31,3,0.0,0.0,0.0,0.0,0.0,0.0,1.95380713448,1.95380713448
2015,69,31,3,0.0,0.0,0.0,0.0,0.0,0.0,1.95380713448,1.95380713448
2016,66,31,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95380713448
2016,67,31,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95380713448
2016,68,31,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95380713448
2016,69,31,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95380713448
