vintage,census region,technology,2009,2010,2011,2012,2013,2014,2015,2016
2008,66,35,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2008,67,35,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2008,68,35,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2008,69,35,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2009,66,35,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2009,67,35,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2009,68,35,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2009,69,35,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2010,66,35,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2010,67,35,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2010,68,35,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2010,69,35,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2011,66,35,0.0,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2011,67,35,0.0,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2011,68,35,0.0,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2011,69,35,0.0,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2012,66,35,0.0,0.0,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2012,67,35,0.0,0.0,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2012,68,35,0.0,0.0,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2012,69,35,0.0,0.0,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2013,66,35,0.0,0.0,0.0,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2013,67,35,0.0,0.0,0.0,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2013,68,35,0.0,0.0,0.0,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2013,69,35,0.0,0.0,0.0,0.0,40.4869776629,40.4869776629,40.4869776629,40.4869776629
2014,66,35,0.0,0.0,0.0,0.0,0.0,40.4869776629,40.4869776629,40.4869776629
2014,67,35,0.0,0.0,0.0,0.0,0.0,40.4869776629,40.4869776629,40.4869776629
2014,68,35,0.0,0.0,0.0,0.0,0.0,40.4869776629,40.4869776629,40.4869776629
2014,69,35,0.0,0.0,0.0,0.0,0.0,40.4869776629,40.4869776629,40.4869776629
2015,66,35,0.0,0.0,0.0,0.0,0.0,0.0,40.4869776629,40.4869776629
2015,67,35,0.0,0.0,0.0,0.0,0.0,0.0,40.4869776629,40.4869776629
2015,68,35,0.0,0.0,0.0,0.0,0.0,0.0,40.4869776629,40.4869776629
2015,69,35,0.0,0.0,0.0,0.0,0.0,0.0,40.4869776629,40.4869776629
2016,66,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4869776629
2016,67,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4869776629
2016,68,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4869776629
2016,69,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4869776629
