vintage,census region,technology,2009,2010,2011,2012,2013,2014,2015,2016
2008,66,29,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586
2008,67,29,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586
2008,68,29,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586
2008,69,29,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586
2009,66,29,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586
2009,67,29,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586
2009,68,29,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586
2009,69,29,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586,80.039854586
2010,66,29,0.0,80.4400538589,80.4400538589,80.4400538589,80.4400538589,80.4400538589,80.4400538589,80.4400538589
2010,67,29,0.0,80.4400538589,80.4400538589,80.4400538589,80.4400538589,80.4400538589,80.4400538589,80.4400538589
2010,68,29,0.0,80.4400538589,80.4400538589,80.4400538589,80.4400538589,80.4400538589,80.4400538589,80.4400538589
2010,69,29,0.0,80.4400538589,80.4400538589,80.4400538589,80.4400538589,80.4400538589,80.4400538589,80.4400538589
2011,66,29,0.0,0.0,80.8402531319,80.8402531319,80.8402531319,80.8402531319,80.8402531319,80.8402531319
2011,67,29,0.0,0.0,80.8402531319,80.8402531319,80.8402531319,80.8402531319,80.8402531319,80.8402531319
2011,68,29,0.0,0.0,80.8402531319,80.8402531319,80.8402531319,80.8402531319,80.8402531319,80.8402531319
2011,69,29,0.0,0.0,80.8402531319,80.8402531319,80.8402531319,80.8402531319,80.8402531319,80.8402531319
2012,66,29,0.0,0.0,0.0,81.2404524048,81.2404524048,81.2404524048,81.2404524048,81.2404524048
2012,67,29,0.0,0.0,0.0,81.2404524048,81.2404524048,81.2404524048,81.2404524048,81.2404524048
2012,68,29,0.0,0.0,0.0,81.2404524048,81.2404524048,81.2404524048,81.2404524048,81.2404524048
2012,69,29,0.0,0.0,0.0,81.2404524048,81.2404524048,81.2404524048,81.2404524048,81.2404524048
2013,66,29,0.0,0.0,0.0,0.0,81.6406516777,81.6406516777,81.6406516777,81.6406516777
2013,67,29,0.0,0.0,0.0,0.0,81.6406516777,81.6406516777,81.6406516777,81.6406516777
2013,68,29,0.0,0.0,0.0,0.0,81.6406516777,81.6406516777,81.6406516777,81.6406516777
2013,69,29,0.0,0.0,0.0,0.0,81.6406516777,81.6406516777,81.6406516777,81.6406516777
2014,66,29,0.0,0.0,0.0,0.0,0.0,81.6406516777,81.6406516777,81.6406516777
2014,67,29,0.0,0.0,0.0,0.0,0.0,81.6406516777,81.6406516777,81.6406516777
2014,68,29,0.0,0.0,0.0,0.0,0.0,81.6406516777,81.6406516777,81.6406516777
2014,69,29,0.0,0.0,0.0,0.0,0.0,81.6406516777,81.6406516777,81.6406516777
2015,66,29,0.0,0.0,0.0,0.0,0.0,0.0,81.6406516777,81.6406516777
2015,67,29,0.0,0.0,0.0,0.0,0.0,0.0,81.6406516777,81.6406516777
2015,68,29,0.0,0.0,0.0,0.0,0.0,0.0,81.6406516777,81.6406516777
2015,69,29,0.0,0.0,0.0,0.0,0.0,0.0,81.6406516777,81.6406516777
2016,66,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6406516777
2016,67,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6406516777
2016,68,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6406516777
2016,69,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6406516777
