vintage,census region,technology,2009,2010,2011,2012,2013,2014,2015,2016
2008,66,29,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2008,67,29,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2008,68,29,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2008,69,29,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2009,66,29,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2009,67,29,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2009,68,29,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2009,69,29,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2010,66,29,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2010,67,29,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2010,68,29,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2010,69,29,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2011,66,29,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2011,67,29,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2011,68,29,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2011,69,29,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2012,66,29,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2012,67,29,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2012,68,29,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2012,69,29,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2013,66,29,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2013,67,29,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2013,68,29,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2013,69,29,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2014,66,29,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026
2014,67,29,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026
2014,68,29,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026
2014,69,29,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026
2015,66,29,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026
2015,67,29,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026
2015,68,29,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026
2015,69,29,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026
2016,66,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026
2016,67,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026
2016,68,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026
2016,69,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026
