census division,housing types,vintage,value
56,28,2009,0.306706392
56,29,2009,0.623844395
56,30,2009,0.167616092
57,28,2009,0.588682596
57,29,2009,0.650523299
57,30,2009,0.15389743
58,28,2009,0.705224954
58,29,2009,0.656739822
58,30,2009,0.407407949
59,28,2009,0.610997933
59,29,2009,0.556704144
59,30,2009,0.3552004
60,28,2009,0.292814245
60,29,2009,0.225916665
60,30,2009,0.015499909
61,28,2009,0.323849859
61,29,2009,0.207235858
61,30,2009,0.051703112
62,28,2009,0.573513311
62,29,2009,0.270788468
62,30,2009,0.128617201
63,28,2009,0.64960338
63,29,2009,0.535812758
63,30,2009,0.400322453
64,28,2009,0.743333086
64,29,2009,0.65295419
64,30,2009,0.280472686
