vintage,census region,technology,2009,2010,2011,2012,2013,2014,2015,2016
2008,66,33,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2008,67,33,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2008,68,33,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2008,69,33,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2009,66,33,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2009,67,33,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2009,68,33,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2009,69,33,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2010,66,33,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2010,67,33,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2010,68,33,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2010,69,33,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2011,66,33,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2011,67,33,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2011,68,33,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2011,69,33,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2012,66,33,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2012,67,33,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2012,68,33,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2012,69,33,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2013,66,33,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2013,67,33,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2013,68,33,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2013,69,33,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026,76.8382604026
2014,66,33,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026
2014,67,33,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026
2014,68,33,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026
2014,69,33,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026,76.8382604026
2015,66,33,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026
2015,67,33,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026
2015,68,33,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026
2015,69,33,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026,76.8382604026
2016,66,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026
2016,67,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026
2016,68,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026
2016,69,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8382604026
