vintage,census region,technology,2009,2010,2011,2012,2013,2014,2015,2016
2008,66,38,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2008,67,38,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2008,68,38,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2008,69,38,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2009,66,38,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2009,67,38,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2009,68,38,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2009,69,38,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2010,66,38,0.0,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2010,67,38,0.0,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2010,68,38,0.0,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2010,69,38,0.0,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2011,66,38,0.0,0.0,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2011,67,38,0.0,0.0,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2011,68,38,0.0,0.0,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2011,69,38,0.0,0.0,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2012,66,38,0.0,0.0,0.0,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2012,67,38,0.0,0.0,0.0,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2012,68,38,0.0,0.0,0.0,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2012,69,38,0.0,0.0,0.0,463.427550145,463.427550145,463.427550145,463.427550145,463.427550145
2013,66,38,0.0,0.0,0.0,0.0,463.427550145,463.427550145,463.427550145,463.427550145
2013,67,38,0.0,0.0,0.0,0.0,463.427550145,463.427550145,463.427550145,463.427550145
2013,68,38,0.0,0.0,0.0,0.0,463.427550145,463.427550145,463.427550145,463.427550145
2013,69,38,0.0,0.0,0.0,0.0,463.427550145,463.427550145,463.427550145,463.427550145
2014,66,38,0.0,0.0,0.0,0.0,0.0,463.427550145,463.427550145,463.427550145
2014,67,38,0.0,0.0,0.0,0.0,0.0,463.427550145,463.427550145,463.427550145
2014,68,38,0.0,0.0,0.0,0.0,0.0,463.427550145,463.427550145,463.427550145
2014,69,38,0.0,0.0,0.0,0.0,0.0,463.427550145,463.427550145,463.427550145
2015,66,38,0.0,0.0,0.0,0.0,0.0,0.0,463.427550145,463.427550145
2015,67,38,0.0,0.0,0.0,0.0,0.0,0.0,463.427550145,463.427550145
2015,68,38,0.0,0.0,0.0,0.0,0.0,0.0,463.427550145,463.427550145
2015,69,38,0.0,0.0,0.0,0.0,0.0,0.0,463.427550145,463.427550145
2016,66,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.427550145
2016,67,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.427550145
2016,68,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.427550145
2016,69,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.427550145
