us,state,county,time zone,egrid,egrid with wecc detail,nerc,census division,census region,PADD,electricity interconnection,o&g producing region,SqMi,2015 Total Population (Esri),2015 Total Households (Esri),2015 Total Housing Units (Esri),2015 Owner Occupied Housing Units (Esri),2015 Renter Occupied Housing Units (Esri),2015 Vacant Housing Units (Esri),2015 Civilian Population Age 16+ in Labor Force (Esri),2015 Employed Civilian Population Age 16+ (Esri),2015 Industry: Agriculture/Forestry/Fishing/Hunting (Esri),2015 Industry: Mining/Quarrying/Oil & Gas Extraction (Esri),2015 Industry: Construction (Esri),2015 Industry: Manufacturing (Esri),2015 Industry: Wholesale Trade (Esri),2015 Industry: Retail Trade (Esri),2015 Industry: Transportation/Warehousing (Esri),2015 Industry: Utilities (Esri),2015 Industry: Information (Esri),2015 Industry: Finance/Insurance (Esri),2015 Industry: Real Estate/Rental/Leasing (Esri),2015 Industry: Professional/Scientific/Tech Services (Esri),2015 Industry: Management of Companies/Enterprises (Esri),2015 Industry: Admin/Support/Waste Management Services (Esri),2015 Industry: Educational Services (Esri),2015 Industry: Health Care/Social Assistance (Esri),2015 Industry: Arts/Entertainment/Recreation (Esri),2015 Industry: Accommodation/Food Services (Esri),2015 Industry: Other Services (excl Public Administration) (Esri),2015 Industry: Public Administration (Esri),2015 Unemployed Population Age 16+ (Esri),2015 Occupation: Management (Esri),2015 Occupation: Business/Financial (Esri),2015 Occupation: Computer/Mathematical (Esri),2015 Occupation: Architecture/Engineering (Esri),2015 Occupation: Life/Physical/Social Science (Esri),2015 Occupation: Community/Social Service (Esri),2015 Occupation: Legal (Esri),2015 Occupation: Education/Training/Library (Esri),2015 Occupation: Arts/Design/Entertainment/Sports/Media (Esri),2015 Occupation: Healthcare Practitioner/Technician (Esri),2015 Occupation: Healthcare Support (Esri),2015 Occupation: Protective Service (Esri),2015 Occupation: Food Preparation/Serving Related (Esri),2015 Occupation: Building/Grounds Cleaning/Maintenance (Esri),2015 Occupation: Personal Care/Service (Esri),2015 Occupation: Sales and Sales Related (Esri),2015 Occupation: Office/Administrative Support (Esri),2015 Occupation: Farming/Fishing/Forestry (Esri),2015 Occupation: Construction/Extraction (Esri),2015 Occupation: Installation/Maintenance/Repair (Esri),2015 Occupation: Production (Esri),2015 Occupation: Transportation/Material Moving (Esri),2015 Aggregate Disposable Income,2015 Aggregate Net Worth,2015 Aggregate Home Value,2020 Total Population (Esri),2020 Total Households (Esri),2020 Total Housing Units (Esri),2020 Owner Occupied Housing Units (Esri),2020 Renter Occupied Housing Units (Esri),2015 Total (SIC01-99) Businesses,2015 Total (SIC01-99) Sales,2015 Total (SIC01-99) Employees,2015 Televisions,2015 Entertainment/Recreation - Recreational Vehicles & Fees,2015 Vehicle Loans,2015 Major Appliances,2015 Small Appliances,2015 Home Improvement Services - Owners & Renters,2015 Home Improvement Materials - Owners & Renters,2015 Utilities/Fuel/Public Services,2015 Transportation - Vehicle Purchases (Net Outlay),2015 Transportation - Gasoline & Motor Oil,2015 Vehicle Maintenance & Repairs,2015 Travel,2015 Airline Fares,Urban Utility-scale PV (GWh),Rural Utility-scale PV (GWh),Sum Utility-scale PV (GWh),Rooftop PV (GWh),CSP (GWh),Onshore Wind (GWh),Offshore Wind (GWh),Biopower-Solid (GWh),Biopower-Solid (BDT),Biopower-Gaseous (GWh),Biopower-Gaseous (Tonnes-CH4),Geothermal Hydrothermal (GWh),EGS Geothermal (GWh),Hydropower (GWh),Hydropower (Count of Sites),2015 Capacity Biomass Power Plants,2015 Capacity Bulk Electricity Storage,2015 Capacity Coal Power Plants,2015 Capacity Combined Heat and Power,2015 Capacity Combined-Cycle Gas Turbines,2015 Capacity Combustion Turbines,2015 Capacity Dispatchable Hydroelectric Power Plants,2015 Capacity Fossil Steam Turbines,2015 Capacity Fuel Cell Power Plants,2015 Capacity Geothermal Power Plants,2015 Capacity Nuclear Power Plants,2015 Capacity Onshore Wind,2015 Capacity Run of River Hydroelectric Power Plants,2015 Capacity Solar Thermal Power Plants,2015 Capacity Transmission-Sited Solar PV
us,alabama,"autauga, alabama",US/Central,SRSO,SRSO,SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast,593.9845504,55734.0,20755.0,22878.0,15470.0,5286.0,2123.0,25876.0,24362.0,216.0,73.0,1507.0,3462.0,671.0,3055.0,961.0,269.0,210.0,1077.0,378.0,1042.0,0.0,691.0,1958.0,2759.0,369.0,1757.0,1130.0,2777.0,1514.0,2194.0,1085.0,544.0,306.0,106.0,421.0,253.0,1303.0,281.0,1357.0,354.0,940.0,1375.0,695.0,901.0,3005.0,3437.0,117.0,1291.0,1113.0,1902.0,1381.0,1105069501.0,9374081378.0,5017671594.0,56739.0,21163.0,23502.0,15759.0,5405.0,1843.0,3986886.0,14352.0,2720977.0,3971664.0,84083812.0,5228511.0,825396.0,32048565.0,6164092.0,96316347.0,79112374.0,68451792.0,20528971.0,34550836.0,7934279.0,407.033068336,42653.127458,43060.1605264,157.472858543,0.0,3.25636885514,0.0,128.793415532,117089.692175,17.6396235157,3753.30455036,0.0,6161.67123053,47.2115950977,28.0185800787,0.0,0.0,0.0,75.3,3971.5,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us,alabama,"barbour, alabama",US/Central,SRSO,SRSO,SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast,893.6040169,27566.0,9892.0,12084.0,6523.0,3368.0,2192.0,10205.0,8620.0,257.0,36.0,370.0,2357.0,73.0,1195.0,423.0,160.0,68.0,219.0,66.0,261.0,0.0,224.0,561.0,862.0,101.0,400.0,367.0,621.0,1584.0,663.0,201.0,103.0,239.0,17.0,128.0,48.0,446.0,53.0,542.0,249.0,348.0,268.0,344.0,137.0,960.0,1210.0,138.0,307.0,363.0,1119.0,737.0,369807384.0,2603804212.0,1704001092.0,27259.0,9792.0,12010.0,6465.0,3327.0,1074.0,2172119.0,10344.0,861091.0,1461017.0,26909272.0,1734818.0,284345.0,10048234.0,2244204.0,34541258.0,27138452.0,24497566.0,6686939.0,10193642.0,2079723.0,201.318289765,64168.3457999,64369.6640896,83.1760653304,0.0,4.89895618918,0.0,193.759776062,176152.425505,26.537455258,5646.55767661,0.0,9269.7598931,71.0262093435,42.1517961861,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us,alabama,"calhoun, alabama",US/Central,SRSO,SRSO,SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast,37.7401258,17097.0,6567.0,7213.0,4460.0,2107.0,646.0,7250.0,6467.0,11.0,11.0,242.0,1433.0,100.0,963.0,278.0,35.0,115.0,238.0,59.0,309.0,1.0,154.0,529.0,683.0,85.0,409.0,349.0,462.0,783.0,526.0,168.0,122.0,193.0,20.0,50.0,43.0,252.0,66.0,280.0,62.0,103.0,486.0,190.0,147.0,595.0,1132.0,6.0,265.0,413.0,856.0,494.0,331966756.0,2597768054.0,1006624641.0,17022.0,6534.0,7215.0,4438.0,2095.0,1034.0,3521520.0,13945.0,810854.0,1210770.0,24438908.0,1529164.0,256749.0,9339630.0,1936004.0,29298035.0,23629029.0,20669113.0,6135266.0,9994348.0,2251939.0,124.861742731,2710.06105284,2834.92279557,49.6482091384,0.0,0.206900617468,0.0,8.18317530502,7439.55328401,1.12077260275,238.474529011,0.0,391.495447519,2.99969340449,1.78022262733,0.0,0.0,0.0,0.0,0.0,38.688651251,4.28513542338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us,alabama,"calhoun, alabama",US/Central,SRTV,SRTV,SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast,578.765199,100421.0,40259.0,45912.0,27135.0,13124.0,5653.0,40463.0,35835.0,301.0,18.0,1685.0,6611.0,617.0,4018.0,1264.0,324.0,530.0,736.0,288.0,1180.0,36.0,1516.0,3346.0,4410.0,227.0,3287.0,1914.0,3529.0,4627.0,2654.0,784.0,435.0,429.0,66.0,604.0,260.0,2384.0,398.0,1968.0,626.0,970.0,2181.0,1830.0,1279.0,3710.0,4381.0,131.0,1749.0,2097.0,4150.0,2750.0,1717431828.0,14568863582.0,6103403544.0,99571.0,39859.0,45810.0,26845.0,13014.0,3810.0,11331249.0,44369.0,4171517.0,6071963.0,125348044.0,7854445.0,1319601.0,47061202.0,9737098.0,153678771.0,122308678.0,108200345.0,31353296.0,49976013.0,11075717.0,733.388376133,41560.2489738,42293.6373499,316.019489527,0.0,3.17293264142,0.0,125.49341009,114089.565035,17.187652789,3657.13561663,0.0,6003.79399348,46.0019174125,27.3006748475,0.0,0.0,0.0,0.0,0.0,593.311348749,65.7148645766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us,alabama,"chambers, alabama",US/Central,SRSO,SRSO,SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast,598.9982606,33234.0,13613.0,16850.0,9424.0,4189.0,3237.0,15411.0,13294.0,154.0,23.0,1148.0,3062.0,203.0,1706.0,382.0,186.0,329.0,390.0,57.0,615.0,0.0,779.0,1030.0,1600.0,85.0,541.0,553.0,453.0,2117.0,749.0,398.0,226.0,277.0,35.0,73.0,84.0,626.0,110.0,655.0,231.0,130.0,611.0,715.0,319.0,1372.0,2321.0,60.0,1067.0,701.0,1540.0,997.0,502995094.0,3080552727.0,1864233450.0,33451.0,13738.0,17047.0,9522.0,4216.0,1135.0,2506537.0,9157.0,1153271.0,2083762.0,36557821.0,2365337.0,391822.0,13601513.0,3202276.0,47346626.0,37379119.0,33794727.0,9076304.0,13564492.0,2671117.0,242.712473411,43013.1543645,43255.866838,115.981190071,0.0,3.28385524302,0.0,129.880536166,118078.023915,17.7885162104,3784.98547757,0.0,6213.68072114,47.6100991593,28.2550795645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198777235597,0.0,0.0
us,alabama,"chambers, alabama",US/Eastern,SRSO,SRSO,SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast,3.684696331,120.0,51.0,61.0,36.0,15.0,10.0,64.0,56.0,0.0,0.0,6.0,9.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,4.0,3.0,8.0,0.0,7.0,4.0,2.0,8.0,3.0,0.0,2.0,4.0,0.0,1.0,0.0,5.0,0.0,4.0,1.0,1.0,3.0,3.0,0.0,7.0,11.0,0.0,4.0,1.0,2.0,2.0,2246718.0,25777712.0,7872294.0,120.0,51.0,61.0,36.0,15.0,10.0,15910.0,71.0,5181.0,8942.0,158037.0,10387.0,1726.0,64306.0,13722.0,202125.0,159494.0,141138.0,40408.0,64926.0,13818.0,0.876376506268,264.592441242,265.468817748,0.419872557527,0.0,0.0202004081837,0.0,0.798951126504,726.348789485,0.109424825956,23.283076128,0.0,38.2230267785,0.292870228897,0.173809165821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00122276440328,0.0,0.0
us,alabama,"cherokee, alabama",US/Central,SRTV,SRTV,SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast,610.3149652,26577.0,10908.0,16889.0,8466.0,2443.0,5981.0,11659.0,10205.0,180.0,0.0,807.0,2610.0,190.0,1444.0,440.0,192.0,64.0,203.0,105.0,165.0,0.0,175.0,749.0,1137.0,68.0,548.0,675.0,453.0,1453.0,853.0,269.0,74.0,106.0,13.0,147.0,22.0,559.0,5.0,558.0,321.0,164.0,457.0,307.0,187.0,1280.0,960.0,56.0,718.0,598.0,1390.0,1162.0,432083335.0,3702110281.0,2139346519.0,27035.0,11095.0,17292.0,8616.0,2479.0,927.0,3006803.0,6936.0,969346.0,2059162.0,32068828.0,2105623.0,344924.0,12468213.0,3021129.0,40567330.0,33108881.0,29353827.0,7931167.0,12116220.0,2304151.0,194.095486726,43825.7897157,44019.8852024,116.249633181,0.0,3.34589619068,0.0,132.334332375,120308.8386,18.1245896124,3856.49413692,0.0,6331.07403231,48.5095832874,28.7888947855,0.0,0.0,0.0,0.0,0.0,0.0,74.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us,alabama,"chilton, alabama",US/Central,SRSO,SRSO,SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast,710.087465,45232.0,17112.0,20082.0,12886.0,4226.0,2970.0,19774.0,17821.0,423.0,121.0,2002.0,2433.0,474.0,2286.0,760.0,600.0,183.0,844.0,174.0,523.0,0.0,677.0,1375.0,1598.0,31.0,1045.0,1206.0,1065.0,1953.0,1387.0,647.0,295.0,234.0,57.0,197.0,69.0,769.0,59.0,870.0,255.0,392.0,698.0,944.0,445.0,2172.0,2148.0,151.0,1940.0,1087.0,1667.0,1339.0,745298270.0,5295400220.0,2567082060.0,46426.0,17529.0,20558.0,13187.0,4342.0,1389.0,2550813.0,11059.0,1751920.0,2809419.0,56195750.0,3509357.0,568903.0,20620699.0,4507923.0,68446343.0,54812739.0,48961703.0,13499633.0,20734858.0,4288538.0,330.335517763,50990.3012302,51320.636748,138.227552463,0.0,3.89287348281,0.0,153.967960753,139976.574539,21.0875443433,4486.94248317,0.0,7366.05943926,56.4397876324,33.4952188362,0.0,0.0,0.0,0.0,0.0,0.0,178.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us,alabama,"choctaw, alabama",US/Central,SRSO,SRSO,SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast,906.7713865,13741.0,5861.0,7264.0,4822.0,1039.0,1403.0,5017.0,4222.0,148.0,92.0,563.0,706.0,22.0,672.0,177.0,32.0,2.0,67.0,26.0,77.0,0.0,65.0,499.0,446.0,8.0,209.0,197.0,215.0,796.0,279.0,126.0,0.0,112.0,29.0,135.0,7.0,321.0,3.0,211.0,183.0,57.0,168.0,103.0,106.0,357.0,429.0,42.0,565.0,162.0,534.0,294.0,218119911.0,1425571296.0,633093920.0,13454.0,5790.0,7212.0,4767.0,1023.0,571.0,3422607.0,5822.0,480451.0,1059989.0,15902750.0,1054834.0,174984.0,5960794.0,1543862.0,21145347.0,16907730.0,15351804.0,3964460.0,5753242.0,1028921.0,100.352413105,65113.8745909,65214.227004,49.9992501291,0.0,4.97114293586,0.0,196.61485117,178748.054048,26.9284880589,5729.76042692,0.0,9406.35099196,72.0727896319,42.7729082997,0.0,0.0,0.0,72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us,alabama,"clarke, alabama",US/Central,SRSO,SRSO,SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast,1251.711182,25693.0,10404.0,12825.0,7900.0,2504.0,2421.0,8957.0,7845.0,165.0,15.0,608.0,1652.0,96.0,1196.0,229.0,113.0,31.0,340.0,78.0,137.0,0.0,101.0,763.0,1019.0,51.0,473.0,345.0,433.0,1112.0,510.0,181.0,8.0,138.0,73.0,121.0,21.0,587.0,74.0,425.0,333.0,172.0,427.0,231.0,195.0,754.0,956.0,58.0,587.0,260.0,1041.0,692.0,432491559.0,3084082615.0,1380483000.0,25414.0,10359.0,12821.0,7873.0,2486.0,1109.0,3906913.0,10611.0,960981.0,2055025.0,31580586.0,2092813.0,343803.0,11830118.0,3028835.0,42133562.0,33472523.0,30496867.0,7861763.0,11423031.0,2062063.0,187.63951313,89883.4768523,90071.1163654,88.2764844308,0.0,6.86218741877,0.0,271.407999216,246744.594441,37.1722025193,7909.38631648,0.0,12984.567989,99.4895935661,59.0439094159,0.0,0.0,0.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
