id,name,geography_id
1,eastern interconnection,1
2,texas interconnection,1
3,western interconnection,1
4,alabama,2
5,alaska,2
6,arizona,2
7,arkansas,2
8,california,2
9,colorado,2
10,connecticut,2
11,delaware,2
12,district of columbia,2
13,florida,2
14,georgia,2
15,hawaii,2
16,idaho,2
17,illinois,2
18,indiana,2
19,iowa,2
20,kansas,2
21,kentucky,2
22,louisiana,2
23,maine,2
24,maryland,2
25,massachusetts,2
26,michigan,2
27,minnesota,2
28,mississippi,2
29,missouri,2
30,montana,2
31,nebraska,2
32,nevada,2
33,new hampshire,2
34,new jersey,2
35,new mexico,2
36,new york,2
37,north carolina,2
38,north dakota,2
39,ohio,2
40,oklahoma,2
41,oregon,2
42,pennsylvania,2
43,puerto rico,2
44,rhode island,2
45,south carolina,2
46,south dakota,2
47,tennessee,2
48,texas,2
49,utah,2
50,vermont,2
51,virginia,2
52,washington,2
53,west virginia,2
54,wisconsin,2
55,wyoming,2
56,new england,3
57,middle atlantic,3
58,east north central,3
59,west north central,3
60,south atlantic,3
61,east south central,3
62,west south central,3
63,mountain,3
64,pacific,3
65,us,4
66,east,5
67,midwest,5
68,south,5
69,west,5
71,East,6
72,Gulf Coast,6
73,Mid Continent,6
74,Southwest,6
75,Rocky Mountains,6
76,West Coast,6
77,Alaska,6
167,America/Puerto_Rico,7
424,US/Alaska,7
425,US/Arizona,7
426,US/Central,7
427,US/Eastern,7
428,US/Hawaii,7
429,US/Mountain,7
430,US/Pacific,7
500,AK,8
501,BASN,8
502,CAL,8
503,DSW,8
504,ERCOT,8
505,FRCC,8
506,HI,8
507,ISO-NE,8
508,MAPP,8
509,MISO,8
510,NORW,8
511,NYISO,8
512,PJM,8
513,ROCK,8
514,SERC-E,8
515,SERC-N,8
516,SERC-SE,8
517,SERC-W,8
518,SPP,8
