us,census division,state,time zones,nerc region,electricity interconnection,census region,gas producing regions,households,area
us,new england,maine,US/Eastern,ISO-NE,eastern interconnection,east,East,557200,79880
us,south atlantic,north carolina,US/Eastern,SERC-E,eastern interconnection,south,East,3745000,125900
us,new england,new hampshire,US/Eastern,ISO-NE,eastern interconnection,east,East,519000,23190
us,east north central,missouri,US/Central,MISO,eastern interconnection,midwest,Mid Continent,2376000,178000
us,pacific,california,US/Pacific,CAL,western interconnection,west,West Coast,12580000,403500
us,east south central,kentucky,US/Eastern,SERC-N,eastern interconnection,south,East,1720000,102300
us,east south central,mississippi,US/Central,SERC-W,eastern interconnection,south,Gulf Coast,1116000,121500
us,west north central,south dakota,US/Central,MAPP,eastern interconnection,midwest,Rocky Mountains,295800,180200
us,south atlantic,south carolina,US/Eastern,SERC-E,eastern interconnection,south,East,1801000,77860
us,west north central,south dakota,US/Central,MAPP,western interconnection,midwest,Rocky Mountains,26500,16140
us,new england,vermont,US/Eastern,ISO-NE,eastern interconnection,east,East,256400,23870
us,mountain,idaho,US/Mountain,BASN,western interconnection,west,Rocky Mountains,579400,214000
us,mountain,montana,US/Mountain,NORW,eastern interconnection,west,Rocky Mountains,119800,110200
us,west north central,north dakota,US/Central,MAPP,eastern interconnection,midwest,Rocky Mountains,281200,178700
us,new england,massachusetts,US/Eastern,ISO-NE,eastern interconnection,east,East,2547000,20200
us,east north central,ohio,US/Eastern,PJM,eastern interconnection,midwest,Mid Continent,4603000,105800
us,west north central,kansas,US/Central,SPP,eastern interconnection,midwest,Mid Continent,1112000,211600
us,west north central,nebraska,US/Central,SPP,western interconnection,midwest,Mid Continent,1356,374
us,south atlantic,delaware,US/Eastern,PJM,eastern interconnection,south,East,342300,5047
us,mountain,montana,US/Mountain,NORW,western interconnection,west,Rocky Mountains,289800,266700
us,west south central,louisiana,US/Central,SERC-W,eastern interconnection,south,Gulf Coast,1728000,111900
us,mountain,wyoming,US/Mountain,SPP,eastern interconnection,west,Rocky Mountains,761,843
us,east north central,michigan,US/Eastern,MISO,eastern interconnection,midwest,East,3873000,146400
us,pacific,hawaii,US/Hawaii,HI,western interconnection,west,West Coast,455300,16640
us,east south central,alabama,US/Central,SERC-SE,eastern interconnection,south,Mid Continent,1884000,131200
us,west south central,texas,US/Central,ERCOT,texas interconnection,south,Southwest,7827000,593500
us,west south central,oklahoma,US/Central,SPP,eastern interconnection,south,Mid Continent,1460000,177600
us,mountain,new mexico,US/Mountain,SPP,eastern interconnection,west,Rocky Mountains,157300,62450
us,south atlantic,maryland,US/Eastern,PJM,eastern interconnection,south,East,2156000,25140
us,new england,connecticut,US/Eastern,ISO-NE,eastern interconnection,east,East,1371000,12540
us,pacific,oregon,US/Pacific,NORW,western interconnection,west,West Coast,1519000,248600
us,mountain,colorado,US/Mountain,SPP,eastern interconnection,west,Rocky Mountains,4271,581
us,middle atlantic,new jersey,US/Eastern,PJM,eastern interconnection,east,East,3214000,19050
us,west south central,texas,US/Central,SPP,eastern interconnection,south,Southwest,1096000,83130
us,new england,rhode island,US/Eastern,ISO-NE,eastern interconnection,east,East,413600,2678
us,mountain,new mexico,US/Mountain,DSW,western interconnection,west,Rocky Mountains,634100,251700
us,west north central,nebraska,US/Central,SPP,eastern interconnection,midwest,Mid Continent,719800,198600
us,west south central,oklahoma,US/Central,SPP,western interconnection,south,Mid Continent,334,41
us,east north central,wisconsin,US/Central,MISO,eastern interconnection,midwest,East,2280000,140300
us,south atlantic,georgia,US/Eastern,SERC-SE,eastern interconnection,south,East,3586000,149000
us,mountain,colorado,US/Mountain,ROCK,western interconnection,west,Rocky Mountains,1969000,267900
us,mountain,nevada,US/Pacific,DSW,western interconnection,west,Rocky Mountains,1006000,284300
us,mountain,wyoming,US/Mountain,ROCK,western interconnection,west,Rocky Mountains,226100,250600
us,east north central,illinois,US/Central,MISO,eastern interconnection,midwest,East,4837000,143800
us,pacific,washington,US/Pacific,NORW,western interconnection,west,West Coast,2620000,172100
us,east south central,tennessee,US/Central,SERC-N,eastern interconnection,south,East,2494000,106800
us,east north central,indiana,US/Eastern,MISO,eastern interconnection,midwest,East,2502000,92790
us,middle atlantic,new york,US/Eastern,NYISO,eastern interconnection,east,East,7318000,122100
us,west north central,iowa,US/Central,MISO,eastern interconnection,midwest,Mid Continent,1222000,144700
us,west south central,arkansas,US/Central,SERC-W,eastern interconnection,south,Mid Continent,1147000,134800
us,west north central,kansas,US/Central,SPP,western interconnection,midwest,Mid Continent,587,112
us,middle atlantic,pennsylvania,US/Eastern,PJM,eastern interconnection,east,East,5019000,115900
us,south atlantic,west virginia,US/Eastern,PJM,eastern interconnection,south,East,763800,62260
us,mountain,utah,US/Mountain,BASN,western interconnection,west,Rocky Mountains,877700,212800
us,pacific,puerto rico,America/Puerto_Rico,FRCC,western interconnection,west,West Coast,1377000,8868
us,south atlantic,virginia,US/Eastern,PJM,eastern interconnection,south,East,3056000,102300
us,mountain,arizona,US/Arizona,DSW,western interconnection,west,Rocky Mountains,2381000,294200
us,west north central,minnesota,US/Central,MISO,eastern interconnection,midwest,Mid Continent,2087000,206200
us,south atlantic,district of columbia,US/Eastern,PJM,eastern interconnection,south,East,266700,158
us,pacific,alaska,US/Alaska,AK,western interconnection,west,Alaska,258100,1478000
us,south atlantic,florida,US/Eastern,FRCC,eastern interconnection,south,Gulf Coast,7421000,138900
