us,state,county,time zone,egrid,egrid_agg,egrid with wecc detail,nerc,census division,census region,PADD,electricity interconnection,o&g producing region,IECC Climate Zone,IECC Climate Zone by state,electric utility territory,north america,CA building climate zone,CA forecast climate zone,gas utility territory,VISION Region,SqMi,pop_x_transit_share,Urban Utility-scale PV (GWh),Rural Utility-scale PV (GWh),Sum Utility-scale PV (GWh),Rooftop PV (GWh),CSP (GWh),Onshore Wind (GWh),Offshore Wind (GWh),Biopower-Solid (GWh),Biopower-Solid (BDT),Biopower-Gaseous (GWh),Biopower-Gaseous (Tonnes-CH4),Geothermal Hydrothermal (GWh),EGS Geothermal (GWh),Hydropower (GWh),Hydropower (Count of Sites),CDD_res_sq_ft,HDD_res_sq_ft,CDD_com_sq_ft,HDD_com_sq_ft,SEDS Industrial Data (Allocation),Rail Fuel Use,Aviation Fuel Use,Marine Fuel Use,BUSES VMT Share,HDV VMT Share,LDV VMT Share,MDV VMT Share,BOM VOS,Bulk Chemicals VOS,Computer and Electronic Products VOS,Electrical Equipment VOS,Fabricated Metal Products VOS,Food and Kindred Products VOS,Glass and Cement VOS,Iron and Steel and Aluminum Manufacturing VOS,Machinery VOS,Paper and Allied Products VOS,Plastic and Rubber Products VOS,Transportation Equipment VOS,Wood Products VOS,Military Fuel Sales - Diesel Fule,Steel Production Facility GHGs,Domestic Shipping Ton-Miles Allocation,2015 Capacity Biomass Power Plants,2015 Capacity Bulk Electricity Storage,2015 Capacity Coal Power Plants,2015 Capacity Combined Heat and Power,2015 Capacity Combined-Cycle Gas Turbines,2015 Capacity Combustion Turbines,2015 Capacity Dispatchable Hydroelectric Power Plants,2015 Capacity Fossil Steam Turbines,2015 Capacity Fuel Cell Power Plants,2015 Capacity Geothermal Power Plants,2015 Capacity Nuclear Power Plants,2015 Capacity Onshore Wind,2015 Capacity Run of River Hydroelectric Power Plants,2015 Capacity Solar Thermal Power Plants,2015 Capacity Transmission-Sited Solar PV,Households 2010 (complete count),Employment in construction (NAICS 23) 2007,Employment in manufacturing (NAICS 31-33) 2007,Employment in mining (NAICS 21) 2006,"Employment in farming (NAICS, no code) 2007",Cropland - harvested cropland (NAICS) 2007 (acres) (adjusted),"Farm earnings (NAICS, no code) 2007","Earnings in agriculture, forestry, fishing, and hunting (NAICS 11) 2007",Earnings in mining (NAICS 21) 2007,Earnings in utilities (NAICS 22) 2007,Earnings in construction (NAICS 23) 2007,Earnings in manufacturing (NAICS 31-33) 2007,Earnings in wholesale trade (NAICS 42) 2007,Earnings in retail trade (NAICS 44-45) 2007,Earnings in transportation and warehousing (NAICS 48-49) 2007,"Employment in all industries (NAICS, no code) 2007",Employment in utilities (NAICS 22) 2007,Employment in transportation and warehousing (NAICS 48-49) 2007,Total housing units 2010 (complete count),Vacant housing units 2010 (complete count),Owner-occupied housing units 2010 (complete count),Renter-occupied housing units 2010 (complete count),Resident population (April 1 - complete count) 2010,"Public supply water use: population served, total 2005",Irrigation water use: total withdrawals 2005,Thermoelectric power water use: total self-supplied withdrawals 2005
us,alabama,"autauga, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,593.9845504,0,407.0625056,42657.55479,43064.61729,157.4991272,0,3.256706861,0,128.8067841,117101.8459,17.64145448,3753.694138,0,6162.310803,47.21649559,28.02148836,70917326866,1.09048E+11,15142793458,23284776472,3950.16666,3.16E+11,70656396.25,2.33E+11,0.02732345,0.023740117,0.023121773,0.023459446,805117.4741,1203279.06,233927.1427,134738.6472,370413.5448,399069.8863,100255.9698,544200.059,331261.9567,244657.8301,301781.3895,1066906.962,289138.7396,11346.05537,10916.51234,71595136.15,0,0,0,75.3,3971.5,0,82,0,0,0,0,0,0,0,0,20221,1791,1731,55,419,18548,2367,5158,2600,10585,43959,119108,21382,59369,16200,18975,96,442,22135,1914,15248,4973,54571,42.96,2.78,4.14
us,alabama,"baldwin, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),2A,Alabama 2A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,1650.152143,0,1458.096522,118507.2161,119965.3126,772.3088596,0,9.047477417,0,357.8389213,325321.3604,49.0098335,10428.16084,0,17119.55365,131.1724376,77.84666965,3.01552E+11,2.22682E+11,93400552216,68972112237,7941.623221,1.08E+12,241780081.9,7.96E+11,0.098883838,0.085915721,0.083677927,0.084899968,2913728.142,2419135.633,470299.4553,270885.6769,744698.9106,802311.1297,201559.885,1094088.477,665986.4946,491872.9947,606717.2088,2144965.981,581299.7592,41061.48718,21947.13169,244992368.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73180,10237,5488,255,1274,82402,17098,9187,4388,21051,355949,239461,115789,369015,55435,91930,291,1584,104061,30881,53071,20109,182265,136.89,43.82,0
us,alabama,"barbour, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,893.6040169,0,201.3328494,64175.00638,64376.33923,83.18994027,0,4.899464693,0,193.779888,176170.7099,26.54020981,5647.143781,0,9270.72208,71.03358176,42.15617148,41193006667,40754377430,13154415498,13014345333,5156.229735,8.95E+11,199957601.4,6.58E+11,0.013269189,0.011529002,0.011228713,0.011392699,390992.2158,1570663.672,305349.6708,175876.9893,483508.0386,520913.7211,130866.0766,710354.9717,432402.7055,319356.6467,393921.1451,1392654.507,377418.4471,5510.027386,14249.53688,202614235.3,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9820,0,4084,130,526,22810,43583,0,8873,7847,0,155474,6360,27876,45846,14278,68,891,11829,2009,6556,3264,27457,26.45,3.59,0
us,alabama,"bibb, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,618.6163652,0,168.7658039,44426.51155,44595.27736,62.8123978,0,3.391758522,0,134.1482443,121957.9166,18.37302408,3909.355255,0,6417.854315,49.17450607,29.18350531,29779013483,45790604912,5351650748,8229128381,826.2954826,1.53E+11,34133145.5,1.12E+11,0.010746422,0.009337083,0.009093886,0.009226694,316655.9157,251701.7982,48932.85725,28184.61729,77483.06972,83477.40048,20971.53413,113835.7161,69293.34428,51177.5014,63126.60207,223175.4958,60482.01378,4462.44886,2283.515002,34586638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7953,1071,528,0,188,5372,1639,0,0,0,38025,24915,0,14600,7826,6706,0,211,8981,1028,6011,1942,22915,19.98,0.09,0
us,alabama,"blount, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,50.468766,0,55.84382815,3624.461527,3680.305355,20.54276579,0,0.276710861,0,10.94425678,9949.729594,1.49893198,318.938112,0,523.5897494,4.0118186,2.380886739,8077990825,15909701443,1663640743,3276560732,179.4347021,0.00030621,6.84E-08,0.000225063,0.002285571,0.00198583,0.001934107,0.001962352,67347.04054,54658.45831,10626.04462,6120.447847,16825.88351,18127.58608,4554.086352,24720.06471,15047.43866,11113.48169,13708.29598,48463.81163,13134.00879,949.0829297,495.8781004,6.93E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691.460626,217.9975902,140.6284347,0,109.2731538,2234.377314,656.3444166,0,0,0,3562.822176,5410.432101,1886.804026,3467.423734,0,1506.934798,0,0,1872.458985,180.9983588,1362.700506,328.7601198,4493.368524,3.387938097,0.059575034,0
us,alabama,"blount, alabama",US/Central,SRTV (SRCE),SR_agg,SRTV (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,593.3623797,0,365.8406163,42612.87302,42978.71363,145.5066681,0,3.253295615,0,128.6718651,116979.1873,17.62297589,3749.762321,0,6155.856074,47.16703855,27.99213718,57217296945,1.1269E+11,11783750251,23208239824,2109.617696,0.003600113,8.04E-07,0.002646076,0.026871514,0.02334745,0.022739333,0.023071421,791800.6206,642620.6834,124930.6377,71958.23847,197822.2785,213126.4239,53542.49231,290634.3386,176913.0636,130661.446,161168.734,569790.0876,154416.827,11158.38865,5830.049613,8.15E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19886.53937,2563.00241,1653.371565,0,1284.726846,26269.62269,7716.655583,0,0,0,41888.17782,63610.5679,22183.19597,40766.57627,0,17717.0652,0,0,22014.54102,2128.001641,16021.29949,3865.23988,52828.63148,39.8320619,0.700424966,0
us,alabama,"bullock, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,629.5367949,0,79.46388311,45210.7724,45290.23629,30.94495047,0,3.451633208,0,136.5163622,124110.8387,18.69736293,3978.367072,0,6531.148646,50.04258323,29.69868149,16229953448,17912835122,4003479781,4418600057,3.32E-12,0.001953162,4.36E-07,0.00143557,0.005060399,0.004396753,0.004282233,0.004344772,149110.5752,1.01E-09,1.96E-10,1.13E-10,3.11E-10,3.35E-10,8.42E-11,4.57E-10,2.78E-10,2.05E-10,2.53E-10,8.96E-10,2.43E-10,2101.329181,9.17E-12,4.42E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3745,0,0,0,540,10231,22154,3992,0,0,0,0,601,0,0,4384,0,0,4493,748,2576,1169,10914,10.31,3.12,0
us,alabama,"butler, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,774.0490021,0,151.9454618,55589.05142,55740.99688,69.70358699,0,4.243966774,0,167.8541346,152600.8832,22.98940305,4891.614099,0,8030.394939,61.53002005,36.51610987,31426226856,31091595737,9356789732,9257157248,1959.628636,1.99E+11,44391407.47,1.46E+11,0.01147339,0.009968713,0.009709064,0.009850856,338076.8742,596931.8022,116048.3512,66842.17002,183757.5607,197973.6159,49735.74187,269970.8927,164334.9439,121371.7119,149710.0005,529279.2975,143438.1389,4764.322051,5415.546235,44981191.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8491,632,1382,10,522,14626,35554,12037,0,5800,15571,59088,14800,26671,10178,10156,70,307,9964,1473,5967,2524,20947,17.45,0.54,0
us,alabama,"calhoun, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,37.7401258,0,124.8707729,2710.342353,2835.213126,49.65649116,0,0.206922093,0,8.184024706,7440.325498,1.120888937,238.4992823,0,391.5360842,3.000004768,1.780407412,18819145838,34082445939,6496767059,11765980983,886.8140729,74071626604,16492542.5,54298787436,0.00391512,0.003401672,0.003313071,0.003361455,115363.604,270136.654,52516.74171,30248.88285,83157.99628,89591.35696,22507.50729,122173.1416,74368.44832,54925.78553,67750.04858,239521.0607,64911.76838,1625.752616,2450.761601,16711662.19,0,0,0,0,0,38.68865125,4.285135423,0,0,0,0,0,0,0,0,2897.424925,219.3377175,465.5493556,0,48.23838162,1075.385343,770.2224842,0,0,1730.88863,5262.513597,26739.79599,9808.797417,11190.32508,3781.387146,4080.489599,17.93635256,95.4360875,3262.151165,364.7262407,1992.710404,904.7145203,7258.529677,6.506672059,0.262005423,0
us,alabama,"calhoun, alabama",US/Central,SRTV (SRCE),SR_agg,SRTV (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,578.765199,0,733.4414159,41564.56286,42298.00428,316.072206,0,3.173261987,0,125.5064361,114101.4074,17.18943684,3657.515222,0,6004.417178,46.00669234,27.30350862,1.19787E+11,2.16941E+11,41353052710,74892516139,13599.77246,1.13593E+12,252922041,8.32701E+11,0.060040482,0.052166475,0.050807727,0.051549728,1769163.134,4142691.392,805372.5796,463882.945,1275272.757,1373931.815,345164.7725,1873591.068,1140480.295,842316.5668,1038983.562,3673184.745,995457.0036,24931.79384,37583.75193,256282359.7,0,0,0,0,0,593.3113487,65.71486458,0,0,0,0,0,0,0,0,44433.57508,3363.662283,7139.450644,0,739.7616184,16491.61466,11811.77752,0,0,26544.11137,80703.4864,410069.204,150423.2026,171609.6749,57989.61285,62576.5104,275.0636474,1463.563912,50026.84883,5593.273759,30559.2896,13874.28548,111313.4703,99.78332794,4.017994577,0
