intersection_id,geography_map_key_id,value,id
1,1,64.0,1
1,2,2110,2
1,3,1e-07,3
1,4,586,4
1,5,821.4,5
1,6,75.0,6
1,7,0.0,7
1,8,0,8
1,9,16531.6,9
1,10,7167.0,10
1,11,3837.0,11
1,12,4783,12
2,1,80.0,13
2,2,1256,14
2,3,712.0,15
2,4,3105,16
2,5,2016.4,17
2,6,0.0,18
2,7,0.0,19
2,8,0,20
2,9,13498.8,21
2,10,2307.0,22
2,11,983.0,23
2,12,3410,24
3,1,29.0,25
3,2,701,26
3,3,1e-07,27
3,4,1039,28
3,5,417.0,29
3,6,437.0,30
3,7,0.0,31
3,8,0,32
3,9,610.0,33
3,10,25456.0,34
3,11,1310.0,35
3,12,70,36
4,1,16.7,37
4,2,339,38
4,3,1e-07,39
4,4,34,40
4,5,0.0,41
4,6,0.0,42
4,7,0.0,43
4,8,0,44
4,9,2152.0,45
4,10,604.0,46
4,11,606.0,47
4,12,39,48
5,1,4.0,49
5,2,147,50
5,3,1e-07,51
5,4,61,52
5,5,0.0,53
5,6,0.0,54
5,7,0.0,55
5,8,0,56
5,9,0.0,57
5,10,0.0,58
5,11,4790.0,59
5,12,19,60
6,1,58.0,61
6,2,278,62
6,3,1e-07,63
6,4,2067,64
6,5,370.0,65
6,6,2533.0,66
6,7,5.0,67
6,8,0,68
6,9,2453.0,69
6,10,42206.0,70
6,11,236.0,71
6,12,1182,72
7,1,31.0,73
7,2,3622,74
7,3,1271.0,75
7,4,610,76
7,5,1256.0,77
7,6,2260.0,78
7,7,24.0,79
7,8,0,80
7,9,5814.0,81
7,10,12271.0,82
7,11,6843.0,83
7,12,2233,84
8,1,7.0,85
8,2,334,86
8,3,1e-07,87
8,4,0,88
8,5,0.0,89
8,6,0.0,90
8,7,0.0,91
8,8,0,92
8,9,225.0,93
8,10,2976.0,94
8,11,10.0,95
8,12,5608,96
9,1,81.0,97
9,2,627,98
9,3,1e-07,99
9,4,5,100
9,5,1288.2,101
9,6,724.0,102
9,7,0.0,103
9,8,0,104
9,9,1684.6,105
9,10,16621.0,106
9,11,9412.0,107
9,12,14053,108
10,1,430.0,109
10,2,9262,110
10,3,1e-07,111
10,4,5296,112
10,5,3022.2,113
10,6,0.0,114
10,7,200.0,115
10,8,0,116
10,9,20364.2,117
10,10,55689.0,118
10,11,63157.0,119
10,12,5065,120
11,1,520.0,121
11,2,38116,122
11,3,1037.0,123
11,4,38236,124
11,5,10663.4,125
11,6,10917.8,126
11,7,243.0,127
11,8,3878,128
11,9,64866.15,129
11,10,179776.2,130
11,11,40730.0,131
11,12,9766,132
12,1,51.0,133
12,2,1978,134
12,3,1e-07,135
12,4,2596,136
12,5,0.0,137
12,6,1224.0,138
12,7,477.0,139
12,8,0,140
12,9,13379.0,141
12,10,14579.0,142
12,11,10964.0,143
12,12,218,144
13,1,37.0,145
13,2,329,146
13,3,1e-07,147
13,4,6,148
13,5,863.0,149
13,6,155.0,150
13,7,0.0,151
13,8,0,152
13,9,16210.0,153
