Table,Column
AgeGrowthOrDecayType,id
AgeGrowthOrDecayType,name
BlendMeasuresData,blend_node_id
BlendMeasuresData,gau_id
BlendMeasuresData,id
BlendMeasuresData,name
BlendMeasuresData,value
BlendMeasuresData,year
BlendNodeBlendMeasurePackages,blend_node_id
BlendNodeBlendMeasurePackages,id
BlendNodeBlendMeasurePackages,name
BlendNodeBlendMeasurePackagesData,id
BlendNodeBlendMeasurePackagesData,measure_id
BlendNodeBlendMeasurePackagesData,package_id
BlendNodeBlendMeasures,blend_node_id
BlendNodeBlendMeasures,extrapolation_growth
BlendNodeBlendMeasures,extrapolation_method_id
BlendNodeBlendMeasures,geography_id
BlendNodeBlendMeasures,id
BlendNodeBlendMeasures,interpolation_method_id
BlendNodeBlendMeasures,name
BlendNodeBlendMeasures,other_index_1_id
BlendNodeBlendMeasures,supply_node_id
BlendNodeBlendMeasuresData,demand_sector_id
BlendNodeBlendMeasuresData,gau_id
BlendNodeBlendMeasuresData,id
BlendNodeBlendMeasuresData,parent_id
BlendNodeBlendMeasuresData,value
BlendNodeBlendMeasuresData,year
BlendNodeInputsData,blend_node_id
BlendNodeInputsData,id
BlendNodeInputsData,supply_node_id
CapitalCostOutputs,capacity_or_energy_unit
CapitalCostOutputs,Currency
CapitalCostOutputs,currency_year_id
CapitalCostOutputs,Geography
CapitalCostOutputs,Geography Unit
CapitalCostOutputs,is_levelized
CapitalCostOutputs,name
CapitalCostOutputs,time_unit
CapitalCostOutputs,value
CapitalCostOutputs,vintage
CleaningMethods,id
CleaningMethods,name
Currencies,id
Currencies,name
CurrenciesConversion,currency_id
CurrenciesConversion,currency_year_id
CurrenciesConversion,id
CurrenciesConversion,value
CurrencyYears,id
DayType,id
DayType,name
Definitions,id
Definitions,name
Demand Technologies - Auxiliary Efficiency,denominator_unit
Demand Technologies - Auxiliary Efficiency,Final Energy
Demand Technologies - Auxiliary Efficiency,Geography
Demand Technologies - Auxiliary Efficiency,Geography Unit
Demand Technologies - Auxiliary Efficiency,is_numerator_service
Demand Technologies - Auxiliary Efficiency,name
Demand Technologies - Auxiliary Efficiency,numerator_unit
Demand Technologies - Auxiliary Efficiency,Other Index
Demand Technologies - Auxiliary Efficiency,Sector
Demand Technologies - Auxiliary Efficiency,Subsector
Demand Technologies - Auxiliary Efficiency,time_unit
Demand Technologies - Auxiliary Efficiency,unit
Demand Technologies - Auxiliary Efficiency,value
Demand Technologies - Auxiliary Efficiency,vintage
Demand Technologies - Capital Costs,Currency
Demand Technologies - Capital Costs,currency_year_id
Demand Technologies - Capital Costs,Geography
Demand Technologies - Capital Costs,Geography Unit
Demand Technologies - Capital Costs,is_levelized
Demand Technologies - Capital Costs,name
Demand Technologies - Capital Costs,Other Index
Demand Technologies - Capital Costs,Sector
Demand Technologies - Capital Costs,Subsector
Demand Technologies - Capital Costs,time_unit
Demand Technologies - Capital Costs,unit
Demand Technologies - Capital Costs,value
Demand Technologies - Capital Costs,vintage
Demand Technologies - Fixed OM,Currency
Demand Technologies - Fixed OM,currency_year_id
Demand Technologies - Fixed OM,Geography
Demand Technologies - Fixed OM,Geography Unit
Demand Technologies - Fixed OM,name
Demand Technologies - Fixed OM,Other Index
Demand Technologies - Fixed OM,Sector
Demand Technologies - Fixed OM,Subsector
Demand Technologies - Fixed OM,time_unit
Demand Technologies - Fixed OM,unit
Demand Technologies - Fixed OM,value
Demand Technologies - Fixed OM,vintage
Demand Technologies - Fuel Switching Costs,Currency
Demand Technologies - Fuel Switching Costs,currency_year_id
Demand Technologies - Fuel Switching Costs,Geography
Demand Technologies - Fuel Switching Costs,Geography Unit
Demand Technologies - Fuel Switching Costs,is_levelized
Demand Technologies - Fuel Switching Costs,name
Demand Technologies - Fuel Switching Costs,Other Index
Demand Technologies - Fuel Switching Costs,Sector
Demand Technologies - Fuel Switching Costs,Subsector
Demand Technologies - Fuel Switching Costs,time_unit
Demand Technologies - Fuel Switching Costs,unit
Demand Technologies - Fuel Switching Costs,value
Demand Technologies - Fuel Switching Costs,vintage
Demand Technologies - Main Efficiency,denominator_unit
