Constraint Name,Child Column,Parent Column,Delete Rule
BlendNodeBlendMeasurePackages_blend_node_id_fkey,BlendNodeBlendMeasurePackages.blend_node_id,SupplyNodes.id,Restrict delete 
BlendNodeBlendMeasurePackagesData_measure_id_fkey,BlendNodeBlendMeasurePackagesData.measure_id,BlendNodeBlendMeasures.id,Restrict delete 
BlendNodeBlendMeasurePackagesData_package_id_fkey,BlendNodeBlendMeasurePackagesData.package_id,BlendNodeBlendMeasurePackages.id,Cascade on delete 
BlendNodeBlendMeasures_blend_node_id_fkey,BlendNodeBlendMeasures.blend_node_id,SupplyNodes.id,Restrict delete 
BlendNodeBlendMeasures_extrapolation_method_id_fkey,BlendNodeBlendMeasures.extrapolation_method_id,CleaningMethods.id,Restrict delete 
BlendNodeBlendMeasures_geography_id_fkey,BlendNodeBlendMeasures.geography_id,Geographies.id,Restrict delete 
BlendNodeBlendMeasures_interpolation_method_id_fkey,BlendNodeBlendMeasures.interpolation_method_id,CleaningMethods.id,Restrict delete 
BlendNodeBlendMeasures_other_index_1_id_fkey,BlendNodeBlendMeasures.other_index_1_id,OtherIndexes.id,Restrict delete 
BlendNodeBlendMeasures_supply_node_id_fkey,BlendNodeBlendMeasures.supply_node_id,SupplyNodes.id,Restrict delete 
BlendNodeBlendMeasuresData_demand_sector_id_fkey,BlendNodeBlendMeasuresData.demand_sector_id,DemandSectors.id,Restrict delete 
BlendNodeBlendMeasuresData_gau_id_fkey,BlendNodeBlendMeasuresData.gau_id,GeographiesData.id,Restrict delete 
BlendNodeBlendMeasuresData_parent_id_fkey,BlendNodeBlendMeasuresData.parent_id,BlendNodeBlendMeasures.id,Cascade on delete 
BlendNodeInputsData_blend_node_id_fkey,BlendNodeInputsData.blend_node_id,SupplyNodes.id,Restrict delete 
BlendNodeInputsData_supply_node_id_fkey,BlendNodeInputsData.supply_node_id,SupplyNodes.id,Restrict delete 
CurrenciesConversion_currency_id_fkey,CurrenciesConversion.currency_id,Currencies.id,Cascade on delete 
CurrenciesConversion_currency_year_id_fkey,CurrenciesConversion.currency_year_id,CurrencyYears.id,Restrict delete 
DemandCasesData_demand_case_id_fkey,DemandCasesData.demand_case_id,DemandCases.id,Cascade on delete 
DemandCasesData_demand_state_id_fkey,DemandCasesData.demand_state_id,DemandStates.id,Restrict delete 
DemandCO2CaptureMeasures_extrapolation_method_id_fkey,DemandCO2CaptureMeasures.extrapolation_method_id,CleaningMethods.id,Restrict delete 
DemandCO2CaptureMeasures_geography_id_fkey,DemandCO2CaptureMeasures.geography_id,Geographies.id,Restrict delete 
DemandCO2CaptureMeasures_input_type_id_fkey,DemandCO2CaptureMeasures.input_type_id,InputTypes.id,Restrict delete 
DemandCO2CaptureMeasures_interpolation_method_id_fkey,DemandCO2CaptureMeasures.interpolation_method_id,CleaningMethods.id,Restrict delete 
DemandCO2CaptureMeasures_other_index_1_id_fkey,DemandCO2CaptureMeasures.other_index_1_id,OtherIndexes.id,Restrict delete 
DemandCO2CaptureMeasures_other_index_2_id_fkey,DemandCO2CaptureMeasures.other_index_2_id,OtherIndexes.id,Restrict delete 
DemandCO2CaptureMeasures_stock_decay_function_id_fkey,DemandCO2CaptureMeasures.stock_decay_function_id,StockDecayFunctions.id,Restrict delete 
DemandCO2CaptureMeasures_subsector_id_fkey,DemandCO2CaptureMeasures.subsector_id,DemandSubsectors.id,Restrict delete 
DemandDrivers_base_driver_id_fkey,DemandDrivers.base_driver_id,DemandDrivers.id,Restrict delete 
