Table,Children,Parents,Columns,Rows
AgeGrowthOrDecayType,6,,2,2
BlendNodeBlendMeasurePackages,1,1,3,37
BlendNodeBlendMeasurePackagesData,,2,3,77
BlendNodeBlendMeasures,2,6,9,73
BlendNodeBlendMeasuresData,,3,6,638
BlendNodeInputsData,,2,3,54
CleaningMethods,60,,2,9
Currencies,11,,2,42
CurrenciesConversion,,2,4,756
CurrencyYears,10,,1,18
DayType,,,2,2
Definitions,8,,2,2
DemandCases,2,,2,19
DemandCasesData,,2,2,542
DemandCO2CaptureMeasures,,8,16,0
DemandDrivers,14,8,14,36
DemandDriversData,,4,7,"15,995"
DemandEnergyDemands,,12,17,47
DemandEnergyDemandsData,,5,9,"94,945"
DemandEnergyEfficiencyMeasurePackages,2,1,3,70
DemandEnergyEfficiencyMeasurePackagesData,,2,3,73
DemandEnergyEfficiencyMeasures,4,8,16,71
DemandEnergyEfficiencyMeasuresCost,,8,12,54
DemandEnergyEfficiencyMeasuresCostData,,5,8,"1,397"
DemandEnergyEfficiencyMeasuresData,,5,8,262
DemandFlexibleLoadMeasurePackages,2,1,3,9
DemandFlexibleLoadMeasurePackagesData,,2,3,9
DemandFlexibleLoadMeasures,2,5,7,9
DemandFlexibleLoadMeasuresData,,1,6,18
DemandFuelSwitchingMeasurePackages,2,1,3,20
DemandFuelSwitchingMeasurePackagesData,,2,3,31
DemandFuelSwitchingMeasures,7,4,10,28
DemandFuelSwitchingMeasuresCost,,8,12,5
DemandFuelSwitchingMeasuresCostData,,4,7,5
DemandFuelSwitchingMeasuresEnergyIntensity,,6,8,28
DemandFuelSwitchingMeasuresEnergyIntensityData,,4,7,28
DemandFuelSwitchingMeasuresImpact,,7,10,28
DemandFuelSwitchingMeasuresImpactData,,4,7,56
DemandSales,1,7,8,10
DemandSalesData,,5,8,"3,314"
DemandSalesMeasurePackages,2,1,3,138
DemandSalesMeasurePackagesData,,2,3,432
DemandSalesMeasures,2,8,11,412
DemandSalesMeasuresData,,3,6,955
DemandSectors,4,,5,4
DemandServiceDemandMeasurePackages,2,1,3,13
DemandServiceDemandMeasurePackagesData,,2,3,13
DemandServiceDemandMeasures,4,8,16,13
DemandServiceDemandMeasuresCost,,8,12,0
DemandServiceDemandMeasuresCostData,,4,7,0
DemandServiceDemandMeasuresData,,4,7,41
DemandServiceDemands,1,12,17,17
DemandServiceDemandsData,,6,9,649
DemandServiceEfficiency,,7,10,3
DemandServiceEfficiencyData,,5,8,323
DemandServiceLink,1,2,5,6
DemandStates,1,7,9,240
DemandStock,1,13,17,24
DemandStockData,,5,8,"1,878"
DemandStockMeasurePackages,2,1,3,1
DemandStockMeasurePackagesData,,2,3,1
DemandStockMeasures,2,6,9,1
DemandStockMeasuresData,,3,6,54
DemandStockUnitTypes,1,,2,3
DemandSubsectors,24,2,8,63
DemandTechEfficiencyTypes,2,,2,2
DemandTechs,25,5,19,233
DemandTechsAuxEfficiency,,10,17,6
DemandTechsAuxEfficiencyData,,4,7,101
DemandTechsCapitalCost,1,9,12,231
DemandTechsCapitalCostNewData,,4,7,"1,346"
DemandTechsCapitalCostReplacementData,,4,7,0
DemandTechsFixedMaintenanceCost,2,11,14,176
DemandTechsFixedMaintenanceCostData,,4,7,352
DemandTechsFuelSwitchCost,1,10,12,11
DemandTechsFuelSwitchCostData,,4,7,21
DemandTechsInstallationCost,,9,12,126
DemandTechsInstallationCostNewData,,4,7,251
DemandTechsInstallationCostReplacementData,,4,7,0
DemandTechsMainEfficiency,1,11,18,225
DemandTechsMainEfficiencyData,,4,7,"1,784"
DemandTechsParasiticEnergy,,8,13,6
DemandTechsParasiticEnergyData,,5,8,21
DemandTechsServiceDemandModifier,,7,9,19
DemandTechsServiceDemandModifierData,,4,7,19
DemandTechsServiceLink,1,9,13,40
DemandTechsServiceLinkData,,4,7,740
DemandTechUnitTypes,1,,2,2
DispatchConfig,,4,8,1
DispatchConstraintTypes,,,2,3
DispatchFeeders,,,2,3
DispatchFeedersAllocation,,2,6,1
DispatchFeedersAllocationData,,,7,6
DispatchNodeConfig,,3,4,6
DispatchWindows,1,,2,4
EfficiencyTypes,,,2,3
FinalEnergy,10,1,3,27
FlexibleLoadShiftTypes,,,2,3
Geographies,32,,2,13
GeographiesData,30,1,3,"3,309"
GeographyIntersection,2,,1,"3,753"
GeographyIntersectionData,,2,3,"48,789"
GeographyMap,,2,4,"303,993"
GeographyMapKeys,6,,2,81
GreenhouseGasEmissionsType,,,2,2
GreenhouseGases,,,3,3
IDMap,,,2,30
ImportCost,1,6,10,13
ImportCostData,,3,6,"3,331"
IndexLevels,,,3,26
InflationConversion,,2,4,18
InputTypes,10,,2,2
OtherIndexes,53,,2,28
OtherIndexesData,51,1,3,163
OtherIndexesData_copy,,1,3,163
PrimaryCost,,7,9,11
PrimaryCostData,,4,8,883
Scenarios,,1,6,25
Shapes,3,,12,35
ShapesData,,,14,"784,032"
ShapesTypes,,,2,2
ShapesUnits,,,2,2
StockDecayFunctions,5,,2,3
StorageTechsCapacityCapitalCost,,,12,2
StorageTechsCapacityCapitalCostNewData,,,7,2
StorageTechsCapacityCapitalCostReplacementData,,,7,0
StorageTechsEnergyCapitalCost,,,11,1
StorageTechsEnergyCapitalCostNewData,,,7,9
StorageTechsEnergyCapitalCostReplacementData,,,7,0
SupplyCapacityFactor,,,8,2
SupplyCapacityFactorData,,,7,5
SupplyCases,1,,2,12
SupplyCasesData,,1,2,231
SupplyCost,,,18,11
SupplyCostData,,,7,"5,114"
SupplyCostTypes,,,2,3
SupplyEfficiency,,,9,29
SupplyEfficiencyData,,,9,"1,200"
SupplyEmissions,,,10,27
SupplyEmissionsData,,,9,57
SupplyExport,,,7,10
SupplyExportData,,,7,592
SupplyExportMeasurePackages,1,,3,5
SupplyExportMeasurePackagesData,,1,3,5
SupplyExportMeasures,1,,8,5
SupplyExportMeasuresData,,1,6,51
SupplyNodes,13,,22,108
SupplyPotential,,1,9,14
SupplyPotentialConversion,,,8,7
SupplyPotentialConversionData,,,7,33
SupplyPotentialData,,,8,"5,846"
SupplySales,,,8,17
SupplySalesData,,,8,"6,571"
SupplySalesMeasurePackages,1,,3,0
SupplySalesMeasurePackagesData,,1,3,0
SupplySalesMeasures,1,,10,0
SupplySalesMeasuresData,,1,8,0
SupplySalesShare,,,5,17
SupplySalesShareData,,,7,18
SupplySalesShareMeasurePackages,1,,3,8
SupplySalesShareMeasurePackagesData,,1,3,21
SupplySalesShareMeasures,1,,12,17
SupplySalesShareMeasuresData,,1,8,28
SupplyStates,,,8,89
SupplyStock,,,8,23
SupplyStockData,,,8,"26,338"
SupplyStockMeasurePackages,1,,3,44
SupplyStockMeasurePackagesData,,2,3,56
SupplyStockMeasures,2,,12,54
SupplyStockMeasuresData,,1,8,"18,084"
SupplyTechs,,,16,114
SupplyTechsCapacityFactor,,,9,53
SupplyTechsCapacityFactorData,,,7,393
SupplyTechsCapitalCost,,,15,105
SupplyTechsCapitalCostNewData,,,7,945
SupplyTechsCapitalCostReplacementData,,,7,1
SupplyTechsCO2Capture,,,9,28
SupplyTechsCO2CaptureData,,,6,28
SupplyTechsEfficiency,,,13,114
SupplyTechsEfficiencyData,,,9,"4,557"
SupplyTechsFixedMaintenanceCost,,,15,77
SupplyTechsFixedMaintenanceCostData,,,7,180
SupplyTechsInstallationCost,,,14,33
SupplyTechsInstallationCostNewData,,,7,209
SupplyTechsInstallationCostReplacementData,,,7,180
SupplyTechsVariableMaintenanceCost,,,14,81
SupplyTechsVariableMaintenanceCostData,,,7,68
SupplyTypes,,,2,6
TimeZones,,,3,8
Version,,,3,1
