currency,currency_year,value,id
AUD,1999,1.5501,552
AUD,2000,1.72429,553
AUD,2001,1.932675,554
AUD,2002,1.840445,555
AUD,2003,1.541235,556
AUD,2004,1.35941,557
AUD,2005,1.311935,558
AUD,2006,1.328125,559
AUD,2007,1.19507,560
AUD,2008,1.19657,561
AUD,2009,1.28084,562
AUD,2010,1.090255,563
AUD,2011,0.968905,564
AUD,2012,0.965985,565
AUD,2013,1.03646,566
AUD,2014,1.10966,567
AUD,2015,1.331235,568
AUD,2016,1.345525,569
BGN,1999,1848.06223,570
BGN,2000,875.309385,571
BGN,2001,2.17723,572
BGN,2002,2.06948,573
BGN,2003,1.72668,574
BGN,2004,1.57416,575
BGN,2005,1.573135,576
BGN,2006,1.55873,577
BGN,2007,1.42929,578
BGN,2008,1.33638,579
BGN,2009,1.406505,580
BGN,2010,1.476325,581
BGN,2011,1.405975,582
BGN,2012,1.521915,583
BGN,2013,1.473235,584
BGN,2014,1.47399,585
BGN,2015,1.76246,586
BGN,2016,1.76797,587
BRL,1999,1.81277,588
BRL,2000,1.829725,589
BRL,2001,2.353285,590
BRL,2002,2.919705,591
BRL,2003,3.07733,592
BRL,2004,2.925205,593
BRL,2005,2.433395,594
BRL,2006,2.17594,595
BRL,2007,1.94821,596
BRL,2008,1.834645,597
BRL,2009,2.00044,598
BRL,2010,1.760465,599
BRL,2011,1.67251,600
BRL,2012,1.95355,601
BRL,2013,2.15847,602
BRL,2014,2.35205,603
BRL,2015,3.331235,604
BRL,2016,3.48932,605
CAD,1999,1.4854,606
CAD,2000,1.48477,607
CAD,2001,1.548615,608
CAD,2002,1.569905,609
CAD,2003,1.40056,610
CAD,2004,1.301165,611
CAD,2005,1.21141,612
CAD,2006,1.13432,613
CAD,2007,1.07412,614
CAD,2008,1.066365,615
CAD,2009,1.14139,616
CAD,2010,1.030475,617
CAD,2011,0.98908,618
CAD,2012,0.99983,619
CAD,2013,1.029995,620
CAD,2014,1.104265,621
CAD,2015,1.27787,622
CAD,2016,1.32545,623
CHF,1999,1.502845,624
CHF,2000,1.688,625
CHF,2001,1.68682,626
