name,base_driver,input_type,unit_prefix,unit_base,geography,other_index_1,other_index_2,geography_map_key,interpolation_method,extrapolation_method,extrapolation_growth,source
housing units,population,total,1000000,housing unit,census division,housing types,,Total housing units 2010 (complete count),linear_interpolation,cubic,,
population,,total,1,people,state,,,Resident population (April 1 - complete count) 2010,linear_interpolation,quadratic,,US Census 2014 National Population Projections and Weldon Cooper Center for Public Service Demographics; CA Pop Projections from DOF (2017)
Crop Agriculture Value of Output,,total,1000000000,2005$,census region,,,"Employment in farming (NAICS, no code) 2007",linear_interpolation,decay_towards_linear_regression,,AEO2017_indusa_regional
Other Agriculture Value of Output,,total,1000000000,2005$,census region,,,"Earnings in agriculture, forestry, fishing, and hunting (NAICS 11) 2007",linear_interpolation,decay_towards_linear_regression,,AEO2017_indusa_regional
gasoline sales volumes,population,total,1000,gallons,state,,,LDV VMT Share,linear_interpolation,decay_towards_linear_regression,,
MD + HD VMT Historical,,total,1000000000,VMT,census division,,,HDV VMT Share,linear_interpolation,decay_towards_linear_regression,,
Metallic & Non-metallic Mining Value of Output,,total,1000000000,2005$,census region,,,Employment in mining (NAICS 21) 2006,linear_interpolation,exponential,,AEO2017_indusa_regional
Construction Value of Output,,total,1000000000,2005$,census region,,,Earnings in construction (NAICS 23) 2007,linear_interpolation,exponential,,AEO2017_indusa_regional
Food Value of Output,,total,1000000000,2005$,census region,,,Food and Kindred Products VOS,linear_interpolation,exponential,,AEO2017_indusa_regional
Paper Value of Output,,total,1000000000,2005$,census region,,,Paper and Allied Products VOS,linear_interpolation,nearest,,AEO2017_indusa_regional
Bulk Chemicals Value of Output,,total,1000000000,2005$,census region,,,Bulk Chemicals VOS,linear_interpolation,nearest,,AEO2017_indusa_regional
Glass Value of Output,,total,1000000000,2005$,census region,,,Glass and Cement VOS,linear_interpolation,exponential,,AEO2017_indusa_regional
Cement Value of Output,,total,1000000000,2005$,census region,,,Glass and Cement VOS,linear_interpolation,exponential,,AEO2017_indusa_regional
Iron & Steel Value of Output,,total,1000000000,2005$,census region,,,Iron and Steel and Aluminum Manufacturing VOS,linear_interpolation,cubic,,AEO2017_indusa_regional
Aluminum Value of Output,,total,1000000000,2005$,census region,,,Iron and Steel and Aluminum Manufacturing VOS,linear_interpolation,nearest,,AEO2017_indusa_regional
Fabricated Metals Value of Output,,total,1000000000,2005$,census region,,,Fabricated Metal Products VOS,linear_interpolation,exponential,,AEO2017_indusa_regional
Machinery Value of Output,,total,1000000000,2005$,census region,,,Machinery VOS,linear_interpolation,decay_towards_linear_regression,,AEO2017_indusa_regional
Computers & Electronics Value of Output,,total,1000000000,2005$,census region,,,Computer and Electronic Products VOS,linear_interpolation,exponential,,AEO2017_indusa_regional
Transportation Equipment Value of Output,,total,1000000000,2005$,census region,,,Transportation Equipment VOS,linear_interpolation,exponential,,AEO2017_indusa_regional
Electrical Equipment & Appliances Value of Output,,total,1000000000,2005$,census region,,,Electrical Equipment VOS,linear_interpolation,exponential,,AEO2017_indusa_regional
Wood Value of Output,,total,1000000000,2005$,census region,,,Wood Products VOS,linear_interpolation,decay_towards_linear_regression,,AEO2017_indusa_regional
Plastics & Rubbers Value of Output,,total,1000000000,2005$,census region,,,Plastic and Rubber Products VOS,linear_interpolation,exponential,,AEO2017_indusa_regional
Balance of Manufacturing Value of Output,,total,1000000000,2005$,census region,,,BOM VOS,linear_interpolation,exponential,,AEO2017_indusa_regional
total square footage,housing units,total,1,square feet,census division,housing types,,Total housing units 2010 (complete count),linear_interpolation,decay_towards_linear_regression,,
heating degree days,,intensity,1,degree day,census division,,,Total housing units 2010 (complete count),linear_interpolation,nearest,,
cooling degree days,,intensity,1,degree day,census division,,,Total housing units 2010 (complete count),linear_interpolation,nearest,,
commercial square footage,,total,1,square feet,census division,building types,,"Employment in all industries (NAICS, no code) 2007",linear_interpolation,exponential,,
PC office equipment saturation,,total,1,percentage,us,,,Earnings in retail trade (NAICS 44-45) 2007,linear_interpolation,nearest,,
non-PC office equipment saturation,,total,1,percentage,us,,,Earnings in retail trade (NAICS 44-45) 2007,linear_interpolation,nearest,,
other commercial end use saturation,,total,1,percentage,us,,,Earnings in retail trade (NAICS 44-45) 2007,linear_interpolation,nearest,,
intercity rail passenger miles - historical,population,total,1,revenue passenger mile,us,,,Resident population (April 1 - complete count) 2010,linear_interpolation,decay_towards_linear_regression,,
transit rail passenger miles - historical,population,total,1,revenue passenger mile,census division,,,Resident population (April 1 - complete count) 2010,linear_interpolation,decay_towards_linear_regression,,
commuter rail passenger miles - historical,population,total,1,revenue passenger mile,census division,,,Resident population (April 1 - complete count) 2010,linear_interpolation,decay_towards_linear_regression,,
non-coal freight miles - historical,population,total,1,gigaton_mile,census division,,,Employment in transportation and warehousing (NAICS 48-49) 2007,linear_interpolation,nearest,,
households,housing units,total,1,household,census division,housing types,,Households 2010 (complete count),linear_interpolation,cubic,,
occupied square footage,households,intensity,1,square feet,census division,housing types,,Households 2010 (complete count),linear_interpolation,linear_regression,,
transit bus passenger miles - historical,population,total,1000000,passenger miles,census division,,,Resident population (April 1 - complete count) 2010,linear_interpolation,decay_towards_linear_regression,,AEO2017 inputs trnldvx.csv
All Industry Service Demand,,total,1,$B2005 VOS,census region,Subsectors,,Households 2010 (complete count),linear_interpolation,linear_interpolation,,
