parent,gau,oth_1,oth_2,year,value,id,sensitivity
total square footage,new england,single-family,,2010,7562157948.0,460,
total square footage,middle atlantic,single-family,,2010,22103397287.0,461,
total square footage,east north central,single-family,,2010,31587636941.0,462,
total square footage,west north central,single-family,,2010,14046530894.0,463,
total square footage,south atlantic,single-family,,2010,31412021135.0,464,
total square footage,east south central,single-family,,2010,9717735388.0,465,
total square footage,west south central,single-family,,2010,17520336063.0,466,
total square footage,mountain,single-family,,2010,12506748263.0,467,
total square footage,pacific,single-family,,2010,20110489138.0,468,
total square footage,new england,single-family,,2011,7605377117.0,469,
total square footage,middle atlantic,single-family,,2011,22221001583.0,470,
total square footage,east north central,single-family,,2011,31723244227.0,471,
total square footage,west north central,single-family,,2011,14148283852.0,472,
total square footage,south atlantic,single-family,,2011,31816457568.0,473,
total square footage,east south central,single-family,,2011,9786443333.0,474,
total square footage,west south central,single-family,,2011,17788290474.0,475,
total square footage,mountain,single-family,,2011,12695711483.0,476,
total square footage,pacific,single-family,,2011,20336612542.0,477,
total square footage,new england,single-family,,2012,7647186507.0,478,
total square footage,middle atlantic,single-family,,2012,22321249369.0,479,
total square footage,east north central,single-family,,2012,31855238937.0,480,
total square footage,west north central,single-family,,2012,14239378543.0,481,
total square footage,south atlantic,single-family,,2012,32205066733.0,482,
total square footage,east south central,single-family,,2012,9852735143.0,483,
total square footage,west south central,single-family,,2012,18030957198.0,484,
total square footage,mountain,single-family,,2012,12886736942.0,485,
total square footage,pacific,single-family,,2012,20549854419.0,486,
total square footage,new england,single-family,,2013,7687961226.0,487,
total square footage,middle atlantic,single-family,,2013,22414635560.0,488,
total square footage,east north central,single-family,,2013,31988826580.0,489,
total square footage,west north central,single-family,,2013,14325019465.0,490,
total square footage,south atlantic,single-family,,2013,32616985086.0,491,
total square footage,east south central,single-family,,2013,9918335873.0,492,
total square footage,west south central,single-family,,2013,18267854066.0,493,
total square footage,mountain,single-family,,2013,13089226962.0,494,
total square footage,pacific,single-family,,2013,20761514703.0,495,
total square footage,new england,single-family,,2014,7732148938.0,496,
total square footage,middle atlantic,single-family,,2014,22512406041.0,497,
total square footage,east north central,single-family,,2014,32139088803.0,498,
total square footage,west north central,single-family,,2014,14426123309.0,499,
total square footage,south atlantic,single-family,,2014,33113792901.0,500,
total square footage,east south central,single-family,,2014,9996533890.0,501,
total square footage,west south central,single-family,,2014,18533676350.0,502,
total square footage,mountain,single-family,,2014,13327908105.0,503,
total square footage,pacific,single-family,,2014,21010357175.0,504,
total square footage,new england,single-family,,2015,7772516613.0,505,
total square footage,middle atlantic,single-family,,2015,22590539508.0,506,
total square footage,east north central,single-family,,2015,32269522259.0,507,
total square footage,west north central,single-family,,2015,14522556933.0,508,
total square footage,south atlantic,single-family,,2015,33640475624.0,509,
total square footage,east south central,single-family,,2015,10080604515.0,510,
total square footage,west south central,single-family,,2015,18810477822.0,511,
total square footage,mountain,single-family,,2015,13577822140.0,512,
total square footage,pacific,single-family,,2015,21256885611.0,513,
total square footage,new england,single-family,,2016,7812821316.0,514,
total square footage,middle atlantic,single-family,,2016,22668269666.0,515,
total square footage,east north central,single-family,,2016,32400337089.0,516,
total square footage,west north central,single-family,,2016,14612991387.0,517,
total square footage,south atlantic,single-family,,2016,34187687342.0,518,
total square footage,east south central,single-family,,2016,10162835765.0,519,
total square footage,west south central,single-family,,2016,19085970496.0,520,
total square footage,mountain,single-family,,2016,13842356999.0,521,
total square footage,pacific,single-family,,2016,21500290151.0,522,
total square footage,new england,single-family,,2017,7852665083.0,523,
total square footage,middle atlantic,single-family,,2017,22739911808.0,524,
total square footage,east north central,single-family,,2017,32518245361.0,525,
total square footage,west north central,single-family,,2017,14696815940.0,526,
total square footage,south atlantic,single-family,,2017,34735137783.0,527,
total square footage,east south central,single-family,,2017,10246360190.0,528,
