subsector,is_stock_dependent,input_type,unit,driver_denominator_1,driver_denominator_2,driver_1,driver_2,geography,final_energy_index,demand_technology_index,other_index_1,other_index_2,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key
commercial water heating,False,intensity,kiloBtu,commercial square footage,,commercial square footage,,census division,,,building types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
commercial refrigeration,False,intensity,kiloBtu,commercial square footage,,commercial square footage,,census division,,,building types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
commercial cooking,False,intensity,kiloBtu,commercial square footage,,commercial square footage,,census division,,,building types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
commercial ventilation,False,intensity,kiloBtu,commercial square footage,,commercial square footage,,census division,,,building types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
office equipment (p.c.),False,intensity,kiloBtu,commercial square footage,,commercial square footage,PC office equipment saturation,census division,,,building types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
office equipment (non-p.c.),False,intensity,kiloBtu,commercial square footage,,commercial square footage,non-PC office equipment saturation,census division,,,building types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
commercial other,False,total,quad,,,commercial square footage,,us,,,,,linear_interpolation,linear_regression,,Households 2010 (complete count)
agriculture-crops,False,total,TBtu,,,Crop Agriculture Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Cropland - harvested cropland (NAICS) 2007 (acres) (adjusted)
agriculture-other,False,total,TBtu,,,Other Agriculture Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,"Earnings in agriculture, forestry, fishing, and hunting (NAICS 11) 2007"
metal and other non-metallic mining,False,total,TBtu,,,Metallic & Non-metallic Mining Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Employment in mining (NAICS 21) 2006
construction,False,total,TBtu,,,Construction Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Earnings in construction (NAICS 23) 2007
food and kindred products,False,total,TBtu,,,Food Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Food and Kindred Products VOS
paper and allied products,False,total,TBtu,,,Paper Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Paper and Allied Products VOS
bulk chemicals,False,total,TBtu,,,Bulk Chemicals Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Bulk Chemicals VOS
glass and glass products,False,total,TBtu,,,Glass Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Glass and Cement VOS
cement,False,total,TBtu,,,Cement Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Glass and Cement VOS
iron and steel ,False,total,TBtu,,,Iron & Steel Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Iron and Steel and Aluminum Manufacturing VOS
aluminum industry,False,total,TBtu,,,Aluminum Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Iron and Steel and Aluminum Manufacturing VOS
fabricated metal products,False,total,TBtu,,,Fabricated Metals Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Fabricated Metal Products VOS
machinery,False,total,TBtu,,,Machinery Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Machinery VOS
computer and electronic products,False,total,TBtu,,,Computers & Electronics Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Computer and Electronic Products VOS
transportation equipment,False,total,TBtu,,,Transportation Equipment Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Transportation Equipment VOS
"electrical equip., appliances, and components",False,total,TBtu,,,Electrical Equipment & Appliances Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Electrical Equipment VOS
wood products,False,total,TBtu,,,Wood Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Wood Products VOS
plastic and rubber products,False,total,TBtu,,,Plastics & Rubbers Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,Plastic and Rubber Products VOS
balance of manufacturing other,False,total,TBtu,,,Balance of Manufacturing Value of Output,,census region,,,AEO Industrial Categories,,linear_interpolation,linear_regression,,BOM VOS
residential water heating,False,total,mmBtu,,,households,,census division,,,housing types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
residential other - electric,False,intensity,mmBtu,households,,households,,census division,,,housing types,miscellaneous residential loads,linear_interpolation,linear_regression,,Households 2010 (complete count)
residential cooking,False,total,mmBtu,,,households,,census division,,,housing types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
residential secondary heating,False,intensity,mmBtu,households,,households,heating degree days,census division,,,housing types,residential secondary heat,linear_interpolation,linear_regression,,Households 2010 (complete count)
residential other appliances,False,intensity,mmBtu,households,,households,,census division,,,housing types,other residential appliances,linear_interpolation,linear_regression,,Households 2010 (complete count)
residential furnace fans,False,total,mmBtu,,,households,,census division,,,housing types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
passenger rail,False,total,Btu,,,commuter rail passenger miles - historical,,census division,,,commuter rail modes,,linear_interpolation,linear_regression,,Households 2010 (complete count)
aviation,False,total,TBtu,,,population,,us,,,,,linear_interpolation,linear_regression,,Households 2010 (complete count)
domestic shipping,False,total,TBtu,,,,,us,,,,,linear_interpolation,linear_regression,,Marine Fuel Use
military use,False,total,TBtu,,,,,us,,,,,linear_interpolation,linear_regression,,Households 2010 (complete count)
motorcycles,False,total,TBtu,,,population,,us,,,,,linear_interpolation,linear_regression,,Households 2010 (complete count)
lubricants,False,total,TBtu,,,population,,us,,,,,linear_interpolation,linear_regression,,Households 2010 (complete count)
international shipping,False,total,TBtu,,,,,us,,,,,linear_interpolation,linear_regression,,Marine Fuel Use
recreational boats,False,total,TBtu,,,population,,us,,,,,linear_interpolation,linear_regression,,Households 2010 (complete count)
district services,False,intensity,kiloBtu,commercial square footage,,commercial square footage,,census division,,,building types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
other steam,False,total,gigaBtu,,,commercial square footage,,us,,,,,linear_interpolation,linear_regression,,Households 2010 (complete count)
Washington State Marine Vessels,False,total,TBtu,,,,,state,,,,,linear_interpolation,linear_regression,,Households 2010 (complete count)
Industrial Boilers,False,total,TBtu,,,All Industry Service Demand,,census region,,,Subsectors,,linear_interpolation,linear_interpolation,,Households 2010 (complete count)
Industrial Space Heating,False,total,TBtu,,,All Industry Service Demand,,census region,,,Subsectors,,linear_interpolation,linear_interpolation,,Households 2010 (complete count)
Industrial Machine Drives,False,total,TBtu,,,All Industry Service Demand,,census region,,,Subsectors,,linear_interpolation,linear_interpolation,,Households 2010 (complete count)
commercial space heating,False,intensity,kiloBtu,commercial square footage,,commercial square footage,,census division,,,building types,,linear_interpolation,linear_regression,,HDD_com_sq_ft
commercial air conditioning,False,intensity,kiloBtu,commercial square footage,,commercial square footage,,census division,,,building types,,linear_interpolation,linear_regression,,CDD_com_sq_ft
residential space heating,False,total,mmBtu,,,occupied square footage,heating degree days,census division,,,housing types,,linear_interpolation,linear_regression,,HDD_res_sq_ft
residential air conditioning,True,total,mmBtu,,,cooling degree days,,census division,,,housing types,air conditioning type,linear_interpolation,linear_regression,,CDD_res_sq_ft
Industrial Process Heat,False,total,TBtu,,,All Industry Service Demand,,census region,,,Subsectors,,linear_interpolation,linear_interpolation,,Households 2010 (complete count)
Industrial curing,False,total,TBtu,,,Plastics & Rubbers Value of Output,,census region,,,,,linear_interpolation,linear_interpolation,,Households 2010 (complete count)
Industrial Drying,False,total,TBtu,,,Balance of Manufacturing Value of Output,,census region,,,,,linear_interpolation,linear_interpolation,,Households 2010 (complete count)
commercial lighting,False,intensity,kiloBtu,commercial square footage,,commercial square footage,,census division,,,building types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
