parent,gau,oth_1,year,value,id,demand_technology
None,us,,2016,0.0,1,
None,us,,2050,0.25,2,
None,us,,2016,0.0,3,
None,us,,2050,0.25,4,
None,us,,2016,0.0,5,
None,us,,2050,0.25,6,
None,us,,2016,0.0,7,
None,us,,2050,0.25,8,
None,us,,2016,0.0,9,
None,us,,2050,0.25,10,
None,us,,2016,0.0,11,
None,us,,2050,0.25,12,
None,us,,2016,0.0,13,
None,us,,2050,0.25,14,
None,us,,2016,0.0,15,
None,us,,2050,0.5,16,
None,us,,2016,0.0,17,
None,us,,2050,0.5,18,
EV charging flexibility 50% in all years,us,,2015,0.5,27,
EV charging flexibility 50% in all years,us,,2015,0.5,28,
