parent,geography,other_index_1,other_index_2,interpolation_method,extrapolation_method,extrapolation_growth
Irrigation Fuel Switching - Gas to Electric,us,agricultural end-uses,,linear_interpolation,nearest,
Irrigation Fuel Switching - Diesel to Electric,us,agricultural end-uses,,linear_interpolation,nearest,
HVAC Switching,us,Industry End-Uses,,linear_interpolation,nearest,
HVAC Switching,us,Process-Specific Industry End-Uses,,linear_interpolation,nearest,
HVAC Switching,us,Process-Specific Industry End-Uses,,linear_interpolation,nearest,
HVAC Switching,us,Process-Specific Industry End-Uses,,linear_interpolation,nearest,
HVAC Switching,us,Process-Specific Industry End-Uses,,linear_interpolation,nearest,
Secondary Heat Switching,us,,,linear_interpolation,nearest,
Secondary Heat Switching,us,,,linear_interpolation,nearest,
Secondary Heat Switching,us,,,linear_interpolation,nearest,
Secondary Heat Switching,us,,,linear_interpolation,nearest,
Secondary Heat Switching,us,,,linear_interpolation,nearest,
Secondary Heat Switching,us,,,linear_interpolation,nearest,
HVAC Switching,us,Industry End-Uses,,linear_interpolation,nearest,
HVAC Switching,us,Industry End-Uses,,linear_interpolation,nearest,
HVAC Switching,us,Industry End-Uses,,linear_interpolation,nearest,
HVAC Switching,us,Industry End-Uses,,linear_interpolation,nearest,
HVAC Switching,us,Industry End-Uses,,linear_interpolation,nearest,
HVAC Switching,us,Industry End-Uses,,linear_interpolation,nearest,
HVAC Switching,us,Industry End-Uses,,linear_interpolation,nearest,
HVAC Switching,us,Industry End-Uses,,linear_interpolation,nearest,
HVAC Switching,us,Industry End-Uses,,linear_interpolation,nearest,
Cement Coal Switching,us,,,linear_interpolation,nearest,
Residential Secondary Heating Electrification,us,,,linear_interpolation,nearest,
