subsector,is_stock_dependent,input_type,unit,driver_denominator_1,driver_denominator_2,driver_1,driver_2,geography,final_energy_index,demand_technology_index,other_index_1,other_index_2,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key
residential lighting,False,intensity,kilolumen_hour,housing units,,total square footage,,us,,,housing types,residential lighting category,linear_interpolation,linear_regression,,Households 2010 (complete count)
medium duty trucks,False,total,gigamile,,,MD + HD VMT Historical,,us,,,,,linear_interpolation,decay_towards_linear_regression,,MDV VMT Share
heavy duty trucks,False,total,gigamile,,,MD + HD VMT Historical,,us,,,,,linear_interpolation,decay_towards_linear_regression,,HDV VMT Share
school and intercity buses,False,intensity,passenger_mile,population,,population,,us,,,bus types,,linear_interpolation,linear_regression,,BUSES VMT Share
passenger rail,False,total,passenger_mile,,,commuter rail passenger miles - historical,,census division,,,commuter rail modes,,linear_interpolation,linear_regression,,Rail Fuel Use 
freight rail,False,total,gigaton_mile,,,non-coal freight miles - historical,,census division,,,,,linear_interpolation,linear_regression,,Rail Fuel Use 
aviation,False,total,seat_mile,,,population,,us,,,,,linear_interpolation,decay_towards_linear_regression,,Aviation Fuel Use
light duty autos,False,total,mile,,,gasoline sales volumes,,us,,,,,linear_interpolation,decay_towards_linear_regression,,LDV VMT Share
light duty trucks,False,total,mile,,,gasoline sales volumes,,us,,,light duty truck class,,linear_interpolation,decay_towards_linear_regression,,LDV VMT Share
transit buses,False,total,mile,,,population,,census division,,,,,linear_interpolation,linear_regression,,SqMi
residential clothes washing,True,total,cubic_foot_cycle,,,,,census division,,,housing types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
residential clothes drying,True,total,lb,,,,,census division,True,,housing types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
residential dishwashing,True,total,cycle,,,,,census division,,,housing types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
residential refrigeration,True,total,cubic_feet,,,,,census division,,,housing types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
residential freezing,True,total,cubic_feet,,,,,census division,,,housing types,,linear_interpolation,linear_regression,,Households 2010 (complete count)
