subsector,is_service_demand_dependent,driver_denominator_1,driver_denominator_2,driver_1,driver_2,geography,other_index_1,other_index_2,geography_map_key,input_type,demand_stock_unit_type,unit,time_unit,interpolation_method,extrapolation_method,extrapolation_growth
commercial water heating,False,,,commercial square footage,,census division,building types,,Households 2010 (complete count),intensity,capacity factor,kiloBtu,hour,linear_interpolation,linear_regression,
commercial space heating,False,,,commercial square footage,,census division,building types,,Households 2010 (complete count),intensity,capacity factor,kiloBtu,hour,linear_interpolation,linear_regression,
commercial air conditioning,False,,,commercial square footage,,census division,building types,,Households 2010 (complete count),intensity,capacity factor,kiloBtu,hour,linear_interpolation,linear_regression,
commercial refrigeration,False,,,commercial square footage,,census division,building types,,Households 2010 (complete count),intensity,capacity factor,kiloBtu,hour,linear_interpolation,linear_regression,
commercial cooking,False,,,commercial square footage,,census division,building types,,Households 2010 (complete count),intensity,capacity factor,kiloBtu,hour,linear_interpolation,linear_regression,
commercial ventilation,False,,,commercial square footage,,census division,building types,,Households 2010 (complete count),intensity,capacity factor,kilocubic_foot,minute,linear_interpolation,linear_regression,
residential water heating,False,,,households,,census division,housing types,,Households 2010 (complete count),total,equipment,water heater,,linear_interpolation,linear_regression,
residential space heating,False,,,households,,census division,housing types,,Households 2010 (complete count),total,equipment,space heater,,linear_interpolation,linear_regression,
residential air conditioning,False,,,households,,census division,housing types,air conditioning type,Households 2010 (complete count),total,equipment,air conditioner,,linear_interpolation,linear_regression,
residential lighting,False,housing units,,total square footage,,us,housing types,residential lighting category,Households 2010 (complete count),intensity,equipment,bulb,,linear_interpolation,linear_regression,
residential clothes washing,False,,,households,,census division,housing types,,Households 2010 (complete count),total,equipment,clothes washer,,linear_interpolation,linear_regression,
residential clothes drying,False,,,households,,census division,housing types,,Households 2010 (complete count),total,equipment,clothes dryer,,linear_interpolation,linear_regression,
residential dishwashing,False,households,,households,,census division,housing types,,Households 2010 (complete count),intensity,equipment,dishwasher,,linear_interpolation,linear_regression,0.0026
residential refrigeration,False,,,households,,census division,housing types,,Households 2010 (complete count),total,service demand,cubic_feet,,linear_interpolation,linear_regression,
residential freezing,False,,,households,,census division,housing types,,Households 2010 (complete count),total,service demand,cubic_feet,,linear_interpolation,linear_regression,
residential cooking,False,,,households,,census division,housing types,,Households 2010 (complete count),total,equipment,cooktop,,linear_interpolation,linear_regression,
medium duty trucks,True,,,,,us,,,Households 2010 (complete count),total,equipment,truck,,linear_interpolation,linear_regression,
heavy duty trucks,True,,,,,us,,,Households 2010 (complete count),total,equipment,truck,,linear_interpolation,linear_regression,
light duty autos,True,,,,,us,,,Households 2010 (complete count),intensity,equipment,car,,linear_interpolation,linear_regression,
light duty trucks,True,,,,,us,light duty truck class,,Households 2010 (complete count),intensity,equipment,truck,,linear_interpolation,linear_regression,
residential building shell,False,housing units,,housing units,,us,housing types,,Households 2010 (complete count),intensity,equipment,housing shell,,linear_interpolation,linear_regression,
transit buses,True,,,,,us,,,Households 2010 (complete count),total,equipment,bus,,linear_interpolation,linear_regression,
Industrial Boilers,True,,,,,us,,,Households 2010 (complete count),total,capacity factor,kiloBtu,hour,linear_interpolation,linear_interpolation,
Industrial Process Heat,True,,,,,us,,,Households 2010 (complete count),total,capacity factor,kiloBtu,hour,linear_interpolation,linear_interpolation,
Industrial Space Heating,True,,,,,us,,,Households 2010 (complete count),total,capacity factor,kiloBtu,hour,linear_interpolation,linear_interpolation,
Industrial Machine Drives,True,,,,,us,,,Households 2010 (complete count),total,capacity factor,kiloBtu,hour,linear_interpolation,linear_interpolation,
commercial building shell,False,commercial square footage,,commercial square footage,,us,,,Households 2010 (complete count),intensity,equipment,sq. ft,,linear_interpolation,linear_interpolation,
Industrial curing,False,,,,,us,,,Households 2010 (complete count),total,capacity factor,kiloBtu,hour,linear_interpolation,linear_interpolation,
Industrial Drying,False,,,,,us,,,Households 2010 (complete count),total,capacity factor,kiloBtu,hour,linear_interpolation,linear_interpolation,
commercial lighting,False,,,,,census division,building types,,Households 2010 (complete count),total,capacity factor,megalumen_hour,hour,linear_interpolation,linear_regression,
