subsector_id,gau,oth_1,oth_2,demand_technology,year,value,id
37,us,single-family,general service lamps,,2012,58.0,30
37,us,multi-family,general service lamps,,2012,17.9,31
37,us,mobile home,general service lamps,,2012,25.5,32
34,new england,single-family,,Reference Air Source Heat Pump - Heating,2009,2639.0,141
34,middle atlantic,single-family,,Reference Air Source Heat Pump - Heating,2009,205579.0,142
34,east north central,single-family,,Reference Air Source Heat Pump - Heating,2009,198302.0,143
34,west north central,single-family,,Reference Air Source Heat Pump - Heating,2009,130032.0,144
34,south atlantic,single-family,,Reference Air Source Heat Pump - Heating,2009,4140000.0,145
34,east south central,single-family,,Reference Air Source Heat Pump - Heating,2009,1050000.0,146
34,west south central,single-family,,Reference Air Source Heat Pump - Heating,2009,346201.0,147
34,mountain,single-family,,Reference Air Source Heat Pump - Heating,2009,544498.0,148
34,pacific,single-family,,Reference Air Source Heat Pump - Heating,2009,389067.0,149
34,new england,single-family,,Reference Natural Gas Furnace,2009,543051.0,150
34,middle atlantic,single-family,,Reference Natural Gas Furnace,2009,3970000.0,151
34,east north central,single-family,,Reference Natural Gas Furnace,2009,9460000.0,152
34,west north central,single-family,,Reference Natural Gas Furnace,2009,3600000.0,153
34,south atlantic,single-family,,Reference Natural Gas Furnace,2009,3970000.0,154
34,east south central,single-family,,Reference Natural Gas Furnace,2009,1750000.0,155
34,west south central,single-family,,Reference Natural Gas Furnace,2009,4020000.0,156
34,mountain,single-family,,Reference Natural Gas Furnace,2009,3540000.0,157
34,pacific,single-family,,Reference Natural Gas Furnace,2009,4698320.0,158
34,new england,single-family,,Reference Natural Gas Boiler/Radiator,2009,417465.0,159
34,middle atlantic,single-family,,Reference Natural Gas Boiler/Radiator,2009,1420000.0,160
34,east north central,single-family,,Reference Natural Gas Boiler/Radiator,2009,597684.0,161
34,west north central,single-family,,Reference Natural Gas Boiler/Radiator,2009,243539.0,162
34,south atlantic,single-family,,Reference Natural Gas Boiler/Radiator,2009,405084.0,163
34,east south central,single-family,,Reference Natural Gas Boiler/Radiator,2009,170426.0,164
34,west south central,single-family,,Reference Natural Gas Boiler/Radiator,2009,808047.0,165
34,mountain,single-family,,Reference Natural Gas Boiler/Radiator,2009,419747.0,166
34,new england,single-family,,Reference Kerosene Furnace,2009,46922.0,168
34,middle atlantic,single-family,,Reference Kerosene Furnace,2009,63233.0,169
34,east north central,single-family,,Reference Kerosene Furnace,2009,0.0,170
34,west north central,single-family,,Reference Kerosene Furnace,2009,0.0,171
34,south atlantic,single-family,,Reference Kerosene Furnace,2009,107310.0,172
34,east south central,single-family,,Reference Kerosene Furnace,2009,12110.0,173
34,west south central,single-family,,Reference Kerosene Furnace,2009,0.0,174
34,mountain,single-family,,Reference Kerosene Furnace,2009,0.0,175
34,pacific,single-family,,Reference Kerosene Furnace,2009,7131.0,176
34,new england,single-family,,Reference LPG Furnace,2009,96490.0,177
34,middle atlantic,single-family,,Reference LPG Furnace,2009,446500.0,178
34,pacific,single-family,,Reference Natural Gas Boiler/Radiator,2009,2581680.0,167
34,east north central,single-family,,Reference LPG Furnace,2009,913336.0,179
34,west north central,single-family,,Reference LPG Furnace,2009,875643.0,180
34,south atlantic,single-family,,Reference LPG Furnace,2009,496301.0,181
34,east south central,single-family,,Reference LPG Furnace,2009,602041.0,182
34,west south central,single-family,,Reference LPG Furnace,2009,455740.0,183
34,mountain,single-family,,Reference LPG Furnace,2009,387981.0,184
34,pacific,single-family,,Reference LPG Furnace,2009,272256.0,185
34,new england,single-family,,Reference Distillate Furnace,2009,690802.0,186
34,middle atlantic,single-family,,Reference Distillate Furnace,2009,786526.0,187
34,east north central,single-family,,Reference Distillate Furnace,2009,252267.0,188
34,west north central,single-family,,Reference Distillate Furnace,2009,100113.0,189
34,south atlantic,single-family,,Reference Distillate Furnace,2009,387196.0,190
34,east south central,single-family,,Reference Distillate Furnace,2009,0.0,191
34,west south central,single-family,,Reference Distillate Furnace,2009,0.0,192
34,mountain,single-family,,Reference Distillate Furnace,2009,26365.0,193
34,pacific,single-family,,Reference Distillate Furnace,2009,84370.0,194
34,new england,single-family,,Reference Distillate Boiler/Radiator,2009,1160000.0,195
34,middle atlantic,single-family,,Reference Distillate Boiler/Radiator,2009,1270000.0,196
34,east north central,single-family,,Reference Distillate Boiler/Radiator,2009,49947.0,197
34,west north central,single-family,,Reference Distillate Boiler/Radiator,2009,41616.0,198
34,south atlantic,single-family,,Reference Distillate Boiler/Radiator,2009,206185.0,199
34,east south central,single-family,,Reference Distillate Boiler/Radiator,2009,0.0,200
34,west south central,single-family,,Reference Distillate Boiler/Radiator,2009,0.0,201
