sector,name,cost_of_capital,is_active,shape,max_lead_hours,max_lag_hours
productive,bulk chemicals,0.07,True,,,
productive,paper and allied products,0.07,True,,,
productive,food and kindred products,0.07,True,,,
commercial,office equipment (non-p.c.),0.07,True,Commercial OfficeEquipment,,
commercial,office equipment (p.c.),0.07,True,Commercial OfficeEquipment,,
productive,Industrial curing,0.07,True,,,
residential,residential secondary heating,0.12,True,electric_furnace_res,2.0,2.0
residential,residential cooking,0.12,True,residential cooking,,
residential,residential freezing,0.12,True,residential freezing,1.0,1.0
residential,residential refrigeration,0.12,True,residential refrigeration,1.0,1.0
residential,residential dishwashing,0.12,True,dishwashing,0.0,3.0
residential,residential water heating,0.12,True,water heating (gas) NW data month-hour,3.0,3.0
residential,residential other - electric,0.12,True,other appliances,,
residential,residential lighting,0.12,True,lighting,,
residential,residential clothes washing,0.12,True,clothes washing,0.0,3.0
residential,residential clothes drying,0.12,True,clothes drying (electric),0.0,3.0
commercial,commercial ventilation,0.07,True,Commercial Ventilation,1.0,1.0
productive,construction,0.07,True,,,
productive,metal and other non-metallic mining,0.07,True,,,
productive,Industrial Space Heating,0.07,True,furnace_com,,
productive,Industrial Process Heat,0.07,True,Industrial ProcessHeating,,
productive,Industrial Boilers,0.07,True,,,
productive,balance of manufacturing other,0.07,True,,,
productive,plastic and rubber products,0.07,True,,,
residential,residential space heating,0.12,True,electric_furnace_res,2.0,2.0
commercial,commercial space heating,0.07,True,furnace_com,2.0,2.0
commercial,commercial cooking,0.07,True,Commercial Cooking,,
commercial,commercial lighting,0.07,True,Commercial LightingInternal,,
transportation,military use,0.07,True,,,
transportation,medium duty trucks,0.07,True,,,
productive,wood products,0.07,True,,,
productive,"electrical equip., appliances, and components",0.07,True,,,
productive,transportation equipment,0.07,True,,,
productive,computer and electronic products,0.07,True,,,
productive,agriculture-crops,0.07,True,Agriculture,,
transportation,heavy duty trucks,0.07,True,,,
transportation,school and intercity buses,0.07,True,,,
residential,residential furnace fans,0.12,True,electric_furnace_res,2.0,2.0
productive,agriculture-other,0.07,True,Agriculture,,
residential,residential air conditioning,0.12,True,reference_central_ac_res,2.0,2.0
commercial,commercial refrigeration,0.07,True,Commercial Refrigeration,2.0,2.0
commercial,commercial air conditioning,0.07,True,dx_ac_com,2.0,2.0
commercial,district services,0.07,True,,,
commercial,other steam,0.07,True,,,
commercial,commercial water heating,0.07,True,Commercial WaterHeating,3.0,3.0
commercial,commercial other,0.07,True,,,
transportation,passenger rail,0.07,True,,,
transportation,freight rail,0.07,True,,,
transportation,aviation,0.07,True,,,
transportation,domestic shipping,0.07,True,,,
transportation,motorcycles,0.12,True,EV,,
transportation,lubricants,0.07,True,,,
transportation,international shipping,0.07,True,,,
transportation,recreational boats,0.07,True,,,
productive,machinery,0.07,True,,,
transportation,transit buses,0.07,True,EV,,
productive,fabricated metal products,0.07,True,,,
productive,iron and steel ,0.07,True,,,
productive,aluminum industry,0.07,True,,,
commercial,commercial high intensity discharge lighting,0.07,False,Commercial LightingInternal,,
transportation,light duty autos,0.12,True,EV,0.0,5.0
transportation,light duty trucks,0.12,True,EV,0.0,5.0
productive,Industrial Drying,0.07,True,,,
productive,Industrial Machine Drives,0.07,True,Industrial MachineDrives,,
productive,cement,0.07,True,,,
commercial,commercial linear fluorescent lighting,0.07,False,Commercial LightingInternal,,
transportation,Washington State Marine Vessels,0.07,False,,,
commercial,commercial building shell,0.07,True,,,
productive,glass and glass products,0.07,True,,,
residential,residential building shell,0.12,True,,,
residential,residential other appliances,0.12,True,other appliances,,
